O15116	Q9CQ74	P68255	Q2HJ64	J9P1X6
Q9NSC5	P60710	A0A0G2K0V7	Q0III1	E2RFE2
Q9Y2D0	Q9CXF7	A0A0G2K4K0	E1BD26	J9NTC6
Q9Y4D7	P27659	-	-	-
Q9H1Y0	Q3U595	D3ZLC4	A4FV12	E2R786
O14681	Q8C4J7	Q6P6U2	Q2KIM2	E2R818
Q8N4P2	O89091	F1M9N5	Q29RT7	F6UUL8
O96000	Q9R1Q9	B5DFJ8	F1N338	F1PWD9
Q9NZR2	P08103	D4A0Z1	F1MTW4	E2RLL3
Q05193	O55143	D4A5W3	Q32LF9	F6Y1C9
P32019	Q80U35	-	-	-
P52333	A0A0G2JDC3	A0A0G2JXZ3	-	-
Q14527	Q8K088	P50408	F1N5H1	E2R4V5
Q8N5S1	Q8BR90	-	-	-
Q8TAD7	Q61241	A0A0H2UHH1	P58351	E2RCV9
P07948	Q9D9G7	M0RAC2	F1N349	J9NYN4
P13224	Q9DBS8	A0JN30	F1MZI0	E2QW90
A6NJ78	P28704	D4A554	F1MK64	E2RPC5
P35613	A0A0R4J131	Q9ERE6	E1BCZ9	F6X520
Q8WUI4	Q6NXL1	Q5BK22	E1BND6	E2RND0
Q13243	P97377	A0A0H2UHR2	P56701	E2RTM5
P52789	Q9WU22	M0R5H1	F1MYF3	E2R9T0
Q16512	Q9WV02	D3ZVM7	F1MI92	F1PDB3
Q9UDV7	Q5SXA9	P19836	-	-
Q53TS8	Q9ERB0	A0A1B0GWU7	F1MZB7	F1P6R0
Q96NR8	Q80WT2	D3Z9K4	Q148E5	F1PWT3
P54277	Q9D0D4	D3ZW82	F1N733	J9NS60
O43542	G3UVU7	-	-	-
P20839	Q924H0	M0RDK9	Q08D88	F1PHE7
Q53TQ3	Q61979	M0R436	A2VDT5	F1PGM9
Q53HC0	Q9JHF9	D4AC73	E1BNK4	F1PVK9
Q86UX6	Q7TNI2	-	-	-
Q6ZRP7	O54988	-	-	-
O75807	E9QN47	P56374	F1N1K8	E2R2A6
P26927	Q923Z4	-	-	-
Q04912	Q9R0W9	D3ZHE5	F1N499	E2QW31
Q86TI4	Q6PEM6	-	-	-
O43818	P34968	D3ZPE5	Q6E804	J9P725
Q4LE39	Q7TQN9	D4A4X4	G3MX87	E2R969
A2RUC4	Q99L02	Q924A5	A6QLN5	-
Q8TCB7	Q8BI79	Q5I0J4	G3N015	J9P3K3
Q9H061	Q9EPE9	F1M4Q3	Q5E950	-
Q9H9B4	E9QAI0	P97874	-	-
P04632	P52800	Q66HF2	F1N2A5	F1PI68
Q16576	O09161	D3ZKX1	G3N0W8	E2QYX3
Q9P281	P27808	B0BN18	G3N3Q9	J9NUM6
P24530	P14152	-	-	-
Q13315	Q8R3Q6	A0A0G2K1Q8	F1MMX3	F6UNA4
Q14692	P04235	-	-	-
Q15834	Q8BKE6	G3V954	E1BLM2	J9P9G2
P0DMV8	Q8C3K6	F1M842	E1BNQ9	F1PXH9
Q9P2K3	Q9D7Z7	Q64428	F1MJP2	Q9TUP7
Q8WTV0	P06344	A0A0G2K4U4	Q0VCW6	F1PJ12
P29460	Q8K0D7	G3V8P6	E1BC86	E2RAJ6
O95988	Q80TE7	Q924U1	Q32LD4	E2RHG7
P51159	Q3UN02	D4A249	E1BFX5	F1Q0T9
Q5T3J3	Q9DCE5	G3V705	F1N6V5	E2RR68
Q16850	Q02357	P14270	E1BJQ4	E2RS74
P07947	Q7TSC1	-	-	-
P55854	Q7TS68	Q68FS1	F1N3V3	F1PEK6
Q13642	P11438	-	-	-
Q6ZRI6	Q99L88	Q9Z327	F6QLA1	F1PW63
P05107	Q62074	D3Z8N9	E1BA00	E2RJB5
Q9BYM8	A0A0R4J0H3	Q66HC5	Q8SPJ1	J9P542
O60281	Q3TXX3	F1M173	E1BFW0	E2RK51
Q13291	Q921L3	Q5FVG2	F1MDD6	E2R8D2
Q8TE73	E9Q4S1	D3ZEH0	G3N2G4	F1PSR8
Q9Y463	Q8C1S0	-	-	-
P20936	Q32LZ8	F1LQV6	E1BKT2	Q5TJF0
Q6ZN54	P53995	D4A0E8	E1BDV8	E2R3K3
Q12933	Q9EP52	Q4G091	F1MIL9	J9P2Y0
Q8TES7	Q9D7Z3	Q9R0R3	Q3B7L5	L7N062
Q9NP74	P56564	-	-	-
O14656	Q0VB07	Q63495	G3N274	E2RAC9
Q5SR56	A0A0R4J0P5	Q9Z288	O18739	J9NUP1
O15014	Q8BFW6	F1M7B8	F1N1E3	J9NTL5
Q8NFG4	Q8VCG9	A0A0G2K058	F6QWY1	F1Q3B8
O43913	Q99JF8	Q3KRF3	Q32L05	E2RP03
Q99741	Q9QXA5	D3Z914	F1MKU4	J9P639
Q8NBB4	Q3U285	D3ZGI1	Q3ZC25	E2R4C1
Q8TBC5	P35123	F1LNB3	F1N6J2	E2RS39
Q8IV36	Q920M7	Q3ZAU5	F1MEN6	E2R5A5
O14746	Q8BVQ9	-	-	-
Q99828	Q80TQ2	B5DEG7	F1MIB2	H9GWF7
Q96RK0	Q3TTP0	A0A096MKC0	A7MB79	E2RSS1
Q99442	P70392	Q68FU2	Q2KJA1	E2RSR8
Q8TAT5	Q91XX2	D4ADM8	A5PJW9	J9P0Y6
Q16778	P41438	D4A6J0	F1MGY3	E2RST9
Q14832	Q8K2J4	G3V9P3	E1BGD3	E2R3X1
O00213	Q9R1C7	E9PTL1	Q1LZF6	E2R3H4
Q6PF15	Q3V3I5	D3ZSL1	F1MI34	F1PAR6
Q8TB24	Q5EBP3	Q5EB61	G3X680	J9NXB2
Q9UQC2	P70397	P19360	E1BGR3	E2QVE3
Q6IBW4	D3YYQ8	D4A7M3	Q28034	J9P2I5
Q8TB22	P13405	B0BLS0	E1BL95	E2RIF3
P20248	Q9Z139	A0A0G2JW79	Q5E9B7	E2RFL3
Q00597	A2A3V2	-	-	-
Q9BQT8	Q4KUS2	Q99N27	Q9BGI1	F1PFZ2
Q9UMR3	Q5SPX3	D3ZXF9	Q08E31	J9P4G0
P16471	P51942	B5DFL5	F1MD57	E2RBF0
P01008	Q3TR08	Q3LZI9	G3MZW4	F1Q2C0
P34741	Q6ZWZ6	F8WG91	F1N4V2	E2R5K7
Q16831	E9PXE2	Q5RJQ8	-	-
Q969T9	Q8K057	Q9R1X8	F1MVP7	J9NS72
Q9NR31	Q80ZU7	F1M9A7	F1MRG9	F1PMA9
Q9UNN5	O54826	M0R8P0	F1MQ97	E2RG45
P18858	Q8VDV3	G3V7M5	F1MQ38	E2RNH8
Q9BRL6	H7BX21	D3ZQN7	Q3SZA9	F1PHF1
P13861	F6Y9T6	Q6AYG7	Q0IID3	J9P9P4
P15311	B9EKR1	G3V7R3	F1MF56	F6UV28
P23284	Q3TXV4	F1LRX4	F1MHM1	E2R746
Q9H361	Q8JZW5	D4A8L9	F1N4L4	E2RH93
P09496	P56476	D4A8E7	-	-
Q9UKG1	Q80T62	F1LY08	Q3ZBP4	Q6Q308
Q93000	B2RX70	A0A0G2K1Y7	Q9TUJ0	F1PVU2
P13533	Q9CWS1	D4AE06	Q5E9D6	E2RMM5
Q9UPU5	Q8C8J0	F1LW69	F1MX05	J9P2Q9
Q02040	Q9QZU9	Q2MJT0	Q32PG5	E2R9F6
P06028	E9Q5G3	F1LUW0	F1N712	J9P5I1
Q14139	Q8BX22	Q0VGK1	E1BFR4	F1Q0L2
O60610	Q09PK2	M0RBE5	A6QLZ7	E2R9C4
O75044	Q812F8	Q2Q0I9	F1N6T4	F6ULF5
P25098	Q8VHR0	Q9Z1A6	E1B9N6	F1PQP1
Q96AC1	Q8VBU8	A0A0G2JTY4	A7MB47	E2RR81
Q00005	P40749	Q5FVM5	K7DXW6	F1PIP0
Q9Y266	Q99MD8	Q6P7A1	F1N4T5	F1PXF3
P48729	Q8BKZ9	B1WC42	F1MF57	E2QWI7
Q9Y6I9	G5E8J6	Q5EB48	G5E518	F6XTP6
Q96LR5	Q921K2	Q71DI1	F1MDL1	F1PD78
P32942	Q9D483	A0A0H2UHU4	E1BAD4	F6V544
P46013	Q8BW96	Q6IG00	F1N243	E2RMB3
Q9BRR9	Q9CXL7	D3ZYI3	E1B941	E2RKP3
H0Y858	Q505D9	D3ZM09	F1MWD3	E2QXS6
O14967	Q792Z1	D3ZBF6	F1N4N8	F1Q0H6
P50613	Q6SP97	B2GV25	F1N0D6	J9P1L7
O43924	P62889	D3ZY41	Q58D31	E2RPF3
Q92730	Q9CQE1	P07725	F1N025	E2RQE6
Q96KQ4	Q8R5A3	Q5PQN9	A6H7G3	F1PFF7
Q9UNK0	P84089	Q923V7	Q5E9T9	E2R771
Q15058	Q60935	P54848	G3N3R6	F1PMM8
O95202	Q3U741	D4A8G7	Q28044	E2RM92
O43918	Q8BZH4	-	-	-
P35610	Q80WM5	Q63746	A4FUE1	F1P624
Q9Y5J9	Q9CQP2	A0A0U1RRS7	G3X6G7	J9NV88
O75582	Q8BGF0	P43138	E1BNY5	-
O14974	Q9ES17	Q9QZG1	F1MX09	J9PBB8
Q99742	Q61168	A0A0G2JYG3	F1MS81	F1PGF9
Q9BV90	Q9Z2W9	D3ZZ22	A5PK86	F1PUL7
Q8NE31	P35343	Q5XI55	E1BDL0	E2RPH9
Q8NF64	Q80T41	P27867	A6QNU8	J9JHU8
P48742	O70468	G3V746	Q1KZG4	Q8MKI8
Q9BWG4	Q8BYZ7	A0A0G2JXG5	F1MBG3	E2RK73
P01112	Q80Y19	A0A0G2K728	F1MQ41	E2RMJ9
Q8WWW0	A0A0A0MQE8	M0R907	G5E5Q1	F6X7M2
P51805	F6V5H4	-	-	-
Q03933	Q8CJ78	F1LSM7	Q0P5B6	F6UXI8
Q01081	Q80SS5	Q66H47	F1MM41	E2RN00
Q14141	Q9D0I4	-	-	-
P12814	E5FYH1	D3ZZR8	G3X823	F1Q048
O43524	O70551	M0RE13	F1N306	F6XTU7
Q5HYK3	Q923G2	-	-	-
Q9Y3A0	Q80XB4	D4ABH1	Q2KHU9	F1PJZ2
P11836	Q8BMB0	P17559	Q2KIG1	F1P7Z4
Q15678	Q9EQG5	O88638	E1BJS7	E2R838
Q8TEJ3	Q91ZH7	D3ZLC1	F1N299	E2QTV6
Q9BVW5	Q9ERR7	G3V9V3	F1MJ56	F1PJ75
O60443	Q9Z0Y9	D4A9A3	F1MK30	E2RG39
Q96GQ5	Q9Z2D1	-	-	-
Q9BZG8	P58871	D4AE97	F6RLA2	E2RB45
P00403	Q7TS63	P21213	E1BJX5	E2R0B6
Q5W0B1	V9GXT8	P52164	Q58D73	E2RE52
Q9UQB9	Q9DBL9	D4AEJ5	Q7YR89	F6XC28
Q8N5A5	D3Z6K8	A0A0G2K0W9	Q3T099	E2R181
P35240	Q9CX84	F1M8H7	E1BIP8	Q6JAN1
Q14324	Q64131	Q5BJW3	Q3SYV1	E2QZ59
O14646	Q63918	D4ADX7	G3X6S2	J9P066
Q8WY54	Q52KG3	G3V8P4	E1BGW3	E2RL15
Q9UNS2	Q9WVA8	P52500	F2Z4C4	E2QSS3
Q7L5D6	Q3UW66	-	-	-
Q09666	Q62468	-	-	-
Q96ET8	P59054	D3ZQR7	F1MWU7	F6URB8
Q9BV94	Q8VHQ1	D4ADT9	Q0VCA1	E2RE93
Q14116	Q3U057	D4A6F2	-	-
Q9BV97	Q8K1S5	M0R583	F1N323	-
P43694	Q99MR9	D4A7R4	G5E6Q2	Q9TSZ7
Q8N983	Q9R0M4	B2ZDP9	F1N332	E2RFU5
Q96C36	Q8BP07	F1LRC7	E1BEW3	F1PB88
Q9BQ66	Q8C788	D3ZM82	Q148F1	E2QU72
P0DP23	Q91VB2	Q5U2X6	P62326	H9GW59
P17677	A3KGF7	A0A0G2JT35	F1MZ01	J9P1Z9
Q92187	Q925T6	D3ZXH7	F1MPR0	J9NVR0
Q92854	O35308	A0A0G2K446	G3N3C7	F1PU09
Q9NRL2	Q9JHQ5	M0R3S2	F1MZL0	E2R204
Q14919	P54276	O70351	F1N6K7	A0A140T8D9
O14978	Q924H5	D3ZT47	F1MG03	F6X8I2
Q8NA75	Q3ULU4	Q62807	E1BHX8	E2R3P3
P17980	Q5EC55	D4A6K8	A4IFQ6	E2R9X4
Q9Y478	P97480	Q6AYQ4	F1MEF4	A0SYQ0
O00635	P05201	Q4FZT2	G3N0S0	F1PUT1
Q9H6S1	Q9WU84	A1A5R1	F1N5Q7	E2R4M6
P34059	Q80WC1	Q59IV9	Q2KIB3	F1P8T1
Q8TDB4	Q9D4H7	D3ZDK7	F1MLD6	F1Q2N2
P13500	Q3TZS3	O88797	E1BM91	E2RTM4
P60568	O54828	A0A0G2JVG4	G5E6E5	E2RHH7
P26358	P30204	A0A0G2K0M8	G3X6E3	F1PNY6
Q9UBB5	Q5MPP0	D3ZX21	G3N027	F1P9N9
Q14241	Q9DBN5	F8WG83	Q2HJ54	A3RLE2
Q9Y620	Q9CZN7	D3ZU84	-	-
Q02742	O35885	Q5XI70	A4FV38	E2R1V3
Q07954	G3UZ38	Q5BJQ6	A7E308	J9NVQ3
P11177	P97430	Q5U202	F1MM15	F1PBL3
O00628	Q9R1T2	Q4QQV8	Q08DY0	E2RQ87
O75936	P62196	F1M4Q7	P07224	J9P7P9
O60784	Q8K0J2	D3ZHQ5	E1BA56	E2RKA8
Q3T8J9	P97737	-	-	-
Q16665	Q9JME7	G3V6D3	Q2KIL4	E2R0A6
P19397	D3Z5T1	D3ZZS8	F1MQ69	E2R3N3
Q9ULX6	P51910	F1LZ38	F1MLL4	E2R7T3
O14910	Q8R0F6	-	-	-
O95476	F6RGI3	D3ZEM8	E1BMF1	J9NYF4
Q15818	Q60625	D3ZGS7	G3N1E4	E2R8C3
Q9NQS3	Q8BZF8	D3ZHW0	-	-
Q9NQZ2	Q9D275	D4A7F1	Q3T003	E2QSB9
Q53GT1	Q9ET22	-	-	-
Q96HJ9	P30677	F1M241	F1N4N0	J9P5B7
P13798	A0A0R4J1K3	D3ZPW1	A5PK42	E2R9Z9
Q9NUP9	E9QJU6	D4ABM7	Q765P1	Q95N78
P51451	Q8QZR4	M0R6H3	E1BDF9	E2QVV4
Q15418	Q9CWU9	D4A1Q8	E1BKT9	E2R479
Q9Y2V2	P17679	D3ZVG2	F1MV32	F1Q304
P53992	Q5EG47	Q925T0	Q3T168	E2RPA4
P41162	Q3V1B8	A0A0H2UHC9	P22027	J9PA62
Q9Y5L3	Q9D4V7	F1LQN0	P46626	F1PJM3
Q86Y82	Q9DA64	Q66H95	Q3ZBU5	E2R0F1
Q96SB8	Q08652	Q4V8I7	F1MDL6	J9NSH1
Q9HC07	Q810M1	-	-	-
P33176	E9QA16	A0A096MJZ7	F1MW57	J9P7T2
Q6PJT7	Q9D2V8	D3ZD88	P67827	J9P2X2
Q69YQ0	Q6Y685	A0A0G2K8U5	F1MCX5	J9P0G3
Q9UII6	Q8C006	B0K035	E1BA29	J9PBM6
Q99523	Q8QZV2	Q6DGF4	E1BL76	F6Y067
Q14498	Q61425	P67874	Q58D72	F1P991
Q9H5H4	Q9CW47	-	-	-
Q8NCQ5	Q8BH58	P53534	E1BDY2	-
P15880	Q8BTG7	F1M107	F1MIU2	P51742
Q9BRP8	G5E8C0	Q5FVR2	F1MU34	F1PT54
Q8NBM4	Q9QXU7	A0A0G2JX31	A4IFC9	E2R9Q9
Q96NY9	Q9JIP3	Q4V7F3	E1BEB9	J9NRX7
P57088	F7BTP0	-	-	-
P49327	A0A0G2JGH9	A0A0G2K761	F1MG39	E2QV01
P42766	Q7TSV6	F1LQD1	G5E5D9	J9NWZ2
Q9BUA3	Q91VH2	E9PTA5	F1N0D5	F1PV84
Q15661	Q9R0M5	P02634	Q08E29	F1PQD4
Q8IXZ2	Q6NSQ5	D3ZJ70	A2VE63	J9P0L5
O60826	Q7TN08	G3V804	A4FUD1	E2RJW8
Q92600	Q9Z1Y9	D3ZN15	Q3T0Z0	E2RDY2
P25490	P06684	D4A4U2	F1N1D1	E2QTR5
O75558	Q14DQ1	G3V7T1	Q2KI84	E2RAV5
Q86T82	P61759	Q3KR54	-	-
Q16342	Q8VD57	Q63621	A6QR30	J9NYW5
Q70EL4	Q8VCV3	-	-	-
Q8NCA5	P45952	D4A133	E1BAM5	E2RKW2
Q8NFW8	P58686	F7EYR2	A6QP44	F1P903
O95994	Q9JJC6	Q78PB6	F2Z4I9	J9NU88
Q8WUW1	Q64692	F1LV79	F1MGJ7	A0A0B4J198
A8MVW5	Q9D020	A0A1W2Q6F6	Q58D78	E2R681
O14763	P51450	F1M853	F1MJX4	E2R120
Q6KB66	Q8CJ53	D4A0U3	F1MZ49	E2RCM0
O15105	A0A0R4J0I5	M0R6B1	Q29RS1	E2R4B5
P19623	Q9D6J3	D4A9Z0	F1N0F3	J9NST3
P49821	Q9JJZ8	B1WBP4	F1N4C8	J9NS26
P56556	Q9QZL6	Q5RJN9	E1BA11	E2RNE4
Q92529	Q7TN58	Q9Z0Z2	E1BFB3	F6XQ10
Q8N1G4	Q3V3A1	-	-	-
Q15125	Q91VB8	E9PT72	Q3ZCC4	E2R5D8
Q14011	B2RU90	M0R6B9	Q05B46	-
Q9Y490	P97789	A0A0G2JTM7	A5D9A8	J9P840
Q13595	Q8CBY3	G3V7U7	A0A140T894	E2R857
Q2TB10	P97290	B4F7C5	Q0P571	E2R1L4
Q12770	Q3V122	D3ZY39	A5PJH6	F1PDX0
P30154	G5E856	P41137	E1BD15	F1P8B5
Q9BVA0	F7D043	G3V7Z7	E1B901	F1PU59
Q96LK0	P58058	-	-	-
Q9Y5Q9	O70293	Q68FR6	E1BK57	E2RFH1
Q9P2Y4	Q8CE46	F1LTW9	E1BKX7	E2RN16
O95747	Q6P8K5	F7FG31	F1N091	F1PKS7
Q5TAQ9	Q7TN29	Q5U2R9	-	-
Q96CW5	Q9QXW4	A0A0G2JTN7	F1N0Q8	E2RC95
Q8TAK6	Q8CBY8	-	-	-
Q9H788	P58391	D3ZPW6	F1N0L9	F1PPR2
P17535	Q9D1P2	Q2MCP5	-	-
A0A1B0GUU1	D3Z603	D3ZNE0	E1BJ06	J9NWU3
Q8NI27	Q9CQ36	Q6P7R3	E1BJL1	F1PVB7
Q9H8S9	Q9D710	D3ZGQ5	E1BM33	E2QWN2
Q9H1D9	Q8VDT9	Q5RKH9	E1B8W2	F1Q2U5
Q9H2S6	Q6PFX6	D4A5S0	-	-
Q9Y4A5	Q6PJN8	P0C5I0	Q5E953	J9P2Y6
P43119	Q8K2W6	P00173	-	-
Q75V66	P35582	P07943	-	-
Q8NFY9	Q78IK2	G3V737	Q3ZBJ3	F1PAT9
Q96CT2	Q80TF4	Q5XI97	G3N181	F1PZ03
P21964	Q9CQ20	F1M062	Q1JQD2	E2RD03
Q9UHF1	O35516	D3ZQJ0	F1N5L7	F1Q1B9
O95563	Q04841	D4A120	G5E618	E2QWN4
Q9Y467	Q91VJ4	-	-	-
O43592	Q2TBE6	A0A0G2KAE3	E1BNN0	F6XHP7
Q9BZH6	Q6NZQ6	M0R6J5	-	-
P01241	Q8BGY7	P70536	E1BFD5	E2RE81
Q9NPF4	Q07916	M0R8P3	E1B9Z8	P13679
P17096	P59530	F1MA19	E1BPB5	F1P6R2
P14652	Q2TJ95	D3ZHR4	P23726	F1Q0G4
P25963	Q9CXM0	D3ZQJ2	E1B7Y3	F1P8S0
Q04446	P62488	-	-	-
Q3LXA3	Q99N14	E9PSU2	F1MG80	-
P48668	Q9WV04	G3V8P5	P62871	E2R747
P48553	Q8BLK3	D4A8G6	Q0VD10	F1PHD9
Q08495	Q3USZ8	O08700	Q0VCH2	-
P02671	Q6PDZ2	Q63560	G3N2J6	E2RM91
P01011	Q61200	D3ZK96	F1MQN0	F1PS59
P19838	Q9CR75	Q5XFV8	E1BIU9	E2RCA8
Q6ZN18	Q64505	D3ZA82	A4IFJ5	J9NZ74
Q92800	Q61160	Q498N6	Q5E9F9	J9NU85
Q16555	O70291	A0A0H2UH93	Q5EA95	F6UYJ0
Q8NFA0	P49003	B2RYW7	Q3ZC86	F1PFU3
Q14938	S4R1F8	Q62824	F1N594	F1Q1J8
P52434	Q61011	P10111	Q5E9H9	E2QZA1
P53803	Q9D181	D3ZY38	F1MPZ6	E2QVF4
Q9BZJ0	Q91WS7	D4A523	A6QLI4	F6X6L7
Q5T653	P70704	F7FH45	A4FUA8	E2RKJ6
Q9BSM1	P62911	D3ZN38	Q3T196	E2RSG3
Q66K89	E9PX68	A0A0G2K6B7	Q3SWX8	E2RJK8
P29317	Q7TPW1	Q32KJ9	E1BET5	E2R9T6
Q13009	Q8C0Q2	M0R3X7	F1MDL0	Q4L144
Q9NRA1	Q9D684	Q9ES53	F1MG81	F6X6I6
P38159	Q791T5	F1LQN6	A4FUC1	J9P6R1
Q15406	A0A0R4J1N2	F2Z3T4	Q861R0	E2RQB6
Q8N9I9	Q9D6I9	D4ACW1	F1MZ73	F1P762
P08700	E9QL24	F1LRY5	-	-
P42336	Q149L6	Q07120	F1MQS5	E2R2J0
O60333	Q8BKD6	D3ZLI9	Q1JQA8	E2RGI5
Q92520	Q61598	D3ZAB7	Q08DH8	E2R8V6
P02686	Q0VDQ9	G3V6Z8	F1MEI9	E2R5M1
Q15007	E9QM61	A0A0G2K687	F1MJS7	E2RLE0
Q8N9T8	P51949	F1M784	E1BL88	E2REV4
Q96T60	A0A140T8T7	D3ZAN4	A5PJP5	F1P773
Q13625	Q1HDU4	Q9Z2P5	A4FV37	J9PBG4
O15063	Q8VE37	A0A0G2JUX5	F1MH01	F6XQ49
Q9Y2A7	A0A0R4J0B8	D4A1M1	F1N118	P62286
Q8WYB8	P46099	Q4LEV3	Q2TBX5	E2R0D5
Q401N2	Q9D5V5	-	-	-
Q9Y672	Q8C8B0	A0A140TAH3	Q2NL26	J9NXZ5
Q9NRW7	P61028	Q3T1H8	-	-
Q9NTG7	Q9D7J6	Q6AXP1	A0JNK0	F1PI97
Q02928	Q5VCS6	D4A4Y4	Q148J1	E2RGP6
Q92629	Q9D411	D3ZX38	Q1RMT2	E2RPR4
Q9UBS3	A0A0R4J0G9	D4ADT7	F1MBE0	E2RJF4
P98179	Q99K60	M0R3X4	F1MAU6	E2RJS3
Q04844	O70145	B0BMV4	-	-
Q96HR8	Q8CE90	M0R5Z2	Q95LA0	F6XFR8
O15075	A0A1W2P6U8	Q64617	A3KN01	E2R084
P20648	Q91WM1	P07340	Q1JQA0	F1P9U9
Q14847	Q91YL2	P14423	F1MU04	F1PHS7
Q9UN86	P28063	A0A0H2UHR6	F1N1F7	J9P3A1
Q12913	Q8CEH8	B2RZ48	E1BG80	F1Q2H9
Q5M775	P0C872	-	-	-
P61328	Q8BSE0	D3ZSD3	E1BN59	J9NZK9
Q05066	Q544E8	P84025	Q1JQC1	E2R3G8
O75348	O35942	D4A4X3	G3X6H5	E2R023
Q96Q07	Q8BGQ6	Q7TNK3	G3MZ49	F1PD92
P58166	Q9D154	Q62640	F1MZK5	Q06220
Q9NVM4	Q6PDH4	-	-	-
P82650	Q8BG19	A0A0G2KAD0	F1MH70	J9P3F0
Q969Q0	Q8CHW1	A0A0H2UHF2	E1BCT7	F6UQ08
Q6ZWJ1	P48299	B1WCA1	Q2HJ23	E2R7X7
Q9P2K6	P62515	G3V8J2	F1N5U1	F1PGQ6
P08833	P40935	-	-	-
O14777	Q8R3Y8	-	-	-
O94927	P55302	-	-	-
Q5TB80	Q8K010	A0A096P6M0	A6QQU1	F1PZH2
Q9NV66	Q80VP2	Q8K4B1	-	-
Q6IC98	Q9Z150	D3ZSV7	F1MC55	E2RAD0
Q8TC07	Q8BWY3	-	-	-
Q07617	Q99P21	Q9WVR8	A4FUX6	E2RS03
P51398	Q80UN1	F1LQL9	G3N3T5	F1PFI4
P41279	Q8VE57	C7E1V1	E1BEG7	E2R0N6
P45985	Q6P1G6	A0A0G2JUM3	F1MD46	F1Q0K8
Q8NFN8	Q9Z1R4	D3ZTZ0	F1MEJ0	E2RED8
Q8TBZ8	Q8BYC4	Q5XHY3	F1MRF3	E2RIF8
P61619	Q8BWT1	B2RYC8	E1BDD5	F1PKW7
Q99985	E9QPR7	F1M3B3	P13605	J9NUW3
Q9UBQ6	Q99N43	G3V8U8	G3MY67	F1PHV1
Q8NFR7	Q62158	D4A4W7	E1BHK6	F1PUF8
Q9GZZ8	Q0GA42	F1M386	E1BAK2	F1PRR5
P79522	P21981	Q6Q0N1	F1MM11	F1PY69
Q6ZMT1	P97819	Q5RKH7	-	-
P00846	O55100	D3ZXP7	Q2KI79	E2QXD1
Q8NBJ4	Q9JLJ1	Q01129	F1MSB5	E2R1M3
O14773	Q8R4U1	E9PSR0	F1MN30	J9NS65
P16403	Q9WV03	Q1LZ51	Q3ZC95	F1PUP7
O60447	Q61112	A0A0G2K6K7	-	-
P33151	Q9ESG6	Q6AYS5	E1BEX4	-
O00244	Q8K298	F1LXU3	Q2KJ61	F1PKU3
Q02790	Q9DBR0	-	-	-
O76041	Q8R1Q0	-	-	-
Q702N8	Q9D805	D3ZU42	F1MBE1	J9NSF3
Q14781	O35343	M0R4J2	F1N753	J9P2Z2
P49069	Q6GQS1	P02793	Q7YRQ5	Q38HS3
P01909	Q9CZE3	Q5PQN0	A7Z074	F1PY54
Q93050	Q8CHH1	Q63511	Q2KJ82	F1PP89
Q9H9G7	G3X8R0	A0A0H2UHL7	F1N4V5	E2R415
Q13950	Q6ZQ03	Q76GL9	Q3ZCD6	Q9TU31
P31749	Q8BGK2	J3KTS0	G5E5L4	E2REB4
Q9UQF2	H3BJD6	Q71UF4	Q3ZBA7	E2RLJ4
P16234	Q3TYD4	D3Z868	Q3ZC53	E2RPV2
Q9Y4F1	Q8R4E9	Q5NDF0	E1BPL4	J9NYE4
Q8WWB7	Q6URW6	A0A0G2K988	F1MIF0	F1PLZ1
Q9UMN6	P61021	D4A2N0	G3X728	F1PR63
P11464	O54907	G3V6P5	A6QQM8	F1PRR3
Q00889	Q9D3J5	Q5RJP7	F6RX64	F1PLD0
Q4G0X4	Q8CGA4	D4AAH4	Q3T0Z5	-
Q8NC69	Q80W85	D4AD81	F1N0N3	A0A140T8E2
Q9BT25	Q7TNF0	G3V7T2	E1BC84	F1PA67
P26038	Q9CR76	D3ZK09	E1BLE8	E2R7B9
Q9Y5K6	Q9D9Q3	-	-	-
Q9NQR3	Q62205	F1LMQ1	Q2KHY5	J9P0L8
Q9ULW2	Q9CQI1	D4A1C1	F1MND5	F1PGL1
P17600	Q91ZD4	D4AC65	Q2YDE0	J9NSV7
P53701	Q9DAP0	O54924	E1BNI6	J9NSF8
Q6ZMZ0	Q7TQC7	-	-	-
Q8N3R9	O08738	F1M6B6	F1N5U2	F1PTI5
Q15388	P42567	Q6P7C4	Q17QN6	F1PG87
Q04727	P25688	D4AE31	E1BHH6	J9P3W4
Q14774	Q8BW10	Q6MGB6	Q08DL9	J9JHJ1
P12259	G5E8Z3	G3V781	F1MK40	J9JH96
Q96SQ9	P60762	P52953	A6QQV9	F1PEY9
Q99618	Q62313	Q5U309	P63243	E2QWG2
Q12815	Q8C886	M0R6L2	A0JN94	E2QXT4
O60729	Q924X6	D3ZWT6	E1BHP4	E2QZC3
P37108	Q8BH16	D3ZVQ3	F6PYZ8	E2RR78
P55345	Q62261	Q9WTQ1	E1BGA9	F1PES5
O43175	Q9JJL8	Q6MGC2	F1N0Q2	J9JHG8
P06401	P57785	D3ZZ04	F1N768	F6XBK9
P26367	Q7TNJ0	B0BNM1	A6QPA0	E2RMA8
Q3SYG4	Q8C120	D4AAV1	A4Z943	F1PGX2
Q9NRZ5	Q9CZJ6	P46152	F1MTH3	F1PZD7
Q6P158	Q6P3Z3	Q4KLI4	E1BJ10	E2RMD7
O75381	Q6ZWR6	Q9JK00	E1BG57	J9NU14
