O15116	Q99J45	F1LTB8	A4FUE0	J9P8M7
P09237	P21658	-	-	-
O14775	Q9R049	B2RYI2	F1MGX4	E2RJW7
Q9ULZ3	P19426	-	-	-
P09630	Q8CFI2	A0A0G2KAG1	E1BNF1	F1PDP9
Q5RKT7	Q9CQ26	-	-	-
P11234	A0A0R4J1G4	B1WC18	E1BB06	F1PWB1
P05106	Q9JL15	A0A0G2K8N1	E1BNG7	F1PM17
Q7Z736	D3YX87	D3ZER1	A1A4P4	J9PA01
P30504	P97360	-	-	-
Q9NZ23	Q9DAI4	F1LVF5	-	-
Q96EX1	Q61858	D3ZQX3	G3MX10	J9NY11
Q9UHA7	Q922I5	A0A0H2UH93	F1ML31	E2RAH1
O15519	Q6NZR5	G3V620	Q2T9R2	E2R7D3
Q29637	P23336	D4A2V0	E1BNL8	E2R9V2
P18850	Q9D952	A0A0G2JWZ1	Q58DT0	E2RF02
O00624	A0A0A6YVW5	Q5EBD0	E1BEC1	F1P8I2
Q9H0K6	Q0VF55	Q6AY84	Q2LGB6	F1PLX7
O43488	P32507	A0A0G2K1P8	F1MXR0	E2RM13
Q9Y536	Q64481	A0A0G2JU33	F1MHA1	E2RBL7
Q8TDX6	G3X9N2	Q5M8B4	F1MKS7	F1PEI7
Q9NZH0	Q4V9W2	O35264	E1BPE5	E2R264
P49321	Q80U87	Q63151	F1MFI1	E2RDE2
Q14511	Q6A028	P56500	E1BMV3	E2RKZ9
Q8TB61	Q80VC6	P85972	F1MFG9	F1PPM9
P60903	J3QNX1	D3ZVG1	E1B7X8	E2R910
O95661	Q8BFW9	A0A0G2K5E2	F1MMD4	E2QZX5
P42262	E9Q0S6	F2Z3T4	E1BIA5	F1Q3B8
Q9BT40	Q9DCD2	G3V7J7	Q3SYS3	F1P9D6
Q96BA8	Q8BPH1	F1M3U9	F1MVZ8	E2QUY2
P13284	Q8K348	G3V633	Q3SYR2	E2QWK5
Q6P1J6	O09165	Q5BJR4	A0JN70	A0A140T8D7
P20393	Q9R0P4	Q6MGA9	Q17QZ9	J9P0P7
P35575	Q8BRK9	D4A108	Q2KIB6	F1PC52
O43684	A0A0A6YX89	Q6MG49	E1BGZ2	E2RHM4
Q9UJX5	P48168	-	-	-
Q5VT06	Q8VHK9	F1LRD7	F1MZM2	F1PLS0
Q86SR1	E9QPI5	F1LN91	P15497	E2QUP6
P82932	Q920S3	D3ZGZ9	G3X7X2	F1PNU9
Q8NBT0	Q9DB05	O55043	F1MGG8	J9PBG8
Q9P055	P97433	G3V6I1	G3N311	E2RQN3
Q9BS18	Q5RJG1	Q6AY77	E1BG88	J9P653
Q96IZ7	Q07802	M0R3Z9	E1BD58	F1PWX9
P20591	P11835	G3V7I8	F1MZB0	F6XEX1
Q96G25	Q99LC4	E9PU13	E1BJ30	J9P1J6
O60269	Q3UVY1	D4A8E5	-	-
P63220	Q6P4T2	A0A0U1RS25	Q08DN4	F1P750
Q8NHJ6	Q9D416	B1WBY9	F1MYW7	J9NSU4
P62308	P45878	M0R567	E1BAC1	E2R1C3
O95147	P26011	Q9Z2N6	F1MRP4	E2RRI0
Q9HBH9	Q9R1K5	B6ID01	-	-
O00322	Q8BHN1	D3ZH31	P10861	E2QUK6
Q8NC56	O88282	Q6PPF3	F1MEZ4	E2R6F1
Q8WYA1	P12979	-	-	-
Q99784	Q99KD0	-	-	-
Q6ZMK1	P59532	F1M9P5	Q3SZS9	J9P8I7
Q9HCM9	P48967	D4AC70	F1MC12	F1PTC7
Q13183	P56477	D4A3U1	E1BDX4	E2QZL2
O75344	Q3UJB9	Q925G1	F1MPQ8	E2R9W1
Q9NR77	E0CXW2	D3ZJW0	F1MHI6	F1P9C3
Q9C0C4	Q8CIV7	D3Z8E2	F1MBU4	E2RJY9
Q96EX3	P59438	D3ZHY2	F1MBQ6	F1PW22
P50851	Q8BZ60	D3ZV63	E1B910	E2RJJ6
Q8TEB1	P97304	A0A0G2JYY3	B0JYL0	F1PLU5
O60934	Q8K402	Q569C4	Q148M2	E2QWT8
P49447	Q6ZQE4	F1M1Y4	E1BBD0	J9P4X9
P78524	Q99MP8	D3ZNW1	E1BE22	F6XJ85
Q9UQ03	Q5HZK2	P04218	F1MFT1	E2R1Q6
Q9NZN4	P21183	D4A633	-	-
Q9Y6Q5	Q9D428	B0BN64	A0JNI5	E2RQM2
Q8WVV5	Q9CQJ7	P10037	-	-
Q9P253	A0A0R4J1R1	M0RBF1	F1N270	H9GWG2
Q8TF64	Q9ERE2	Q9ET58	E1BFZ7	F1PAU3
Q8N5Y8	Q8BYZ7	B5DF11	Q58CX9	E2R214
Q9H4Z3	Q921V3	Q9ES39	F1MLB1	J9NZ97
Q9Y2M0	Q61645	Q2THW7	E1B9S9	F1Q0F3
Q9Y4C4	Q8R040	Q6VPP3	F1N360	E2RJA1
P09001	Q8BK35	A0JPJ7	-	-
Q92620	Q8VCY6	Q3SWU0	G3N2Y5	E2QSD8
Q7Z6G3	Q8VHW4	Q5NSW5	A5D7L0	F6V0Y6
Q9Y221	Q80YE7	A0A0G2K4Q4	Q3T0W4	F1Q4H0
P10301	O55203	A7UJ12	Q2T9Q2	E2RGD1
P48995	B8JJE0	G3V962	Q2NKS2	F1PJ27
Q15149	Q9JL70	D3ZFB2	-	-
Q9UBD5	Q3UHH1	P61765	P56965	F6XYC2
Q9Y5W9	Q9JM97	G3V8T6	Q1LZD4	F1PBD7
Q08J23	Q61644	A0A0G2K0Q2	G3N1I7	F1PIL1
Q9NZ94	Q8VCU0	Q5EAP0	F1MZ01	F1PKD4
Q9UQ72	E9PZ87	D4A815	F1MR87	Q95LA2
Q8IUW5	Q64280	A0A0G2JVT8	Q3ZCB2	F1P8U7
Q96RF0	P63011	P02680	F1MUJ6	-
Q9H4L5	Q8C5N3	-	-	-
P40818	Q8K0H5	F1LXF1	F2Z4J5	F1PS69
Q6EEV6	Q9Z1E4	D3ZAI0	E1BEQ5	E2R7R1
Q5QJE6	Q9CQS9	D3ZS88	E1BBC4	F1PDS0
Q71DI3	Q9D1Q6	Q5U202	E1BFN3	E2QTC7
Q6FHJ7	O70477	-	-	-
Q9NW97	E9Q0A4	F1M9X7	Q2KJ85	J9P229
P02452	Q9CWZ7	Q920J3	P55918	E2R7I0
P98161	E9QLC2	A0A0G2K1P1	F1MBS6	E2QSZ9
P61966	Q715T0	F1LW89	E1BE19	F1PIT3
Q08209	P30658	A0A0G2JXD7	-	-
O75031	Q8BVI4	P43253	-	-
P25106	Q9CQA9	D4A3J9	Q2KIY8	F1PGW9
Q13489	Q9D1C1	D3ZTD1	E1BHI0	F1PWS8
P24844	O70318	O70188	F6Q3H3	J9P381
Q9H334	Q61080	B5DF58	Q5EA79	F1PX38
P01780	Q5SS80	B2GV25	F1MR77	E2RPR7
O00410	Q8QZY9	Q63570	E1BN47	F1Q1D5
Q9Y2I7	Q8R146	Q4QQS8	F1MZQ0	F1Q102
P08240	Q8BW86	D3ZHZ0	E1B8Y9	J9P185
Q8WYP5	O08529	Q4KM52	Q2KIX1	E2QUB3
Q15543	Q9D2S4	A0A0G2K4A3	F1MBG2	J9NUF6
Q15544	B2RR83	Q6AYE2	F1N6H1	J9NTS1
Q8N5M4	P35584	Q5XIB5	F1MKC6	E2RCI1
Q59EK9	P15261	D3ZRH6	E1BEE6	F6Y732
P22304	P01837	G3V7B4	Q29RI2	E2RKF5
Q8NBK3	P12658	P10252	E1BJ74	F6UWC1
P36507	Q9D8N3	P02563	Q76LV1	G1K2B4
Q92696	Q9CY62	-	-	-
Q99584	Q9WU62	D4AB60	F1MLZ1	F1PCL3
Q5VU97	O35486	Q63564	Q148K3	E2RAZ7
Q6UWE0	Q64505	D3ZVL5	F1MLB2	E2QU81
P07099	P27600	Q811M5	F1MHI9	E2RA98
Q96C00	A2BIE1	Q4V888	P28800	F1PX36
Q9C0G0	P84025	D3ZT79	-	-
P07476	Q61039	Q1RP77	Q0VC24	F1PGA0
Q9NRX1	Q8R4E9	D3ZQ25	Q29RL2	F6XUT8
O15047	Q8K2J7	Q5FVT6	Q1LZB9	E2R7I7
A4D1E9	Q8R5M0	P70552	F1MTI1	E2RQJ0
Q8N1K5	Q9JJZ4	D4AC05	F1N1X5	E2R9S2
Q8TB52	Q62371	F1LPC7	F1MTU6	E2QTP5
O75419	E9Q1G8	G3V7B7	F1MAV6	E2QTT0
Q13415	Q3UUX7	F1LNE5	Q59A29	J9NWF7
Q96KM6	A0A0R4J1F5	D4AAM0	E1BDS1	E2RJ94
O43502	P41778	P15257	E1BBW9	E2R5Q1
Q96HS1	Q6P5B0	P09527	F1MLY7	E2RMS9
Q9H0U6	Q9D2Y6	P83888	F1MXY9	E2RBV8
P05413	Q924A2	D4A457	F1MVP8	F1PYC8
P56199	E9Q9F7	-	-	-
P10316	Q9CV95	-	-	-
O76015	Q80WW9	F1LNT3	Q5E9G3	F1PLH1
P49902	S4R1I3	-	-	-
Q70IA8	O55057	D3ZWW5	Q05B69	E2R886
P53384	Q0VDY1	B0BMT9	A4IF78	E2RJB9
Q9BXF9	Q9JKD3	-	-	-
Q96CV9	P29594	-	-	-
A0A0S2Z528	Q9EST1	Q8VIE4	P79331	E2R906
Q9P0L2	Q3UQ41	-	-	-
Q9H8X9	Q8CIG0	A0A0G2JUD0	F1N6R4	E2RGX3
Q14807	Q8CEE6	M0R9Y7	A2VDW0	Q4L144
Q8NF99	Q8BUG2	D3ZB99	Q1LZE9	E2RLQ5
Q9BRR0	Q01721	D3ZMS3	Q3SZ17	F1PJN8
Q8IWN7	Q9ESP5	Q0VGJ9	Q5BIP7	F6XL96
Q9P1Z9	Q9WU63	Q56A29	F1MHR8	F1PPK8
P42694	Q64701	Q6P136	Q08DH4	F1PI73
Q10713	Q8CID3	D3ZCS5	A8E658	E2QRT8
Q96IX5	Q9R1C8	Q642C0	F6RLD1	E2RM51
P31995	Q8C4A5	Q7TPJ0	-	-
P25786	Q923E4	F2Z3Q8	G5E577	J9P6N4
Q6UWN0	Q8CGC6	D4A543	G3MYH4	F1Q2Q9
Q03060	A0A1B0GSQ5	D3ZBY5	-	-
Q5JRX3	Q6NXK5	Q63400	E1BGF8	G1K2D9
Q96I99	A2AUK5	P41137	F1MJ58	F1PNM2
Q92543	F8VQ23	Q9R095	E1BDB7	E2QZY6
Q92932	Q8CFA1	Q6P684	F1N7I8	E2RBF4
Q9NUL3	Q9D0B6	A0A0G2JZ73	F1N7X9	E2QZ59
Q06643	Q8K330	A0A0G2K6E5	E1BPM6	J9NXA2
Q15059	P48722	G3V8A5	A8E644	J9JHM0
P54756	Q8BQJ6	Q3KR99	P21758	F6XQY5
O15442	P12804	P49803	A7MB62	J9NT19
P46019	Q62120	E9PTJ1	E1B9S8	F1PA10
Q9UKF2	F8WGK6	Q63373	P52505	F1PLP5
Q53TN4	Q8K2P2	Q5XII9	A6QPP2	E2RG30
P11912	Q3LHH8	P16573	F1N6F5	E2RRZ0
Q8WTQ2	G5E8A8	Q6AYQ6	E1BDA9	E2R9U0
Q9UEH4	Q99J85	G3V6H4	Q9N1Q9	F2Z4Q7
Q9UIF7	Q9WVL0	D4A625	F1MQK8	F1P9G6
Q96L92	P55065	Q01579	Q17QN6	F6XII0
Q9NP55	B8JJD6	-	-	-
Q9NUM3	P30545	Q66H61	A6QPI2	Q68CI2
Q6AHZ1	Q8VEA6	Q9Z2I6	G3MXB1	F1PGC5
O75151	Q8K1S4	O88211	G3MZU2	E2QYX1
P23443	Q99P72	E9PT65	F1N261	E2RFP5
O75192	Q0VBU9	D3ZCM3	E1BI51	J9NV30
Q9UMX1	Q80XC3	E5RQ38	F1MZ69	F6ULW3
P16444	Q505G8	D4A0C8	-	-
Q96MV1	Q3U0P5	P17988	E1BKB2	J9NVS8
P35916	F8VPM9	D3ZZX9	F1MDU5	E2RF50
Q99808	E9PWY2	A0A0G2K2U7	A6QQQ0	F1PUW7
P20929	Q9D9Z5	A0A0G2JU41	G3MWJ2	E2RKL4
Q9UIF9	O35445	-	-	-
Q9ULJ8	F8VPK5	F1M8K7	G5E5J3	F1Q1G0
Q15945	B2RXE2	P51556	Q08DK9	E2RKC2
P07199	Q9Z2Q6	-	-	-
O75110	Q8VDF3	D4A9F4	F1MI16	J9P4H8
Q9NYV6	Q9D6T0	D4A5P3	E1B9I9	E2R4A0
Q9Y210	Q3UJP5	F1LRJ7	A2VE46	E2RFU8
A2IXV5	Q62070	F1LU76	E1BEJ7	A0A140T8E3
P50549	Q8CHT0	Q53B90	E1BFF9	F1PYP5
O60481	P97765	P59215	A7MBI0	-
O75578	Q9D9F7	Q5M7T7	Q0VCC8	E2R5G7
Q15436	G3X956	Q6P0K8	A3KN07	F1PXQ9
Q96TA2	P50207	Q68FU8	Q2KJC8	J9NWK8
Q9P2J9	Q80YA8	O35531	A6QLE1	F1P9R3
P41223	P48318	-	-	-
Q8N831	Q6P926	G3V9B1	A7MBK5	J9P713
Q16773	Q9CWR2	D0IN10	F1N7N3	E2R0L0
P51674	Q9JK42	Q6AXU3	A2VE30	E2RDR8
Q96TC7	Q99JX3	G3V9Q4	A6QL85	F1P9S0
Q5XG87	Q8BP67	Q6IMG5	-	-
P35251	Q8BGT7	D3ZTY9	A0JN43	E2QWC9
O60231	Q8K224	D4A2D7	Q3SZ56	F6UNG9
Q14129	P58660	Q5U1X1	E1BEG7	J9P6H4
Q8HWS3	Q6UJB9	-	-	-
P00749	O55108	D4A778	Q29RZ1	F1PSB1
P05121	G3X908	A0JPL0	F1MDT4	J9P492
Q96FS4	G5E872	A1A5R8	E1BEI7	F1PTA4
Q8TDD5	Q69ZS6	D3ZYY8	A2VDT6	F1PNT6
Q6PI78	A2AGT5	P35353	E1BM99	F1PJC7
P55211	P70218	D3ZPP0	Q3SX21	F1Q260
Q9BUR4	Q9DBB9	A0A0G2JXN8	Q95106	E2RM87
P53597	Q6P5F6	D3ZHG4	F1N1N9	E2QYK9
Q9HCU4	Q9DA77	Q924C9	-	-
P50052	Q8BLH7	Q78EA7	E1BLD2	E2QW25
O95343	Q9D7P7	Q9ES58	F1MIH5	F1PAA0
Q9BWU1	Q0VF22	A0A0G2K728	A4IFM3	F1PU18
Q7Z2X4	P28322	D3ZGU0	F1MPE8	E2REB0
Q9H5N1	Q6Q899	A0A096MK84	F1MQG4	J9NVP1
Q9BY41	P07091	A0A0G2K1V9	E1BDF0	E2RCV1
Q9H4F1	Q6ZPF4	G3V9L1	F1MNJ8	E2RC81
O95786	Q5SWT9	G3V7R4	E1BMN5	F1PIP0
Q13371	H3BLC8	Q561R7	A6QLJ8	G1K2A5
Q8IXL7	Q9JKX3	-	-	-
Q9P2W9	A0A140T8R2	M0R4S3	E1BCB3	E2RMJ3
Q9P2Y5	Q9R0N8	P61972	Q2TA22	F1PZK4
Q9HCI7	Q921U8	-	-	-
Q9UBC5	Q920Q2	-	-	-
Q06546	Q9JK84	Q9JII9	F1N5D5	J9NZ30
Q9NVM1	A0A0R4J2A3	M0R4T5	A7MBJ7	E2QVC5
Q9UNE2	Q3U2E2	D3ZQ41	E1BIY5	F1PBB7
Q4U2R6	Q02357	A4GW50	-	-
P18621	Q6ZQ58	F1M842	P68138	J9NSG1
Q96RU3	Q9DBY8	B3GNI6	-	-
Q99942	Q91ZZ5	D3ZY96	E1BHR3	J9P087
P09326	Q9CQL0	Q6TUF2	E1BN37	E2RKH1
Q5UCC4	Q69ZC8	Q9JKD6	F1N045	E2RF42
Q9NRP7	D3Z7Q2	G3V834	F1MIU6	J9P896
Q8WTX7	D3YUE4	F1M078	A4FUB7	E2RM03
Q9NXC5	O88819	A0A096MIU9	E1B9G4	E2RPP8
Q14156	Q8BJT9	Q6AYS5	F1N2B3	F1P9P9
Q96EU6	Q8K2F8	P50503	A6QLW1	F1PPT7
Q13887	Q8VCM8	D3ZLC1	F2Z4G3	F1PRY9
Q9BX70	Q8CH09	D4A2N1	E1B8K0	E2R484
O75943	A2AFR3	P0C5J3	E1BMW6	F1PQ92
P31153	A2APV2	A0A0G2K2B5	G3N370	E2RLA4
Q10589	Q8VE98	-	-	-
Q9BRJ6	Q9D620	A0A1B0GWW0	A6QQV8	E2QYZ9
Q9Y3A4	E0CYV0	F1LPF8	F1MZL8	E2RCI9
Q9UNQ2	Q6NVF9	G3V662	F1MQG6	E2R3H9
Q9C0I3	P04224	O88278	-	-
P11388	Q8R5L1	A0A0G2KA75	Q2KIA5	J9PAY8
Q9UHL4	Q99LH2	Q6AY61	-	-
Q6YN16	Q6ZQL4	-	-	-
Q09013	Q6P8P8	P29457	F1MVT9	F1PGB4
Q86UD4	Q3UXZ9	D4AEK4	Q0P5H9	F1Q0Z0
P53990	A2ABV5	M0RAR7	A5PJI5	F6XKG0
Q86VI3	Q8R0X7	G3V9D7	F1MTD8	E2RGT2
Q12846	Q8R3B1	-	-	-
Q99719	Q921X9	O35112	A6QR18	F1P9H0
Q9NVE7	Q9CX84	Q6P7Q2	F1MN45	F1PEI6
Q86SF2	Q0VAY3	-	-	-
Q9Y5E2	Q3V1N1	D3ZX30	E1BFC2	E2R1K9
Q9BV29	P55821	M0R7W8	-	-
Q99575	Q8BGQ7	D3ZC56	F1MC61	F1PTT1
Q13064	Q6NTA4	P00564	Q08DZ3	E2RLW1
P21730	Q9QWZ1	Q925B5	P98133	J9P0Y8
P39019	Q6ZWN5	-	-	-
O15155	Q923M0	A0A0H2UI34	-	-
O75396	Q923F1	Q498D8	G3N2L2	F1PWX2
Q92508	Q9D0B1	P55006	F1MZ78	F1PAS6
Q8TF42	Q7TSC1	B0BND9	E1BKM4	J9NZA9
Q8IZD9	Q99M03	Q66HH1	Q0VBY0	E2RA19
P63027	A2A863	-	-	-
P13489	Q9DAJ4	A0A0G2JWZ8	A7YWK4	F1PYN7
P22612	Q9DB54	Q63713	G3MWH6	F1PTR1
O75022	Q62407	P0CE46	Q58D00	E2REA7
O94925	O08609	Q4V8B8	A4IFS9	F1PD79
P12955	Q60715	D4A131	F6RJL7	J9NYF2
Q7Z5J8	O54943	P53534	F1N7Y7	F1Q4K0
Q9P1U1	Q7TMR0	A0A0G2JT62	Q2YDF0	F6Y4W8
Q9Y5J7	O88940	Q68FX6	F1MIZ1	J9P4Y5
P05165	P97737	A0A0G2K1M0	F1MGX7	E2RSC1
Q12830	Q9QXJ1	D3ZV49	F1MXC3	J9NV05
Q8IYT2	V9GX48	A0A0G2JWM6	E1BJ80	-
Q14209	Q60954	Q7TP52	F1N439	Q2Z1P8
Q2M3R5	Q62414	D3ZS21	F1MHS0	Q5J2F2
Q9UBX3	P62305	B2GUY1	F1MM79	J9JHR0
Q96N64	Q80TI0	Q4KM91	F1MCS2	E2QYQ6
Q15434	Q3ZAS0	F1LPQ9	Q56JV6	F6Y507
Q8WYR1	O70274	G3V7Q4	-	-
O15055	A7UAK5	D4ADJ7	F1MP12	F1PBE7
Q96KC8	A6H6A4	Q2VJ17	Q0VCZ4	E2RGP5
Q5VWQ8	Q62392	D4A7G5	F1MGP1	F6XSA9
P61457	Q8QZV4	D4A3E1	E1BJH5	E2RFC6
Q9H0N5	Q9CQ44	D3ZQL2	Q5E9G6	E2RHR1
Q969S8	Q91WA1	Q5XIH9	-	-
P0DJD1	Q5XFZ0	B5DFJ8	-	-
P0C0L4	Q7TNC6	B2RZ38	A7MBH5	E2R7U6
P15151	Q9DAV6	B0BNI2	A2VDY3	E2RNM0
Q9HC78	G5E889	D3ZM82	E1BAA4	F1PLD6
P22794	O88493	P17077	P41500	E2QYI0
Q6PIU2	Q49B93	D4A037	F1MNH7	F1PDR6
P46721	Q8BRM6	M0R3W4	F1MSV1	E2R4Q0
P00747	Q9ESU7	Q68G38	E1BDQ8	F1PUL6
P10643	Q9DCV6	P40748	F1MLA3	J9P6I6
O00461	P61969	D4AB33	Q29RJ3	F1PZ76
P17706	O35250	Q568Z6	E1BPZ9	E2QYK0
Q8WXG9	Q8BLS7	P04633	Q32KU9	F1PQX1
P10909	O35618	-	-	-
Q9P2A4	Q9JJZ5	G3V8X8	A0JNK9	F1PCR2
Q07889	Q5RL57	D3ZFJ0	F1N323	J9NXL4
P24390	Q8BFS6	-	-	-
Q96HW7	E9Q4F7	B5DER2	F1MQF5	J9NTP5
Q4L235	Q3UEG6	A0A0G2K320	E1BNI9	J9NXE4
P15735	E9Q4Z2	F1LZ43	A6QQH2	F6XBX5
P43699	E9PYK3	G3V6M6	Q5EEZ1	E2QX74
Q9UBT2	O08784	D4ABK7	G3X6I6	F6V5M4
P41134	Q80ZM7	I7LRF5	F1MW68	J9NVZ7
P48058	Q99LJ8	F1LMH7	E1BAZ2	E2QX27
Q96AZ1	Q99N84	D3ZDD7	F2Z4D5	E2R703
Q9Y4F3	P60469	Q2TBJ5	F1MDK5	S4R144
Q9BXP5	Q9D0T1	Q63014	Q0VCY1	E2REU7
P19801	A2ARP9	F7EVN7	Q9XT96	F1PHP2
Q8NBI2	Q14BT6	A0A0G2K7Z6	Q5EA20	F1Q253
Q9UBN6	Q3U6N9	A0A0G2JZC6	Q3SYS0	E2R5M7
P42701	P59648	Q68FS7	Q3T107	E2RSJ2
O95210	Q9EPK5	Q6AYM4	A6QLL4	F1P8D8
P13807	Q80UM7	F1LQS1	F6QVC9	J9P6U4
Q7Z478	P52194	D3ZM60	F1MHF7	F1PFC2
Q9HA65	Q8BXC6	B2GV71	A0A140T870	F1Q0I3
Q5VW00	Q8VE57	-	-	-
Q15375	P12367	-	-	-
Q8TDW5	Q3V3F6	Q5XIV2	F1N5S5	F1PN88
Q9BTA9	Q8R359	-	-	-
Q9NNW7	Q8C176	Q68EJ2	Q2T9S9	E2R2G3
Q9UKU7	Q8R5A6	Q8K4Q9	P34974	F1PR94
Q70SY1	P09066	D3ZZW2	F1N3E8	E2RDA0
P31327	Q8VCD0	Q5BK48	F1N1K5	E2RJ37
Q96IZ0	D3YU89	G3V7F1	F1MT12	E2RK09
Q8N4Q0	P43029	P12390	-	-
Q8WWX0	Q68G58	D4A904	P13213	E2R4U2
Q06265	P33610	-	-	-
P48169	Q62028	D4A6N9	G3N275	F1PKG8
H3BN98	Q80TA9	D4A095	E1BDK3	J9P7Q4
Q7RTV0	A0A1D5RMH4	E9PU11	F1MC11	F1PAM0
Q9HD33	Q8BVU9	D3Z7Y6	A6H706	E2RG48
Q9Y4G2	Q6PIU9	A0A0G2JTF1	F1MMA8	J9P4M5
Q3MIX3	Q80W99	-	-	-
Q99797	Q6KAR6	D3ZSI8	-	-
O95168	Q9JIP4	D3ZB58	F1MTZ5	F6ULV2
O60266	D3YUU6	P28576	Q3SYX9	F1P935
Q9HBU9	P80206	P86252	Q2TBK6	F1PXD7
Q13201	Q8BX79	Q6AYJ8	-	-
Q15828	F7AA26	D3ZE86	E1BM60	E2R5W6
O95602	P12672	Q498D1	F1N2D7	J9NSC7
Q96DZ1	Q8K1K3	Q5HZE5	A7YWM2	J9NWN7
Q9UBU6	Q8R0J1	Q6MG82	A0JNJ3	J9NUF1
Q9BU64	Q9QZB9	A0A0G2QC08	A7YWE4	F1PL84
P04844	G3UXW9	Q99MZ8	G8JKZ5	J9NWJ7
P10242	Q80Y44	B0BN93	Q2KJ17	E2RBA8
Q9UBE8	E9Q414	D4A029	A6QNR4	F6XFF5
P52926	E9Q2D4	G3V6S7	Q0VCV8	E2RE60
Q9H009	O88327	D4A9M6	Q5E9C0	F1Q0L3
P0CG08	Q61414	A0A0G2JXD9	E1BHH0	F1P9B2
Q96EP1	P58058	Q32PZ9	E1B7Y0	J9NV69
Q58EX7	Q8BHD1	D3ZDT7	G3MYY6	F6XDJ5
P35542	P60853	D3Z8N2	E1BCW5	E2R9U5
Q86YN6	P51910	P61621	E1B8J6	E2R770
Q5I0X7	Q8BP56	A0A0G2JXB5	F1N797	E2R1I1
A6NK89	Q9JHU3	Q6JHU9	E1BLB7	E2QS74
P35243	A2AQR4	-	-	-
Q13261	G5E8Z2	Q5PPG8	E1BLP9	E2RIA3
P84103	Q62186	D4A4T0	Q3T003	E2RSR5
O14893	Q3ULW6	-	-	-
Q8N6C5	Q80TL0	Q99PV2	A6H7G3	F1PNT0
Q00536	Q9D0F1	D4AC19	A6QQU2	E2R6J5
Q9H583	Q9CPR5	Q06486	F1MWM6	E2QWJ1
P31274	Q3U410	F1LXD8	Q2KJ53	F1P8G4
Q02447	Q9ES97	O88656	P10790	J9NRH8
Q400G9	Q5D073	-	-	-
Q7L576	Q99KQ4	O88752	E1BP65	F6XK47
Q969F1	Q8BM13	P62961	F1MJ41	F1PJT3
Q70EL2	F6RPJ9	Q9WU49	F1ML12	J9NU08
P17516	A0A0N4SV19	-	-	-
P42330	A2AQP0	Q6AY12	F1MZL5	E2RI72
A6NDB9	P01665	A0A0G2K994	A4FUY7	F1Q3A1
O95136	Q8C3I8	D3ZJ66	F6QSB2	F1Q359
D2IYK5	G3UWF3	D3ZZ25	F1MDV3	J9P2Z7
Q13367	Q80Y17	M0R7B4	Q32L51	F1PXY1
Q13395	Q8BH32	F1M369	E1B9Y5	F1Q2N8
Q15291	Q80XI6	P62836	Q0IIA3	F6Y0V4
Q99929	Q921R7	F1M324	E1BP86	E2R1M6
P28702	P22605	M0RDM1	E1BJP4	J9P4D9
Q96CP2	P70202	B2RYP6	Q2T9T7	E2RM20
Q8N511	Q61670	Q6AYX5	Q2YDG3	E2RIA2
Q14190	O35887	D4A7J8	F1MI32	F1PLN6
Q01638	P10649	P61016	Q58DU0	-
Q70IA6	D3YXK0	Q25C79	F1MC22	J9P2S9
P23527	Q9R0M4	D3ZDR2	Q58DR0	E2QTF0
Q01831	O89032	F7ESX8	F1MBN2	E2RPT1
Q86XE3	Q91WV7	-	-	-
P06744	Q8CGB6	D3ZMY8	F1N1K9	F6Y4S5
Q5JRA6	Q9DCZ0	Q5PQQ7	A7Z062	A0A8J8
Q96PC5	Q8K385	Q6PCU2	-	-
P29992	Q99PJ2	Q5XI44	Q1RML0	F1PY02
Q9HD34	Q8VCK5	A0A0G2JSS3	F1MFF9	E2R960
P35398	Q8C5W0	Q6J2U6	Q2KIM2	J9NWY4
Q12796	Q5SUR0	D3ZNI5	G3MZV1	E2RT34
P53680	Q8VID5	A0A096MJE3	Q0V8G3	E2RMD9
Q92968	A6H694	D4AB36	E1B755	E2RN04
P03928	D3Z2X2	F1LRV1	F1MM95	F1PCV3
Q99715	D3YXK6	G3V7I2	F1MWK5	E2QYT2
Q14653	P54726	D4ABX8	E1BNZ6	J9NZE9
Q14BN4	Q8BGY9	Q765I2	F1MT42	F1PAJ5
Q8WWB3	Q3USK5	B5DFK9	F1MEM9	F1PKN7
P29373	J3QMJ4	G3V7T5	P29104	F1P8L5
Q6NYC8	Q8BGR3	Q5XI53	G8JKY1	F1Q1B7
Q86YS7	A0A0A6YWQ3	Q9EPA0	G3MXV7	E2RB64
Q16526	Q08288	Q56AP7	Q08DT0	J9P5I6
P08582	Q9JLK7	A0A0G2JZN2	G5E618	F1PKL7
Q9GZP9	Q7TMY7	M0RD63	Q3ZC09	J9NU43
P21731	Q8C753	Q6AYK9	F1MWV0	F1Q384
Q96RP9	Q0P5W1	P27615	F1MWS9	F1Q3Q3
Q96BY7	Q91WT9	D4A105	Q3T0C8	F1PMS2
Q13561	P51660	Q68FT7	F6RBT3	E2RD70
Q15392	Q2YDW7	M0RAI4	A0JNG0	F6V2Z3
P0DPA2	Q80XI1	-	-	-
Q8NB46	Q0VBL3	P47875	F1N6R8	E2QUS0
Q9BRX2	Q03141	G3V9R0	A6QQH7	Q5WR10
Q9BPZ7	O35659	M0R752	P08165	-
P43307	Q8CFT3	P36877	Q2KIQ7	E2RBP5
P32322	A2AMI2	D3ZNU1	F1N736	E2RCN4
Q9Y6E7	Q9WU01	Q5U2R8	F1MWP1	F1PJA5
