O15116	P10598	Q91XL4	F1MRE1	E2R4V5
Q16621	Q148Q7	R9PXZ9	F1N4N7	E2R1L4
P09661	P59240	Q3B7U1	F1MFD5	E2QYG6
P17844	Q921K2	G3V6P2	F1MYE6	F1PBF1
Q9UI26	Q61425	F1M8H2	Q865V6	J9P4F0
Q5QP82	Q9CWK8	F1LPT4	A6QQU9	J9NUN4
Q8IY92	E9Q5C9	P54313	F1MRW5	F6V909
Q9NP66	Q8BXA1	D3ZU52	F1N6H4	F1P8Z5
Q9GZR2	P50540	A0A0G2K9D7	A4IFT6	E2RN92
O75127	Q3TCU5	A0A0G2KAU8	E1BG23	E2QYU1
Q86WS5	P53568	G3V8P2	Q32LG3	J9NSP7
P00915	H9H9R8	A0A0G2K2K7	F1MLY3	E2QXI5
Q99973	P32114	Q5M823	-	-
Q9BU89	Q1A3B0	A0A1W2Q693	G5E5R5	F1PHI7
O15031	Q64676	Q68FZ1	F1MDE6	F1PHG2
Q9BSJ8	Q3TTA7	-	-	-
O75146	Q9ER72	A0A0G2JUX5	-	-
Q9NZQ7	P97479	P97519	F1MN22	F6V8Q4
P55085	Q8BG80	D3ZUL1	Q0VCJ5	E2RMS8
Q9UJA2	G3X9X1	Q5U2N1	E1B7M1	F1PWZ9
Q13002	Q99M07	D3ZBE5	F1N663	E2R3V0
Q58FF8	Q91VW5	B0K018	A6QLL5	E2RFJ8
P23763	Q9WTZ8	A0A0G2K0D3	F1MGH5	J9P0R0
Q9H981	Q69ZP3	Q66HI4	F1N754	F1PM64
O95785	Q6IRU7	Q62689	E1BDX4	F1PWX8
O43683	D3YWP0	-	-	-
Q96GD4	Q62158	P61078	G3N3N1	F1P9D4
P15918	Q9R0X0	D3ZMD3	Q5EA98	E2RFE7
O00338	Q8BHI4	G3V8Z7	F1MHF1	F1PCE9
Q8IV61	Q3UZB0	Q6IG03	E1B899	F1PRD0
P11362	Q64267	-	-	-
Q9UFV9	Q5NCC9	P54900	-	-
O14756	Q8BTX4	Q3B756	Q08E42	E2RH54
O60493	O88852	B5DEX8	A0A140T868	E2RBK3
Q5ULA9	P83877	D3ZLY0	F1N495	F6X4A4
Q02809	P97470	F1M2K6	F6R6Q1	E2R5R1
Q9UFC0	E9Q4S7	Q6P136	F1MDL6	-
O75528	Q9JJF3	F1LQ66	G3N0P5	E2RLB0
O43707	Q9D819	D4A510	F1MS94	F1P6P2
P50213	Q9D8T7	Q6IRI7	E1B714	F1PSL4
Q9NQC7	Q8R3R8	-	-	-
P49459	Q9CYH6	D3ZJF7	A6QLV0	E2RAF7
Q96BZ8	E9PZW8	E9PTC3	F1MPU4	E2RJF5
Q8TDD1	O55033	G3V715	A0JN98	E2RE06
O14964	Q80U72	A0A0G2JSH5	Q3SYZ9	F1Q2U8
Q15528	Q3ZK22	O70282	F1MN84	J9NWC9
Q9BUE0	P32211	Q8R4T5	F1ML54	F1PPL1
Q6PKG0	P19091	G3V6H2	F1MXX2	J9P1L5
P49840	P62984	Q5BJZ4	Q2KJE7	E2QZN3
Q9Y2T1	P03966	G3V9M1	E1BI59	E2R0M7
P61764	Q9WVE8	B2RZD6	F1MT98	F1PB08
O95793	P25799	P52631	F1MUZ9	F1PEA6
Q02543	P49312	D4A133	Q3T0K2	F1PVY3
Q9Y4B6	A2BE28	P35433	E1BKR4	E2RCD1
Q9P0W2	Q8CI51	Q6AY61	E1BK25	F1PSC1
P51825	Q61171	G3V652	-	-
Q16695	Q6ZQ58	Q66HA8	F1MDU7	F1PAP5
P09086	Q8BHG1	Q5FVI6	A6QQR8	J9JHW5
Q99958	Q80ZI1	D3ZJF9	E1B972	J9PA97
Q9H9E1	P16675	-	-	-
Q7Z4H7	P55284	M0RDX6	F1MXD0	Q8SQ72
Q9UID3	Q8BLA8	A0A0G2K1V3	F1MBI2	P19090
P08651	O54785	P01041	Q32PH9	-
Q15583	Q8BZM1	-	-	-
Q9NQB0	E9Q8X5	Q63120	F1MMD4	E2R734
P33992	Q91VR7	Q6P6R2	P19120	E2RLS3
P38646	Q5EG47	B5DFH7	A6QLG5	F1PPQ3
P57740	Q99MR6	A0A0G2K0G1	A6QP40	E2R311
Q6P087	P70452	A0A0H2UHM0	G3N2S2	E2RIN1
Q4VC05	P62325	Q6P7P5	Q04752	E2R2B7
P27824	P67871	Q9Z327	Q5E9Q7	F1PUP7
Q9NZC7	P35235	G3V8T4	P31976	F1PUR4
P09913	Q9CQL5	A0A0G2K929	E1BBP4	J9P7Q1
Q8IX18	P98063	P08025	E1B8D8	F1PPM8
Q16875	E9Q9T0	Q6AY75	G5E5T2	F1Q241
Q8IVS2	Q8C754	M0R4L9	A1A4K8	F1PEE8
Q9Y3D3	A2ALW5	F1LS25	F1MR99	F1PBL9
P51948	Q62388	P68182	F1N0L5	F1PVP1
Q96CG3	Q4LDD4	Q6Q0N1	-	-
O00233	E9QJT6	F1M5Q6	-	-
Q96BH3	Q7TQH7	A0A0H2UI27	E1BJQ4	F1PD81
A4PIV8	G3UYQ4	-	-	-
O14770	Q8C562	-	-	-
O94763	Q91V89	-	-	-
Q9Y2H9	A0A0R4J036	D3Z8K2	F1MHW6	F1PR94
Q9H169	Q9CQE7	B5DFF2	F1MGI5	J9P4A2
Q9UL62	Q9Z261	D3ZWM8	G5E5T0	J9NVA6
Q15572	Q923K4	A0A0G2JWY6	F1N290	F1PJT3
O75177	Q6PER3	Q9JKA8	E1BJK0	F1PMS7
O95696	Q9DC63	Q6AY58	E1BPT7	E2RHZ9
O75818	Q7TPS5	F1LRT1	F1N064	E2QTL3
Q9H633	Q91VD1	Q9Z133	E1BNI9	F1PNP2
P13591	Q61616	Q5PPP4	Q5E9U1	J9PBA0
P39905	Q8BP01	G3V8N3	P47865	F1PGZ7
Q15233	O55143	F1LTU4	F1MUS0	E2RJQ5
Q9Y2K7	Q921I1	Q99MB4	Q17QU5	F1PNV0
P17152	B8XCJ6	B2GV57	Q3T024	F1PEQ5
P30411	A0A0R4J0Q4	Q9WTQ2	E1BC77	F1PGX5
O60907	Q5SXA9	-	-	-
Q07666	P70168	-	-	-
Q86VP1	Q8R1U1	F1LMK2	Q0P568	E2R261
Q9Y4B4	P62254	-	-	-
P19256	A2AJL3	-	-	-
P35249	A2AT37	M0R961	A5PKF6	F6X8I2
P30307	Q8BFQ4	D4AA88	Q08E27	J9P4J0
P17661	G3X9X7	E9PTT0	P79348	E2RT70
P31321	Q9CPP0	Q6BBI8	-	-
O43561	Q8K214	D3ZB78	F1N362	E2RNT2
O15067	P26187	O35274	E1BIE7	E2RHY0
P55786	Q8BK72	D4A1P2	G3N0V2	J9P5T7
Q9ULV3	Q5ND56	G3V747	E1BLQ0	F6USR8
Q9UM73	Q9CZ44	Q3B7U9	E1BPY4	F1PDM3
O95478	A0A0R4J0L6	Q6MGB6	E1BMZ8	E2REZ9
Q9BUZ4	Q06180	F1M9D0	F1N4B0	J9P9J3
Q9Y2W2	O70310	Q66HL7	F1MU79	J9PAK3
Q9NRI5	E9QLK7	Q63396	F1MAZ1	J9NWJ5
Q8NI51	A0A0R4J1G4	A0A0G2K1Z9	Q28065	E2RT33
O75317	Q8BGT7	Q9QWJ9	Q3MHL8	E2RIV2
Q14562	Q9JKF7	A0A0G2K4Y6	F1MBU2	E2QUH4
P05198	P61079	B5DEG8	F1MBT5	F6PME1
P55010	P19001	F1LYY7	A2VDL6	J9NZY7
O95837	Q3UNW5	A0A0G2JVP5	Q17QJ3	F1PQM9
P41146	Q9WUR2	P05182	Q148E6	E2RJ03
P24864	Q6A0A2	D4A409	Q1RMI2	F1PUE2
Q9GZS3	Q8BIV3	F1LPD6	Q32LN1	E2R479
P19338	P70371	F1MA52	F1MIU2	J9P393
P35268	P61255	Q9Z2L0	F1MPG7	E2RFV7
P49716	Q6P1H7	D3ZCP9	E1B9F9	F1Q2Y3
P09543	Q9R0P6	-	-	-
Q6UB35	O35900	Q3KRD5	E1B7V9	F1PB67
Q9Y5J5	P10852	D4A3E3	O18971	J9NZA9
P49458	O08989	F1M753	H9GW31	F1PSJ0
Q9Y2W1	P19096	Q4QRB4	E1BCC9	F1PCU1
Q86Y39	Q9QX11	D3ZTA7	-	-
Q9H9J2	Q80ZH7	-	-	-
O00400	Q61496	P25305	Q2KHX7	F1PPT3
D3DR86	Q00547	-	-	-
Q8NHM5	J3QPV2	M0R423	E1BGJ0	E2R0N0
O94822	Q9D2M8	F1LQZ4	F1MTK0	F1P7F9
O15350	Q60953	G3V7Q7	-	-
P29590	P57780	A0A0G2K0W9	F1MTF0	F6Y258
Q96A33	O88907	A0A0G2JUC9	A2VDX0	E2R624
P00492	Q9D1B9	-	-	-
P11172	Q9DCD2	-	-	-
P07237	Q9ERG0	Q498D8	A5D7A2	F1PVU1
Q96HE7	P97348	F1M324	Q58CQ7	E2R514
P20962	P15375	A0A0G2K9E1	Q2HJD7	J9P8K8
Q99801	Q8C1Q4	P0DP31	A0JN51	E2RBA0
Q9NTX7	Q64704	F1MA20	F1MKZ2	E2QU75
Q6IA17	Q8K2I3	Q07258	Q2KIN7	E2RIH2
Q9NR96	Q811G0	D3Z924	F1MN85	J9NZI8
Q8WXX5	Q7TSQ8	F1LT10	F1MY71	F1P8L2
Q96DC9	A0A0R4J267	A0A0G2JUZ0	Q17QK1	F1PGB5
Q9Y2R4	O70582	D4AC97	F1N402	-
O75554	Q9WU01	O54861	E1BF68	E2R921
Q9BUQ8	P61028	B2RZD4	Q28851	E2RJW8
Q99675	O35453	Q68FP7	P21793	E2R9L3
Q92643	P34057	Q63630	E1BDG6	E2QXR0
Q15843	Q9CQ71	-	-	-
Q9Y3C8	Q9QXL1	-	-	-
O43597	Q8BGQ2	A2VD04	G3N3V8	F1PWT9
Q5D862	P04104	O35078	E1BN47	F1PKI0
Q9NZJ0	H3BLQ9	B1H281	Q0P5A7	E2R0E1
Q8NDV7	Q9D832	Q6AYS2	G3X736	E2QV97
Q9Y586	Q62019	B2RZ08	F1MN37	J9PBF0
P78508	Q9CZ58	-	-	-
P55197	Q9R1Z8	F1LVL6	A5PKG2	F1Q264
Q99666	P21981	P63322	E1BJD1	E2RAE4
P07384	Q9DBY8	G3V672	F1MFN1	E2RJ79
P32456	Q3UFM6	A0A0G2JWW8	E1BL12	E2RSX2
Q8IXB1	Q8BGZ7	A0A0G2JT06	Q1JP79	F1PFS1
Q8WXE9	A0A087WQ16	D4A1V7	-	-
Q9UBC2	Q91YU6	Q641Y5	Q08DQ6	-
Q9UQE7	Q9WUK4	M0R3M4	G3MZC7	E2QUY7
O15360	Q9Z2D6	Q8CGU4	F1MWX4	E2RB57
P20963	Q5SWD9	G3V9N8	F1MNP4	J9NSI3
Q9BVA1	P10417	D3ZQ74	F1N6M9	J9P0A5
Q92466	O88700	A0A0G2JSZ4	Q17Q89	F6Y6K4
Q96SD1	Q6NVE8	A0A0G2K716	F1MLU5	F1P638
A8MT70	Q75WC0	A0A0G2JXI5	G3MXY5	J9NST5
Q96DA0	Q9JJR5	F1MAD2	E1BH02	F1PD78
P05386	P63325	F7FF45	Q3SYV6	J9P9X7
P60709	Q9Z1X4	O35796	A7MBG8	F1P7B0
Q7L592	Q8BKT7	D3ZPL0	E1BAX4	J9NSJ7
Q9BYC2	Q9DAI9	Q6QDP7	F1N5R9	F6XB90
P0DMV9	P62281	Q5XI34	P0CG53	F1Q3H1
P31946	O09106	P63086	F1MBQ8	-
O14979	Q9D903	D3ZK34	Q3T0G3	F2Z4N3
Q01130	Q9WUN2	A0A0G2JSZ5	Q32PH8	F1PHT0
Q13363	Q9D880	Q07008	F1MZU2	E2RSI6
Q9BVS5	Q8BH55	Q4V896	P00430	F1PJB7
P07339	Q571K4	B5DF55	F1MV33	F1PA67
Q13617	P62960	Q7TPB1	Q2KJD0	E2RFR0
Q9UPQ9	D3YTQ3	D3ZWX4	F1MUM9	E2RPI9
O95671	Q00897	-	-	-
P48775	Q6NZC7	Q03410	Q3SZ31	F1PSM8
P35269	O70400	P07895	F1MS25	E2QXV5
Q9NS26	F6R4N2	D4A4I3	E1BGA6	J9NXA1
O60763	P28271	Q68FS4	F1MKW8	-
P14625	P35438	F1LU18	F1MDW1	F6V8H1
P11142	P62137	F2Z3T9	F1MLG0	F1Q4J5
Q6ZMN8	Q99PI4	-	-	-
O43760	Q8K0F1	P34131	Q2HJ41	E2RIM9
Q96LC9	Q9Z120	P49000	Q32PA4	E2R9V2
Q8N0Z6	P41233	F1LV07	F1MUJ5	F1PZH5
Q6UWR7	Q8R0S1	A0A0G2KAA1	F1N739	J9PAB5
O60518	Q62245	F1M951	P61603	J9P8Y5
Q92973	Q60778	A0A0A0MY07	O77628	E2QYK5
Q9H9B1	Q8VHE0	D3ZY28	Q08DH4	E2R948
Q96S59	O35216	A0A0G2JTI7	F1MTR4	F1PN31
Q9NPF8	Q08331	Q9EPZ7	E1BK14	E2RCC9
Q9BQE3	Q6ZWX6	F1LN75	P81947	F6V659
P62917	Q52KC3	B0BNL2	F1MBG5	F1P8D3
Q9BVV7	Q9JJW0	D4AEE6	E1BFX2	E2R0G2
P20700	Q61539	A0A0G2K042	F1N7N8	E2RFV2
P21912	O54714	H9KVE3	Q3T189	E2RSG4
O60488	P43276	Q3LRZ1	F1N1U1	F1Q099
Q9H2J7	Q5NCP0	F1LQP7	P82919	E2RF04
Q96JN8	P47708	G3V6Y7	Q3MHE1	F1Q2W2
Q14696	Q9D6F8	D4ADQ2	-	-
Q96P53	Q02496	D3ZQZ0	F1N088	E2R0Z7
O00463	Q8BHX1	F1LRZ0	A4FUY9	E2QZF1
Q00994	Q924K1	F1LLX7	A6QLJ3	F1PK79
Q8TB05	Q3TFQ1	Q924M6	Q1LZD1	E2RLM7
O95758	Q8VEB1	G3V8B4	F1N339	F1PRW0
O75410	Q3V3E1	D3ZNA8	E1BH40	F1PSZ9
Q8TAD8	P22227	-	-	-
A6NKD9	Q71LX4	Q5M820	F1MXZ5	J9P2Z7
O75882	Q91WP0	D4A9V5	A6QPB1	F1PJ51
P10636	Q60520	P35426	Q5EA82	F1PX57
Q9NY61	Q9DB05	D3Z8L5	G5E5P4	F1PG95
P04080	Q3UK78	-	-	-
Q5JTV8	O35841	Q5U349	F1MLD8	F1PB15
Q16706	P18608	D3ZIA9	Q32S38	F1PXV9
Q15633	A0A0R4J0I6	G3V8H4	G3MZE1	F1Q452
Q9H0R4	Q9WVF8	Q9QY10	E1BE31	E2QVN0
P23469	Q9DCR4	D3ZRJ7	G3N0C1	F1PU14
Q96ER3	Q9JL95	D4ADI9	A2VDK5	E2RBI7
O95760	Q61165	P81718	F1MUN1	J9P3Q4
Q8NFH5	E9QP19	Q5BKE0	-	-
P08962	Q5BKS4	Q9R1M7	A0A0B4J191	J9P3C3
P04083	Q3TDN2	F7FG31	P32007	J9NZE4
O43920	Q9D6N5	P34900	F1MD73	E2R9K1
P02462	Q91VY6	D3ZLY5	F1MNL4	J9P1S3
P04085	Q91ZK4	D4AB50	F1MSZ0	F1P9E2
Q5BKZ1	O54724	B5DFM8	Q2KIC7	J9PAS9
Q5VX52	A0A0N4SV19	D3ZC46	I6L1R8	F1PRR5
Q9NUQ3	E9QNV2	A0A0H2UHP0	Q3T0E1	F1Q3S9
P01591	Q8BSZ2	A0A096MK63	Q3T0T8	E2QTW4
Q8N8L2	Q6J1H4	Q62656	A8YXX8	E2RS41
P34931	Q9D1R9	Q63151	F1MQU4	A0A0A0MPC0
Q05519	Q9D051	B1WBQ7	F1MYS7	E2R3X7
P04075	Q8K224	D3ZPL1	G5E5H0	E2QXV1
Q9Y4E8	Q8VC66	B1WC42	A5D980	F1PLU8
Q92995	Q00780	A0A0G2JSX5	E1BEP6	E2RSC8
P25311	E9Q7E2	Q7TPJ4	Q4PJK1	E2RB15
Q12923	Q3TD35	G3V674	E1B9H4	J9NSQ0
Q5TCZ1	Q9D4H4	D3ZSF1	E1BC73	F6V727
O15265	Q9JLQ2	D3ZG10	-	-
P62191	P83940	D3ZGX8	Q1LZG6	F1PS87
Q86SG6	Q3UG20	O35147	F1MIW9	J9NRP8
Q99707	Q9Z131	-	-	-
Q16322	Q9D687	-	-	-
Q15274	P60898	M0RAK0	Q3ZBH8	E2R4J1
P01732	Q8BHM7	D4A434	F1MQP4	E2RLT7
Q8N3J9	Q8R4F1	A0A0G2K4P4	F1MWW8	F1Q4G4
P68032	Q6ZPL9	M0RDF7	O77834	F1P7E1
P84085	A0A1W2P7D5	Q5I0Q2	F1MHQ6	B1H0W0
Q8TCS8	P27005	Q64560	F1MUK2	-
O95429	P10630	Q5XI29	Q1JQB2	E2RGJ1
Q2TAL8	Q80Y83	Q5RKI8	G5E569	E2R3T2
P23246	P62141	G3V913	A6H744	E2RA27
Q7L5Y9	P0DJI6	Q5M852	A2VDV5	H9GWA8
Q9Y581	O88396	P11101	P82918	E2QX46
P54252	Q61458	P62076	A0JNH5	E2R518
Q9BYG5	Q60722	M0R6E1	E1BG73	F6XU00
P04183	O55022	G3V7P3	Q3SYW9	J9P962
Q9Y265	P50516	P68255	Q3SZI4	J9P9Z6
P10244	Q8K1E6	-	-	-
Q9BZM3	Q155P7	B1WC75	Q3Y598	F1PRX9
O00161	P23780	D4A8N7	Q29RY9	E2RF32
O43795	P15532	Q9ES19	F1ME99	F1PMX4
Q13505	P48771	P52020	F1MCR2	J9NXQ0
Q9HC24	Q8R0K1	B2RZ16	G3MXQ3	E2R9Z7
Q5VUJ6	Q9JMD3	D3ZQP2	F1N5P2	E2RGW7
Q9BV73	P97471	P55770	P67868	F1P6I3
P18124	Q8K2B3	Q0ZFS8	F1MRG7	E2RNB0
Q9BYD1	Q9D658	G3V7Y8	F1MP48	J9P780
P35222	Q3UIL6	D4Q8I2	E1BBY7	F1PE20
Q7L014	P70122	A0A1B0GWW0	A1L5A6	F1PHJ6
P55199	Q3UCQ1	Q08877	A4FUE1	E2RLD5
Q96H20	Q8CIH9	B6ID01	Q1RMX2	E2QTM4
P30304	Q80WJ7	P68101	Q3ZC07	F1PAZ2
Q8NFR9	Q8R0J7	D3ZZ65	Q08DK9	F1PXU2
Q8TDW7	E9Q0T8	P56536	E1BBK9	F1P9X0
Q9UJX6	Q9CPZ1	-	-	-
P06730	P27790	D4AEC0	F1MWL1	F1Q058
P35568	Q9CPS7	-	-	-
P04216	Q9D6Z6	F1M5Q7	A7YVH9	E2RF86
P50406	Q9QXT6	Q6JHU9	F1MGP1	F1PBT9
O15111	A0A087WSP5	P42346	F1N2B6	F1PJ65
P55957	P50518	D4A264	P20000	E2QXV2
O14717	O70137	D3ZKH6	F1MDT4	E2R0M3
Q9BVJ6	Q99MU3	A0A0G2K5I9	A6H772	F1P6M9
Q07866	P62311	P0C5J9	H7BWW0	E2QXQ9
Q96M63	Q9WV38	B5DEP6	G3X6F6	E2R6Z9
Q14703	Q8R4E6	Q6MGB2	E1BIF3	E2R8C7
O75175	A0A0R4J0A8	G3V8W8	F1N6G8	E2RT27
O15266	Q60898	Q561R0	F1MV19	E2QUH3
P61978	Q8BTI8	-	-	-
O14788	Q9CY25	R9PXV8	F1MBK6	E2RAV0
P02786	Q9WUM4	Q5RJK5	A6QQX8	F1PA02
Q9Y2H6	P46664	M0RBX7	Q2KI67	E2RCE3
O14732	Q3UW53	O88370	G5E5S5	J9NRN8
P10599	Q9WV02	-	-	-
A9UHW6	Q99M20	B4F7D1	F6RDE3	E2RM01
P09497	Q8R326	G3V8A5	G3X7E2	E2R7R9
P01834	P62849	F7EXV6	Q1LZE4	F1P659
Q99558	Q1HFZ0	D3ZBQ1	F1N443	E2R2I4
P46776	G3X9H5	F1LNJ1	E1BJS3	E2R1V1
Q9C086	Q9JM05	Q498D1	F1MWH2	F1PR18
Q6WCQ1	C0HKE9	D3ZIP3	G3X7E1	F1PDU2
P47756	Z4YL78	E9PTS4	Q2HJD0	E2R5V6
P22670	Q3TTY5	Q9JIT3	Q1RMS6	E2QSI3
Q9Y6Q9	Q9CZS1	-	-	-
Q9Y577	Q9WTK0	P04775	F1MSR4	E2RRJ7
Q9NX63	Q60769	P61972	A5PKJ4	F1PAG5
Q9HC52	P35762	D3ZV40	Q2HJ97	E2R4X9
P05771	E9QKM8	G3V836	E1BGK3	F1PS03
Q9NWQ8	Q149C2	A0A0U1RRV5	Q2YDD7	E2QW92
Q96MT7	Q9CPT4	D3ZGC2	F1N3G9	Q75V94
Q9H1A4	B9EJ22	G3V840	F1N5Z1	E2RKT3
Q70UQ0	O08663	P62870	F1N784	E2R710
Q96NB2	Q8BGB7	F1LMW3	F1MMX1	E2RPP2
P62829	Q8C2Q3	P43138	G3N0G0	F1PA19
P15884	A2ACM0	Q9WUC8	E1BEZ4	E2RGH9
P54646	B2RXC6	B5DFI5	Q2TBK4	J9NYF2
P08118	Q9QYG0	P84079	Q3ZBU0	E2R197
Q86WH2	P97823	D3ZEM6	Q05B82	J9P2P2
Q9H0A0	P84104	A0A0G2K9D6	F1MJQ1	F1PR95
Q5U651	P97822	D4A9G6	F1N451	E2QVU1
Q9BRV8	Q9JJ78	D3ZQU1	A2VE24	F1PX90
P35637	Q9CXY6	A0A0G2K2M9	Q24JZ8	E2RMR3
P51991	P62301	M0RB65	-	-
Q8IWQ3	Q9D0M0	Q569C9	P21856	J9P8W3
Q9ULV8	A0A0G2JGS5	A0A0G2JSY7	E1BA58	E2R9M5
O00221	P61021	D3ZE20	A6H7B5	E2R429
P63208	P62307	-	-	-
Q969Q1	P42232	Q5HZY3	Q3T0Q6	F1PRE0
Q9NP98	Q9JL60	D4A1Z1	F1N3Y9	F1PHP3
Q8IWE2	Q8BGN3	P09483	A0A140T852	E2RJM7
Q9NZD8	Q91XQ6	F1LP13	G3N172	F1PPB7
P47914	P70424	O88321	A4IFC3	E2RQK0
Q8TD10	Q8C0T5	D3ZKC6	E1BHF6	-
P62701	P35550	B2RZB7	Q5E9L6	E2QU53
Q93034	Q4VGL6	A0A0G2JWP8	Q3SYU2	J9NWT0
P46783	V9GXA7	P60711	A5D7D9	J9P0C2
Q9P1S2	O88970	A0A0G2JTF0	F1MK99	A0A140T8E5
O75879	Q8CCT7	-	-	-
Q9UM54	Q9DCL9	A0A0G2K3H2	P15246	F1PEW1
P52756	Q60641	B1WBR1	Q3T0D3	E2R595
Q15006	Q8K1S3	Q63259	A6QPH2	E2RJH3
O00255	Q61164	F1M9C0	F1N2U3	-
Q92769	Q8CHK4	Q6RUV5	P61257	F1PYW1
P61353	P20152	A0A0G2JZI2	G3MZ18	F6V8G4
P42680	Q9CR11	-	-	-
Q9Y2K1	Q8CBY1	-	-	-
Q96I25	O09100	P13084	F1MH70	F1PAM3
Q03154	Q99KU6	D3ZJ70	G3N017	E2RAJ3
Q5T013	O35739	Q6AYQ1	F1N6I1	F6V7C7
P24539	Q80YE7	-	-	-
Q63ZY3	B9EJR8	D4A3M8	F1MLM2	E2QZ71
Q7L804	P16297	-	-	-
Q9P2M7	Q62383	-	-	-
Q16428	Q3UUD2	P55009	E1BNX4	J9NS49
P52945	Q9WUA1	P51868	A6QLQ4	E2RQI1
P55347	Q9D4J1	B0BNM9	F1N5U2	E2RHT2
Q9H0D6	P26450	A0A0G2JWJ0	F1MCA8	E2RJA0
O75369	Q80U95	D3ZXP7	F1MJE0	F1PRN2
Q96AQ6	Q6QWF9	-	-	-
P13639	Q62261	D3ZVH2	F1MG10	E2RIQ8
Q6ZVN7	Q8BHD7	P63170	F1MSX5	F1Q3J6
O15144	Q91VL9	D3ZNI5	O62830	J9NT78
Q9Y3C4	A2ADZ8	F1M8M1	Q02370	E2QXM6
P56545	P11798	D3ZD05	Q17QQ4	F1PCZ0
P01137	Q8BGX0	D3ZPA8	F1MYF9	J9JHP5
P21217	Q07763	Q4FZV0	-	-
Q12891	Q9R098	P50339	F1MY79	J9P6Z1
O76021	Q9R0E1	Q4KM65	A5D7M6	F1P9U2
Q02338	Q91YP2	A0A140TAC4	A6QR21	E2QX71
Q99677	Q8K211	A0A0G2K1Q8	A5D960	J9NVH4
P13010	P80313	F1M842	G3X6Z3	E2RP71
Q16763	P17183	A0A0H2UHQ0	F1MYN8	J9PAS8
Q9NX20	Q3USZ8	A0A0G2K950	F1MSK1	F1P8K4
Q9Y3B7	P97765	D3ZGQ5	A8E658	E2REY8
P28331	Q5NC05	-	-	-
O95163	E9Q8D0	A0A0G2JXD5	A6H727	F1PLV6
P16050	P28357	-	-	-
Q9UMR2	Q9DBS5	-	-	-
Q8NFP9	Q2EY15	G3V7V6	Q17QT7	E2RS72
Q86X83	P52623	A0A0G2K3L6	E1B7C4	E2R036
Q12788	Q9R1A8	F1LS29	Q2HJE4	E2RNV6
Q9NV06	Q9CZA6	F1LXA9	A5D7N6	J9JHD8
Q8NCF5	P49813	D3ZUD3	A6QR14	F1PWN6
Q96HC4	P46735	Q5XHX3	A1A4R9	E2RC35
Q99941	Q9JKE2	A0A0G2K399	G3X710	E2RAC1
P14770	Q9WV30	Q63041	E1BC39	J9PB45
Q92667	P11404	-	-	-
P62316	P62320	Q6P9V9	A4IFE6	F1P7L6
Q9Y697	P40645	D3ZR47	F1MCM2	J9NZ90
Q96CX6	E9PUN6	Q5PQL3	Q7PCJ8	E2RFD0
Q14694	Q9R0N0	Q63ZY7	A4FUY6	E2RSS5
Q9BYD6	Q3TLH4	Q6AYK6	F1MYG1	F1PAG7
Q9NP92	Q99KI3	-	-	-
P52788	Q8CI12	A0A0G2JTU9	Q3T0Z7	E2RHZ0
P98170	Q0VEJ0	F1LWK7	F1MWR3	F1PA42
Q92900	Q91YQ5	F1LRT9	Q3ZBT6	E2R9E3
O15431	Q91ZV3	A0A0G2K772	Q0II50	F1Q013
Q4G0P3	Q3UHC7	A0A0H2UHG4	Q2TBX1	F1Q117
P31483	Q99PL5	P51514	F1MYP4	E2RD70
P08571	Q9CQ33	F7ELZ7	Q2KHW2	J9NYE2
Q14689	Q9QZM8	M0R715	A3KMX5	E2RMS7
Q9HAU0	O88566	P63045	Q05KJ0	E2QXZ6
Q8IWU2	A0A0A0MQE8	D4A229	E1BGD9	E2RFL9
Q9Y217	Q99M15	D4AA31	Q6H8M7	J9P5C3
Q9NX58	P13597	D3ZQM0	P63258	E2R5T2
P18206	Q99M28	P50115	E1BKN1	J9P4F3
P54198	O70433	G3V826	F1N7G8	E2RFD6
P12081	P70303	A0A0H2UHA0	F1MVV5	F6XGX8
Q6UWP2	A0A0R4J023	Q6MG14	Q3T034	F1PLS7
Q8NEN9	Q8BGX7	F1MAQ8	E1BIV7	E2R943
Q9Y5M8	P28740	Q9JK11	Q2KJI7	F1PQA5
P78537	Q3LAC4	D3ZUV1	G3N2W0	F1PZB5
Q13332	Q8BH35	B1WBP0	E1BJ68	F1P884
Q9H832	O88188	D3ZKC5	A5D7L4	E2R942
Q96PU4	P08032	D3ZHU8	-	-
Q13576	Q8C541	P24470	Q5EA42	E2QVJ7
Q99643	Q8K2G4	F1LX81	F1N2F6	E2RPW5
Q9UEW8	Q8C0I4	F1LMI3	-	-
P46782	O55222	D3ZTN0	Q0VCV0	F6XST9
Q9BVP2	P05214	D4A4J0	Q08DQ0	E2QRU9
P07919	Q9ES46	A1L134	E1BMC4	F6V0Y6
P22695	Q6PB66	M3ZCQ2	Q0VCD2	F1PUR2
A6NK59	A2AN37	P41413	E1BA51	F1P8A6
Q9UPN4	Q9WTX8	-	-	-
Q08188	Q69ZH9	O88498	Q1RMS2	E2RRA9
Q9Y5K5	Q3THS6	D3ZY44	E1BP64	-
O60508	P05202	A0A0G2JSR4	E1BI41	F1Q2N7
P16070	Q8R5H1	F1LP30	F1MTP5	F6XU88
Q969U7	Q9CZH8	D3Z8N0	Q2KHY9	F1Q135
Q9NQ35	Q8BSA9	A0A0G2JSJ7	G3MYR4	E2RBS9
