O15116	Q6IWE2	D3Z9A7	E1BAZ2	F6UP55
Q9UJA5	Q8BJ34	Q5XID6	Q5E9Z8	E2RJE8
O00743	Q8BNV1	Q2M1K7	F1MX06	E2R2K4
O75390	Q91VJ4	A0A0G2JY19	-	-
Q8WVT3	Q8BVR6	Q68FS7	F1MQW8	J9P6S9
Q3MJ16	Q9R1A9	F1LZ77	A5PKE6	F1Q115
Q5THK1	Q8CF60	O35878	F1N4P1	E2R9R8
P15812	Q99PR8	A0A0H2UHB0	A5D7M1	E2RDF1
Q86W74	S4R177	Q8CG08	Q2T9Q2	F1PI47
P85299	P97384	F1M5X2	A6QR22	E2RAC1
Q12962	Q80WR5	Q6AY61	O19182	E2RPD3
P13945	Q61048	D4A7W7	F1N6R8	F1PWQ3
P56181	Q9WTV4	P17220	F1MM15	E2R7M4
Q8WWF3	Q91ZT8	Q08420	A5PKM1	E2R3U3
Q15126	Q924S8	Q3T1L0	E1BGS8	J9P5M2
O14764	P28862	V9GZ82	F1MBQ4	E2RMU0
O94829	P50247	Q63135	E1BB49	F1Q1A5
Q13405	Q9Z0M5	P14600	G3MWR8	E2RQ68
Q5BKU9	Q811L5	D3ZHS3	Q8SPP7	F1PJM3
Q9UF56	Q9QYP6	D3ZCK2	F1MBL4	E2RB73
Q9GZP8	Q8BVK9	A0A0G2K721	F1MJC2	Q9TT99
Q7Z589	E9PV60	B2RYK0	G3MZR2	F1PAS6
Q96RU2	Q9JLF6	M0RBW0	Q3SYS6	F6XQ10
P07196	P47873	-	-	-
P17024	Q9CQ61	F1M2G3	G3MWT6	E2QZ12
Q7Z3K3	P84244	Q6AY86	P15690	E2RN70
Q86WB0	A0A0U1RQA8	Q76KC6	G3X8F7	J9NUA4
P49419	Q8VEJ4	Q5RJQ4	G3N093	F1PG01
O15145	Q9Z2N8	A0A0G2JVH5	F1N2R1	F1P874
Q96BP2	Q6NS45	P30904	E1B7Q3	P52204
Q96KQ7	Q6NZN0	M0RE14	F1MW97	E2RA52
Q9NQU5	Q8BZ47	P18280	E1BB73	E2QYQ4
P36957	O08586	P62907	Q3T003	E2QS16
Q9P2R7	Q8R5C9	Q5U2T6	F1N1T3	F1PET8
Q9H871	A0A0A0MQ90	G3V6S7	Q5E9U3	J9NZD8
P29508	Q9CQ62	Q66HG7	F1N166	E2QZB7
Q14943	P70298	P58821	F1MQK7	J9P107
P37198	Q6I6G8	P20171	F1MQC1	F1PU81
Q13470	Q9QUR6	A0A0G2JWC7	Q1LZA3	J9NSE6
Q53GQ0	Q9D0R8	P13233	Q2KIC5	F1PEG9
Q969X5	P70290	-	-	-
P49005	Q9D4V4	A0A0G2K7I4	F6RLD1	J9NRN7
O94768	Q80SW1	M0RDN9	-	-
Q8N4C8	Q6WKZ8	Q52KJ9	Q2KI67	E2R611
Q16623	Q501J7	D4AA02	F1MYV2	J9NVC8
A0A0S2Z4Q4	E9PZ87	M0R4X8	A5PKM3	F1Q2I1
P29376	P97868	P61480	Q0VCZ5	E2RHY5
P23771	O89033	F1M049	F1N1A8	E2RED3
Q13761	P14234	Q9WVB9	Q2KI95	F1PLI6
O00443	Q9Z0U1	Q5BJU0	G3X6W8	Q5TJF3
Q9UBF8	Q6ZWZ6	Q4G068	-	-
O15530	P00493	D3ZQL0	E1BJ93	J9P4M2
Q9C0E2	Q91YS4	Q4KLM5	A4FV27	E2RDZ9
P82914	A0A0N4SV67	D4A131	F1MM10	E2REN0
Q9BYN8	E9Q264	P50280	F1MK42	F1PYG6
Q9H079	Q69ZR2	G3V804	Q2TBR2	E2R9T9
Q96P63	O88466	F1LN76	E1BJL8	E2RDZ6
O14901	Q8CI96	D3ZYR4	G5E6N1	F1P8X5
Q6ZVC0	P21614	P21533	A6QQD7	E2RRR6
P46527	P43274	F1LM55	G3N3N1	F1PB10
Q969X0	Q9CW07	-	-	-
P62495	P52432	D3ZV49	Q27991	F1PS87
O14939	Q8CI94	Q6AYI2	F1MP45	E2QY91
Q9NP62	Q5HZK1	Q63279	G3X812	F1PR18
Q9Y6G9	P70460	D4A401	F1MLE8	E2QUU1
Q9P1Q0	Q9Z2P8	-	-	-
P16415	Q8VE52	D3ZA76	G3MX78	E2R4R4
O14649	G3UZZ2	F1LQD2	A4FUG8	F1P6P3
P51572	P17679	F1LRJ6	E1BBN7	-
Q04941	O08709	F1LP21	F1N2F2	F1PC56
Q9NT62	Q8CG29	-	-	-
Q16363	Q9QUH1	P52759	G5E540	F1PS94
Q9NTK1	Q9CXJ4	Q62838	B2D1N9	F1PU35
O60828	Q9ERG2	Q5U2T7	F6PYK1	J9P4W0
P50453	P50284	-	-	-
Q92851	Q6T264	D3ZRM5	A7YWN9	F1PMM2
Q9UBW7	Q8CGB6	D3ZG21	Q32LA7	E2QZT4
Q9HC62	Q91XL9	Q68FT1	A5D788	F6XHM3
Q08345	Q3TZZ7	Q496Z0	Q0VCU7	J9P1P3
Q96J42	O35945	B2RYL3	Q08DW2	F1PMA2
Q9NUQ2	Q923D5	Q8R4I6	Q0VCJ2	F1PVY1
Q9H000	Q9D6M3	Q5PPG8	A6QLK5	E2RQZ3
P48506	Q9D394	A0A0G2K9B0	E1BE24	E2QYZ4
Q6ISB3	Q9D0L1	D4ADQ4	F1MS41	F1PHI1
Q16719	Q925I7	D3ZP89	P22600	E2R057
P82930	P14152	P08461	G1K1A3	F1PFD8
Q8NFF5	Q9D6D0	Q66HE2	-	-
P27701	Q9JJV4	A0A0G2K9N3	F1N6U1	J9NXR7
Q99567	Q61464	A0A0G2K014	E1BCV4	F6V783
Q9H2P0	Q6ZWV3	B0BNJ0	F1N086	E2RBN7
Q15573	Q8C0D5	D4A261	-	-
Q9BVR6	Q9R269	D4A3X7	-	-
Q9NXX6	Q9CYZ8	Q5U4F3	E1BCZ0	F1PDJ0
I6L9E7	A8Y5E1	F1LRH7	P15783	E2QV18
Q8NAN2	Q9D4F2	-	-	-
P23526	B9EJ54	G3V7M0	A6H7B7	E2QRQ8
Q9Y3P4	P53668	D3ZZN9	E1BNE0	F1PRG7
Q8N428	G3XA53	Q99MH3	F1MS12	J9P238
Q9NWS8	Q6PB51	Q6IE75	-	-
Q8WVK1	Q9Z1Q2	F1M8R0	F1MZ08	J9P813
Q86VW0	Q8CI17	D4A4J3	Q2KHZ6	E2QXH0
Q5BKX5	P62737	Q62848	P98133	J9NZP2
O15239	P40645	A0A0G2JTC9	Q32L15	E2R2S8
P62854	Q8VI36	F1LXF1	F1MYC9	F6UVB9
Q7Z407	Q3TQI7	Q5U2Y4	Q56JZ7	F1P652
Q6P1Q0	E9QKE4	Q695P6	G3MYU9	Q95N05
Q6UWJ8	Q9JJR7	F1M9B9	A2VE38	E2RNN8
Q9UDY2	O88509	F1LPS6	Q3MHE5	E2R4V1
P07737	Q9QZ06	Q3LRZ1	F1MBE6	J9PAR1
Q99075	E9PWM3	P01257	F1N5K7	F1PUL3
P52742	P29121	Q09137	P26895	E2RCU2
P35270	Q60963	A0A0G2K596	F1MTX0	F1P9X1
P17812	Q8BFY9	A0A0H2UHQ0	E1BHK2	J9NTC9
P27695	Q922B2	P35565	Q3ZBH0	J9P6F4
Q8WXA9	Q9Z1B7	-	-	-
P36956	Q3UHH1	D4A0M3	E1BEP4	E2RJT7
O95199	Q6P4T1	D3ZSY8	E1B718	E2RJ03
Q9BT78	P10852	G3V8M5	A6H7I4	F1PDU7
P51114	Q3U4P5	-	-	-
Q8IYD8	P30412	O35142	Q2KJC8	F1PSA5
Q8IZX4	Q5SSF7	Q2TGK3	Q5E9Z5	F1PV91
Q9NX04	O88696	P09216	Q32LJ2	E2RAN3
Q6NZY4	Q8VBT0	-	-	-
Q9Y580	Q9CQC9	A0A0G2JSJ0	E1BJ75	E2RJ59
Q8WYC4	P26952	Q6AZ45	G5E5J8	F6XGU5
Q8WYE0	Q3U1G5	B5DF48	Q29RS0	F1PC17
Q96M86	Q9DC26	Q6P7B7	E1BLT8	E2R433
Q96JB6	P62488	D4A7V2	Q28065	J9P575
Q08050	Q9WU22	G3V939	E1BI66	J9P5J2
O95985	Q80TY5	G3V923	E1BG98	E2RLG0
Q15424	P68404	F1LRL9	Q2HJG5	F1PTX4
O15304	Q8C0Q3	D4AE74	E1BEB7	J9PAM6
Q9P086	G5E8B9	D3ZVK1	F6RX10	F1PUK2
Q14393	Q8K5A4	F1LQ00	F1MZN7	E2R507
Q8NCL4	Q8VI23	A0A0G2K0C2	E1BKE5	E2REA2
P29622	Q9WTS6	Q0PGW2	G3N143	E2RLX6
P0C862	Q8BIV3	D3ZRH6	F1MX77	F1P7Q9
Q96ED9	Q9CS00	-	-	-
P08727	A0A0R4J249	Q641W7	E1BCF0	E2RQS9
Q3KP66	Q9JMC8	A0A096MJ28	F1MXZ4	F1P649
P04798	Q8R189	Q9QZN9	F1MVD6	J9P3W8
B0I1T2	A2RTG9	D4A579	Q17QN2	E2RMM8
P01568	Q5DTX6	G3V668	A5D9C6	F1PQB5
Q6YHK3	Q8CIZ8	-	-	-
Q9H6S0	Q9DBZ5	F1LYX9	Q0VD41	E2RDL9
Q8NB15	Q8BTP0	Q4V7E8	Q29RK9	J9NUG5
Q9NZ81	A0A0R4J130	A0A0G2K8E5	A7MB63	F1PDS6
P09471	P21619	Q5XI21	F1N3Q9	J9JHQ2
P43357	P97478	P30120	Q2HJ53	J9P9Q8
P30443	Q61457	Q5U4F0	F1MBT6	F1PMJ3
Q7LGA3	Q9DBV4	A0A0H2UHQ3	F1MFT3	J9NT64
Q8TEH3	P12660	B4F7F1	E1B8E6	A1DZY5
Q8NCN5	P97429	P02650	Q58DN4	E2R963
Q00526	Q8VHR5	A0A0G2K6D6	-	-
Q12982	A0A0G2JE92	D3ZWK0	E1BAM1	E2RF96
P51843	P70232	Q5BK44	F1MNR2	J9P5F0
Q8NE71	Q04447	D3ZR53	F1MRG0	E2QZF1
Q9NR50	Q6NZQ2	A0A0G2JWF0	F1N0T0	F6PME1
O96007	B2KF05	F1M2M1	A6H701	Q9N1Q3
O96033	Q3UU43	A0A0G2K586	P61602	F1PEE7
O00295	Q91W29	Q6P686	E1BCH1	J9P0R0
O00590	Q3ULN5	Q6IML7	A6QNN0	E2QWE1
P16619	Q6PGF2	O70215	E1BC23	E2RQU5
Q9P2I0	P14873	-	-	-
Q92887	A0A0R4J007	A0A0G2JT82	F1MDI5	F6XIY7
Q9UBS5	Q9JJR8	A0A0G2JT71	E1BCL0	E2R972
Q9Y2D1	Q505B8	Q4QR71	A7MB06	F1Q3Q3
Q53GG5	Q8BLY2	G3V7Y0	E1BB58	F1PSF3
Q6UX06	H3BLC4	D4AA13	E1BAM5	F1Q3X6
Q12967	B7ZC55	A0A0G2JZX7	G3MXI8	J9NVV2
P61011	Q61990	-	-	-
O15173	Q01721	B4F7D1	A4IFU2	F1P6K6
P08913	Q80XJ3	F1LV07	F6QUL0	F1PFP6
Q01518	A0A1Y7VJR5	P63081	F1N7I6	F1PH47
Q96K21	O08856	D4A033	F1MM96	F1PRS4
P54886	Q9WVS8	Q6P4Z9	Q56JZ5	E2R1P4
O43598	O35375	Q6IRG9	E1BP17	E2R412
P52747	Q9DBW0	Q62599	A2VDY3	F6XV05
P33076	Q80ZJ1	-	-	-
Q00403	Q9Z0E3	D4ADR2	P82922	F1PWN3
Q9NZJ7	O08712	Q4G052	P50291	-
Q7L2H7	Q8CD92	M0R3Z8	E1B768	F1Q3I5
Q53EQ6	Q61554	G3V6I2	E1BIJ1	E2QWS2
Q6IEG0	E9Q6A7	Q9Z2X5	Q32L92	F1PSC3
Q9UDW3	Q924N4	D3ZIM5	E1BP77	E2RG07
Q6PB30	Q8BZ81	F1LWZ8	-	-
Q00577	Q68FF6	A0JPK9	F1MCQ5	F1PDV2
P35453	P43346	-	-	-
P26599	Q9CQR2	D4AC23	E1BKX3	F1PYD2
P54257	Q8R0G9	M0RBF8	P02453	E2RBA9
Q99595	Q6ZQA0	F7F7Q9	E1BCN1	E2RDN5
Q93074	Q6DFW4	F1M8E5	A4FV97	E2RPW8
Q8WXK4	Q7TPZ8	-	-	-
Q9NZQ9	O35632	O35817	P02709	E2RS67
Q5W5X9	Q6P1E8	Q9JLG9	F1MW39	E2RFM3
Q13428	Q99K46	Q9Z2P5	E1BB52	J9P9F2
Q6R327	Q80YR5	D3ZCP9	Q8MJK1	F1P9L4
O75604	O55143	Q5XFX0	E1BMM0	C0LQL0
Q9NPG4	O89114	D3ZZX1	Q3SWY0	F1PZS4
P49760	Q3ULF4	Q64598	P48617	E2RPQ1
Q15696	Q61205	F1LQ79	A4FV53	J9NX75
Q92804	Q7TSC1	M0R565	P31976	F1PI20
P10515	Q64378	M0R7V5	P41541	F6UNZ3
Q96D09	Q6ZQG6	F7FA15	A0JN91	F1PH84
Q86UW9	Q5SSL4	Q9ERW3	E1BNY3	E2R3G6
Q9UM19	Q8CES0	D4AAA5	Q00361	E2RB85
P55789	A4QPD1	A0A0G2K087	G3X6K1	E2QUI1
Q9BYB0	Q3TY86	O35532	F1N2X2	J9P4V3
P82933	Q9JJG5	D3ZAX5	O46411	J9NYK6
P11474	Q9Z0J0	F1LTX4	E1BA08	J9PBH3
Q92786	Q9EQ14	Q4G073	G3N322	Q95LA2
Q9UQ10	Q9D3F7	-	-	-
O95183	Q8BZS9	F1M975	E1BNF1	E2RER3
Q96RE7	Q9WVK4	F1LN91	E1B9R3	J9P0U9
Q8NBP5	Q8BTU7	Q6AXS0	E1BDI3	F1PCQ0
P35611	Q91W39	F1LP76	E1BIQ2	F1PG97
Q9BXA9	Q64221	P15384	E1BNE7	E2QXK1
Q9P2D1	O88874	G3V7H8	F1MY23	J9PB72
O43290	Q01705	Q59IV9	Q5E9L6	E2R1W3
P20340	Q9Z0U0	F1LWY1	A2VDK3	F1PGA6
P39060	P35639	A1L1I3	A6H7A7	F1PLD7
P78396	M0QW59	Q6AYK2	Q58DJ9	E2QWC6
Q14207	Q61885	M0R6D5	F6PRJ0	J9P8W0
Q6P047	A0A0R4J1A1	B0BN15	F1MDI7	E2RR69
P54762	Q7TN84	D3ZXH8	-	-
Q5SZL2	Q8BJT9	-	-	-
Q7Z7A1	Q8BLH7	P20395	P50227	F1P948
D3DR40	P32020	-	-	-
P43246	Q9JI10	F1LSG3	F1N727	E2RN00
Q9H840	Q9CXL7	A0A0G2K5H0	A6QLS6	F1PIR8
Q15596	Q8CF89	O88550	Q32PA0	F1PIY7
Q6BDS2	G3X9Y1	A0A0G2KA11	Q2KIX3	E2RNN0
Q7L1Q6	O55111	G3V667	F1MQ01	F1PUK7
Q9BQI3	Q5U5M8	D3ZUE7	A0A140T879	F1PVU0
P78312	P28740	D3ZBY5	F1MZT2	E2RBG7
Q9H2H8	Q68FG0	Q6AYJ9	E1BHJ5	J9P2U3
P02792	Q6ZQ06	D4ADD3	P32871	E2RK00
Q15067	B1AXE7	Q80WE6	E1BBJ6	J9P1F9
Q8TEA8	Q8BMZ5	-	-	-
P16871	P09055	Q9JM53	F1MBG5	J9P9C6
P33552	Q9EPN1	Q03344	G3N373	F1PQ39
Q13889	P70697	A0A0A0MXZ5	E1BP00	E2R161
Q96AE4	Q6QI06	A0A140TAA4	A5D7Q4	E2RMN6
Q6XZF7	Q810N5	G3V8G3	E1B704	E2RTE5
Q14643	Q60929	A0A0G2KB52	G3MZB9	J9NZ74
Q6ZYL4	F8VQ05	A0A0G2K392	F1MCW8	E2QXW7
P21399	Q91VT3	Q63488	G3N1U1	J9JHN1
Q96IJ6	Q80V42	P01346	Q58CZ3	J9P675
Q9Y5P6	P62075	A0A0H2UHU4	F1N222	E2RQG6
Q5VTR2	Q9JMK2	D3ZAW6	E1BJ31	E2R479
Q9H081	Q91XZ9	D3ZTD8	G8JKZ3	J9NZR5
Q96BY9	E9Q6P5	A0A0G2QC25	Q3ZC77	E2QWY2
Q15773	P19253	-	-	-
Q4G176	B1AWT3	P31647	Q148E5	J9NUW8
Q6NSA0	P04756	Q5BK27	F1MWM0	F1PA33
O75380	P58463	D3ZWS8	G3MY88	J9NYG8
P68371	P26040	P38983	F1N1S0	E2R068
Q6EMB2	Q8VE01	G3V8K9	F1MUZ7	F1PKB4
Q9UF02	Q9D5R3	G3V627	Q3SZG9	E2RIQ1
Q6IBS0	Q6PAV2	Q5PQJ8	F1MW01	E2RBL5
O00311	Q91YJ5	F1LRX4	Q3MHY6	E2REG7
P32119	Q61216	P04897	O18737	J9NS22
Q8NC44	Q62036	D4A5S0	F1N4V5	E2RAC6
Q9UHJ3	Q9CRY7	P17988	E1B8E3	F1PTR7
P41180	Q3TPJ7	Q38PG0	F1ML97	J9P7F3
O94766	P22227	F1M787	F1MLI8	F1PXM6
Q9P206	P06909	Q6P7B2	Q3ZC35	E2R4K9
P09237	Q69ZK0	G3V6M6	F1ML61	F1PB16
O95182	P47806	-	-	-
O14775	Q99JG7	P37230	F1MTV5	F1PTU2
Q9ULZ3	Q9D9Q3	A0A0G2QC33	Q05B74	J9P7Y3
P09630	Q8JZS7	D4A0V5	Q08537	E2QXT7
Q5RKT7	Q9QY61	D3ZHZ0	E1B8U8	E2QXW1
P11234	Q8BTF8	Q5FVP8	E1B757	F1PD22
P05106	Q9D658	Q6P7B6	P37980	F1PI66
Q7Z736	P86174	D3ZXS4	E1BG18	F1PJR8
P30504	P61375	D3ZUR6	F1MYS4	E2RJW0
Q9NZ23	P42703	B3DMA5	Q04790	J9P5E0
Q96EX1	Q60748	-	-	-
Q9UHA7	Q99P47	-	-	-
O15519	Q9QXV8	D4ABM5	F1MX26	E2R017
Q29637	P14106	P07825	Q9TUJ0	F1PTD7
P18850	P28825	P10499	Q08DW0	Q9ZZ62
O00624	A0A0R4J1L9	P85970	Q0VCW0	A0A140T8E2
Q9H0K6	P56565	A0A0H2UHL0	E1BGU4	F6XZR8
O43488	Q99LE3	P21451	-	-
Q9Y536	Q924B0	Q4KLF8	G3N214	F1PBI9
Q8TDX6	B1AV60	-	-	-
Q9NZH0	Q8BGW2	G3V8J2	F1MEY0	E2RN52
P49321	Q9CZS1	Q5RKI1	F6RY07	E2R8A2
Q14511	P28301	M0R761	E1BDG8	-
Q02297	A0A0R4J0U5	Q9ERZ8	F1N6W2	F1PDW4
Q8TB61	Q9D5V2	D4A2D3	A6QQP0	A0A140T8E7
P60903	Q9JJK2	M0RAD5	A5PJW1	E2R085
O95661	Q9CPV7	P0C6T1	E1B820	F6PN11
P42262	Q7TNC8	F1LQI1	F1MTX9	E2QS10
Q9BT40	Q5RJI5	D3ZRL3	Q3T044	K9J6P2
Q96BA8	E9Q1M1	P97598	E1BIE5	F1PLA0
P13284	Q9D281	P97756	A6QQS0	E2RGR9
Q6P1J6	Q9R0W9	P09057	G3N0A1	E2RJ38
P20393	F6X6S4	-	-	-
P35575	Q9CPT4	O35800	Q17QV9	F1PGI1
O43684	A2A9M4	D3ZWZ6	P35508	E2R7J9
Q9UJX5	Q8BH48	Q9JLZ1	Q08DP0	F1Q4C3
Q5VT06	A0A0R4J1N5	B0BN53	Q5E9I4	E2RB59
Q86SR1	E9PYK3	P51579	E1BDY4	F6V168
P82932	P23298	B2RYW3	Q8HYJ9	F1Q0I5
Q9P055	P97792	A0A0G2JXN0	F1MFH1	F1P997
Q9BS18	Q8BMT0	D4ACB4	Q9TU25	F1PWQ4
Q96IZ7	B9EJ86	B3DM97	Q32KP7	F1PZS8
P20591	E9PW37	D3Z962	G5E6J3	E2RP18
Q96G25	O35678	O88600	E1BNC6	F1PHJ0
O60269	Q80YA8	-	-	-
P63220	P14206	Q4V8E2	F1N2W8	E2RJA8
Q8NHJ6	Q9JI19	-	-	-
P62308	Q80VP1	M0RCX2	Q3MI00	E2QXB5
O95147	Q8BH15	Q68FP8	F1MH01	J9P7A7
Q9HBH9	Q9R0Q6	G3V8Q2	F1MCL6	J9P6X6
Q8NC56	Q8QZZ8	Q5PQS3	-	-
Q8WYA1	Q6PEB6	Q6P798	Q08DD7	F1PHU0
Q99784	Q91WQ5	Q5RKJ4	A5PKG6	J9P516
Q6ZMK1	Q6P8U6	R9PXS2	O46471	J9P8I7
Q9HCM9	Q8C850	Q6P725	-	-
Q13183	Q9R0S3	G3V9U5	F1N4Q3	J9P8T4
O75344	Q6ZQ11	A0A0G2K9I6	A5D786	F1Q3Q5
Q9NR77	Q8K0E3	D4AC39	Q2HJ51	E2QWE7
Q9C0C4	P10648	G3V670	-	-
Q96EX3	Q9R0N0	-	-	-
P50851	O88338	Q6P5P3	E1BHN6	J9NTK0
Q8TEB1	Q3U3K9	D3ZM26	F1N4J4	F6URB8
O60934	Q8C7R4	D4A3S8	-	-
P49447	A0A0R4J1S3	-	-	-
P78524	A0A0B4J1F1	D4A0Z1	Q3T114	E2RJ07
Q92614	Q61221	B2RZ68	G3X6Z3	F1PLK8
Q9UQ03	P10856	Q63504	E1BLL5	J9P0H9
Q9NZN4	Q9JM05	G3V7C1	E1BG07	J9NTP9
Q9Y6Q5	F8WIE5	-	-	-
Q8WVV5	O35710	D3ZLS6	E1BKN6	E2R3J9
Q9P253	Q9D7B1	F1M9U4	F1MHA5	E2RI72
Q8TF64	P86045	P10252	A4FV89	J9P3L9
Q8N5Y8	Q8VDG3	P97590	E1BM14	F1PFJ4
Q9H4Z3	Q91ZA5	D3ZJN7	F1N7G6	J9NYR5
Q9Y2M0	Q9DA79	D3ZK76	F1MGB9	J9PAI7
Q9Y4C4	Q9D3R9	Q5XIP9	F1MU82	J9P500
P09001	Q8BTQ0	G3V798	Q3SX06	J9NSD3
Q92620	Q3UNA4	C7E1V2	A2VDU3	E2RP26
Q7Z6G3	Q920S3	Q5PPL3	E1BMD1	F6Y190
Q9Y221	Q99KK2	D4A3D8	P00171	J9NW09
P10301	Q9DAG4	P25305	E1B9J2	E2RG16
P48995	Q9JI20	-	-	-
Q15149	Q60520	Q6AYR1	Q17QL4	J9NST7
Q9UBD5	Q8C1D8	A0A0G2K1L0	P16068	J9P5T3
Q9Y5W9	P19426	P29315	E1BA48	E2R9Z7
Q08J23	Q62383	F1M446	G8JKZ8	E2RMA1
Q9NZ94	E9Q9K5	P55062	A1L5C4	J9NYS7
Q9UQ72	G3X9Z7	A0A0G2JTG3	Q3ZC71	Q9TU16
Q8IUW5	Q8CGB7	D4A768	G3X7E0	F1PNM8
Q96RF0	O70166	Q5PQP5	Q0VD52	E2RG97
Q9H4L5	A2AE19	Q5RLM2	A3KN55	F1PCB6
P40818	Q05A36	D3ZDP2	A4FUX6	E2QWV5
Q6EEV6	Q9ER72	D4A1Q9	G3X7J4	F1PH16
Q5QJE6	Q9WTZ9	Q5FVH2	F1MIT6	E2QXJ4
Q71DI3	Q60987	A0A0G2K4L4	-	-
Q6FHJ7	A0A0R4J0K8	A0A0G2K1X3	E1BCJ0	F1PWI4
Q9NW97	Q8K1I7	D3ZH46	F1MYK6	F1Q380
P02452	Q9R1X5	A0A0H2UH92	Q08E01	E2R1S5
P98161	P08071	F1MA19	E1BM91	F1PTW2
O75173	E9Q284	-	-	-
P61966	Q8K370	P62483	E1BCS1	F1PDQ9
O75031	O70333	B5DEH4	F1ML11	E2RIY8
P25106	Q9JKC6	F1M6T7	F1MFR5	E2RQT1
Q13489	B7ZCR6	B1WC52	A5PJV7	F1P7J1
P24844	Q8BWR8	Q5M849	Q05443	F1PLU2
Q9H334	Q8K273	P28470	-	-
P01780	P97926	P28473	-	-
O00410	Q8BTV2	Q9EPC6	A0JNF4	E2QW28
Q9Y2I7	H3BJM3	Q8K5B0	P10096	F6USS9
P08240	Q8C3Q9	-	-	-
Q8WYP5	P84228	O89038	F1MBR9	Q5TJE8
Q15543	Q8BZN6	D4A8N6	E1BER4	E2QXK0
Q15544	Q3UW68	P61149	F1MNJ1	E2R547
Q8N5M4	Q9CQ37	D3ZAB6	F1MIJ6	F1PYM3
Q59EK9	P60191	O35876	-	-
P22304	P19123	Q6AYD4	F1MZ12	E2RIH9
Q8NBK3	D3Z0B9	A0A0H2UHJ9	A4FV66	F1PYA8
P36507	Q3U466	D4AAV4	A8R461	E2QTC7
Q92696	B1AY26	O70351	F1N2F8	F1PKA6
Q99584	A2AQ99	P01237	A6QLV8	E2RH58
Q5VU97	Q9Z1P7	D3ZGP2	P79099	F1P671
Q6UWE0	Q6P9L4	P49187	F1MDS0	E2R4Q0
P07099	Q8C878	D4A444	Q9BEG5	F1P612
Q96C00	O09105	G3V9J2	Q3SZW9	J9P0K1
Q9C0G0	Q7TPW1	D4AAE2	F1MFJ6	F1PKS2
P07476	P82347	Q5XIH8	F1N124	F1PL46
Q9NRX1	Q9R0P5	D4A4Y0	A7E323	E2RSS5
O15047	E9Q512	G3V9R3	-	-
A4D1E9	Q9ERE9	D3ZIU2	F1MXC3	E2RAI1
Q8N1K5	P63030	Q66HD6	F1N4U6	J9NYK2
Q8TB52	Q3V125	-	-	-
O75419	Q80UG5	G3V9N1	E1BG87	E2RFB4
Q13415	Q99K01	Q64542	F6RWK1	F1PHP1
Q96KM6	Q66JT7	-	-	-
O43502	O55098	Q6AYD9	F1ML91	F1P8K8
Q96HS1	Q99JR1	D3ZNI3	F6S1Q0	F6UNG9
Q9H0U6	P06869	G3V8L9	Q3SX32	F6Y0V4
P05413	Q3UJT6	D4ACR7	Q1LZF2	F1PVV9
P56199	Q3U3I9	F1LRM3	F1MTU4	L7N0C9
P10316	Q80YP0	-	-	-
O76015	Q9DD24	F1LPC8	E1BM11	E2R8H4
P49902	Q69Z99	P04633	Q2TBG8	F1PBA2
Q70IA8	Q9CZT4	A0A0G2KAH6	F1N241	F1Q431
P53384	Q9JHT5	F1M3G9	E1BBM2	F1P6I8
Q9BXF9	P70217	D4AAI9	A4IFP7	E2R1Q4
Q15052	P26645	Q3MIF2	E1BE36	F1PD13
A0A0S2Z528	Q9D3R6	A0A0G2JVD9	Q0II22	E2QYT2
Q9P0L2	P24288	D4A123	E1BBV6	Q45T69
Q9H8X9	E9QJU4	Q99NB2	F1N5N2	F1PN08
Q14807	Q7M6Z4	Q6P5P5	A6QQ15	J9P5R0
Q8NF99	Q9CWV0	-	-	-
Q9BRR0	A0A1L1SVB6	-	-	-
Q8IWN7	P98197	D3Z8K5	E1BMD2	F1PFS8
Q9P1Z9	Q8N9S3	G3V9Q7	F1N3H4	Q2Q423
P42694	G3X912	D3ZNI5	-	-
Q10713	Q61820	O70277	F1MN92	J9JHK7
Q96IX5	P53811	A0A0G2JTK6	E1BFL2	K9J6P0
P31995	Q8CCS4	D4ADD0	A0MTF4	E2R141
P25786	F6ZDS4	Q6NYB7	A0JNE9	F1PX67
Q03060	Q8C092	F1LU58	G3X6Z1	A0A0A0MPC7
Q5JRX3	G5E896	A0A0G2K6J6	A0A140T8C6	J9NXA2
Q96I99	Q91YU7	B1WC58	Q58CV6	E2RIA1
Q92543	Q8BH40	E9PTC3	Q3T0R7	E2RMV6
Q92932	Q32NY6	-	-	-
Q9NUL3	Q9D031	B2GUZ9	F1N4B0	E2RHN1
Q06643	E9QA35	D3ZS59	G5E5Q6	F1PQT5
Q15059	Q91XU3	F1LTR1	G3N0P5	E2QYG3
P54756	Q9Z0J7	D4A718	E1BAU7	F1PDY3
O15442	F6RT60	F2Z3S0	G3MZE1	E2RKP5
P46019	P70414	A0A0G2JV16	F1MTJ5	F1PTB2
Q9UKF2	O35207	F1M5R1	Q32LA8	F1PVU3
Q53TN4	Q8K093	O54697	E1BKC0	F1PQB7
P11912	Q91XL2	P50398	-	-
Q9UIF7	Q9D2U5	D4A0R1	E1BIN3	F1PED0
Q96L92	Q8BGS7	P21213	E1B8B9	E2QU79
Q9NP55	Q91X56	-	-	-
Q9NUM3	Q8BK60	Q66HI4	Q2TA17	F1PGB9
Q6AHZ1	Q8BGR6	D3ZZH7	F1MDS5	J9NXR0
