B7NZM8	A0A286XBQ9	W5PAQ3	M3WE16	F7BJQ7	F1P6I3	A0A287APW0	P67939	P19139	P97855	P07306
G1SFQ0	H0UX20	W5PAN5	M3WJ18	F7DDB3	E2QWE0	O02705	F1N7F3	P35213	P01108	P50135
G1T1E5	A0A286XM09	W5PBY8	M3WAW0	F6WRR6	J9P2C4	A0A287AYA8	E1BAG2	D3ZT51	Q9CRA8	Q3MI39
U3KP51	H0VGG1	W5Q288	A0A2I2UNC3	F6QN26	F1P698	A0A286ZPW0	P26892	D4A903	Q64687	Q9P015
G1SQ02	H0UZ10	W5QDN6	M3WB84	F6ZV64	L7N050	A0A286ZSY3	A4FUD0	M0R3M4	P63087	Q2M1V0
G1SUQ2	H0UVG5	W5QCG9	M3XCB2	F7CNM7	F1PPQ1	A0A287ATR5	F6QVR0	Q9Z0H5	Q8BMY7	Q96RQ1
G1SUM0	H0W0C3	W5PIX8	M3W7L9	F7C687	E2RF36	F1RRB0	F1MQC0	D3ZNG4	Q8R1T4	P19021
G1U0B1	H0VQ75	W5PHT1	M3W7P2	F6YI69	E2RCU6	F1RLA1	G3MWL0	D3ZU48	Q8R3E3	Q86UW6
G1TME4	A0A286Y2D3	W5NWA9	A0A2I2V3H6	F6QPB4	F1PGY7	A0A287BR94	Q2TBT3	Q68FV3	D3Z6I1	O43502
G1SHH2	H0VBE3	W5PAV1	M3W3F3	F6U0K4	F6XYL8	Q29122	A0JND4	D3Z9A4	Q9DCN1	Q8WTU0
G1TEP5	H0W6W2	W5P359	M3WGT5	F7CG77	F1PKF6	Q0QF01	A5D989	M0R9T2	P61222	Q8NBM8
G1T657	H0VTS7	W5PPC2	A0A2I2UU06	F6UQU2	E2QRT0	A0A287B2L4	F1N2T0	Q6AY09	D3YTQ3	Q8IYR0
G1TSM2	H0V8E4	W5P3G6	M3VY86	F6QLQ9	F1PEJ6	A0A286ZVR3	F1MWY9	A0A0G2K4P1	Q7TNL7	Q5TC63
G1TMI8	H0VNU6	W5PK09	M3W397	F6VAD5	E2QSK8	F1SE68	A5PJA1	B2RZ73	Q9ESK3	O96008
G1SXR5	H0W0Z1	W5P2U5	M3WUI1	F7CZ53	J9P4S5	K7GQL2	G3MY69	Q7TSP3	Q3TA59	Q8NB78
G1SPL7	A0A286Y0Z9	W5PLF3	M3X940	F6Q1Q6	A0A0A0MPD3	I3LS94	A1L522	F1LVR4	Q8BM96	Q149M9
G1TPA4	H0V2C1	W5Q2P3	M3WDY0	F6QHX1	E2RG83	F1SG41	F1MKA6	A0A0H2UHV7	Q3TZX3	Q9H2J7
G1T817	H0V8J4	W5Q0S6	M3WA39	F6S4H4	E2R4V9	O79876	Q0VC53	D3ZK29	Q3TWL8	P49758
G1T7T6	H0UU87	W5PD54	M3WCI2	F6XBB8	J9P782	F1S346	F1MGT5	D3ZY41	Q8K3K8	Q8IYN2
G1T7S2	H0VL70	W5PDX8	M3VX22	F6QD00	E2REK3	F1SRP0	A7Z018	P36876	Q3U9G9	P80188
G1TBF8	H0VU90	W5Q3L3	M3WXG1	F7D9E5	F1PBZ4	A0A287BJF9	Q0IID7	P63142	G3UYF5	Q9NU02
G1TQ40	H0VKE9	W5QCJ3	M3WLZ4	F6X8D2	E2R479	F1S2V6	E1BAL2	D3ZZ62	Q91Y97	Q8NAA4
G1TVW1	A0A286XIK9	W5NY07	M3W8K5	F7A0T9	J9NT73	A0A287BM79	E1BMX0	Q5RK30	Q8R2T8	Q6P1W5
G1SFG7	H0VEW3	W5QFZ2	M3W3Y5	F6YYS9	F1Q247	A0A286ZZB1	A4FV80	F1LMG4	P14719	P43243
G1TS73	H0VN63	W5PNL9	M3VYI7	F7B7L7	E2R792	Q684M6	F1MDH3	Q63746	Q9JMH9	O14746
U3KM97	H0VBI2	W5Q375	A0A2I2U1P9	F6UBT9	E2R9V5	A0A287ADS4	Q3MHE2	O88275	P49138	Q6IE81
G1SK40	H0VNA1	W5Q2W8	A0A2I2UBQ2	F7E191	J9P0D0	F1SRG9	Q17QN8	A0A0G2JUB6	L7N1X8	Q9H8U3
G1T667	A0A286Y4Y6	W5PTC1	M3XD08	F6XGH7	E2RPJ5	A0A287AUR6	F1N6Y5	P00731	Q64691	Q96P31
G1THP8	A0A286XZX9	W5QIK3	M3VYV9	F6Y9C0	E2RKN5	I3LJY8	F1N7H7	D3ZTG2	A2AJI0	Q6FG59
G1TR30	A0A286XLZ1	W5PCZ4	M3X694	F6YP52	J9P0K5	I3L954	F1MWK6	M0R685	P51829	O60756
G1T5F8	H0VF91	W5NVF5	A0A2I2UDX2	F6REN5	F1PW18	A0A287BKZ0	E1BA62	P23711	Q9DD03	Q9UL45
G1SIN8	A0A286XWN6	W5QEN0	A0A2I2TZW5	F6U5Y8	E2QWB6	F1SVD1	G3N0H2	F1LR55	Q3U0P4	Q9BRQ4
G1SH24	A0A286XTN8	W5Q4M9	M3VXX1	F6T089	F1PVM9	A0A287A0J0	A4IF62	D3ZUB0	Q9D7W5	Q5VZM2
G1SNS3	A0A286XM28	W5QCI5	M3X172	F6SJ05	E2RDP1	A0A287AK24	E1BLJ0	Q5GH55	Q91VD8	P78358
G1U9E0	H0VX90	W5P476	A0A2I2UHP9	F7B625	F1PIB8	A0A287BBF5	Q28197	D3ZS92	Q8VF03	Q8WWN8
G1TSV4	A0A286XRK9	W5PUR2	A0A2I2UWQ4	F6VKF1	F1PSM3	A0A286ZUX4	A5D9F9	Q6DGG4	P28063	Q92482
G1TW00	H0VFA5	W5PA52	A0A2I2U649	F7CT52	E2RQD8	Q29243	F6RQK3	G3V8U8	Q6IQX7	Q9BXN2
G1T884	A0A286XJR6	W5Q235	M3WV73	F7BA19	E2QZV4	A0A287AYQ7	E1BM54	O08773	Q8BJH1	Q9H251
G1SV34	H0UYP5	W5PSD7	M3WIE0	F7CRS8	F1PA90	I3LLV3	Q08E33	D4A0C5	O35405	Q9GZU1
G1SM23	H0VJ87	W5PZB0	M3X2Y7	F7DZW7	E2RT47	I3LG08	A7MB78	B5DFL5	P70349	P18509
G1SDZ3	H0VBS4	W5PVV7	A0A2I2UEN4	F6RU21	E2RJ14	F1SG17	Q32LN1	B2GV13	Q6PFR5	P55157
G1SPM4	H0VSM0	W5NQA3	A0A2I2UVB3	F7DRK3	J9P1Q2	A0A286ZI89	F1MC54	D4A0W1	Q8BHC4	Q04446
G1SVI4	H0V1Y4	W5Q822	M3VUJ0	F7DIQ5	J9P0F7	A0A287BKJ0	A6QQQ1	A0A0G2K772	P13609	Q6NUN0
G1T780	H0VLE1	W5Q7C7	M3WRZ8	F6WAW1	J9P4A0	A0A287B5Y3	G3N0P3	Q5M8C6	Q920D3	Q8N6N7
G1SH74	H0W9U4	W5Q1A1	M3X6C5	F6YU92	A0A0A0MPA9	A0A287A4K1	P00429	P57760	P70428	Q9BWT3
G1T5D4	A0A286XZG3	W5NZC9	A0A2I2UT78	F6TR73	F1PMQ5	I3LNR0	G3MWK1	A0A0G2K1L4	Q9Z2F6	Q8TDB4
G1SZQ7	H0W037	W5NWK1	M3VV16	F6VVU1	F1PIG4	F1SRM3	G3MY77	Q5M9G5	P56818	Q9H1I8
G1SYF4	H0VJB4	W5QCR4	M3W0Z5	F6YWX3	J9NX65	F1RR66	F1MNZ8	E9PTQ3	Q6NS86	P62250
G1U6N8	H0WBQ6	W5QI99	M3W2U4	F6WLX9	E2RH48	A0A287AU59	P68138	A0A0G2K9D6	Q01405	P20366
G1U1X6	H0UX40	W5QD03	M3VXC5	F6Y3U5	E2QX30	F1SJ74	F1MN87	Q9Z252	Q8BKE9	Q99598
G1T236	H0VPE5	W5Q8I4	M3WL43	F7AXH2	E2RGI7	A0A287BFY7	F1N507	Q6AYG3	Q924B0	Q8N9M1
G1SUN6	A0A286XEY1	W5QFQ7	A0A2I2UUZ7	F6X5U4	J9NWM8	I3LIE7	F1MQ09	Q9JHE5	Q60900	Q9NVR2
G1T9L6	H0V628	W5PZT8	M3WDG6	F6WDT3	E2QXC6	F1SDY2	Q865S1	Q5FVG2	P17225	Q86YJ6
G1TUX1	A0A286XFI8	W5PPT4	A0A2I2U4Z9	F6UKI1	E2REH1	D0EWS6	F1N0Z2	A0A0G2JSH6	O35424	P82909
G1SJX2	A0A286XYG9	W5Q389	A0A2I2UZZ0	F6TNY4	E2RFF5	A0A287BFG8	F6QTA8	D3ZVU2	Q3UM89	O95841
G1SK49	H0W1F0	W5P0U9	M3X758	F7CVI2	F1PIS7	E9LHE5	F1N1Y8	Q6PDV1	P0C5I1	Q7Z7B1
G1TSE6	A0A286XMT0	W5PJ97	A0A2I2UT06	F6ZFP9	E2RH33	A0A287B5B5	G3X6V2	Q3KRC3	Q8VCG4	O60313
G1TFI4	A0A286XGA9	W5QFM7	M3WUT1	F7D1B2	F1PHN0	F1S9H0	A5PKE6	Q8VHJ0	Q99M08	Q9NZF1
G1U4C2	A0A286XNK9	W5PSE0	M3X422	F6RXP2	F1Q0F2	F1S7U2	Q08DG9	D4A3M7	O35367	Q0VDG4
G1SLB8	H0VDZ4	W5QAL1	A0A2I2U3W4	F6TQU0	E2RBE4	A0A287BD53	Q32LN0	D3ZZC9	Q8K136	Q9H477
G1SYJ1	A0A286XN12	W5Q4I3	M3W215	F7CV51	E2RSY7	A0A287AVI5	F1MNS0	Q63257	P97931	Q96KR4
G1SV30	A0A286XP04	W5PDL4	M3X259	F7AZE4	E2RDW8	A0A286ZX20	A7MB06	G3V912	E9PUK2	P29803
G1TA73	A0A286XRG0	W5PN24	M3VWU8	F6SJ14	F1Q2Y3	A0A287BDW6	A1L521	O35867	Q9CPU7	O60244
G1T7X7	H0V9Q0	W5PPY9	M3WF45	F7D5C0	F6V1W0	A0A286ZTI2	A4FUG0	D3ZVQ0	Q60954	Q9NQZ6
G1SUD2	H0UTW0	W5PUD9	M3WMS5	F6Y358	J9PBI9	I6QFQ7	E1BMV0	Q91W32	Q99K87	P01614
G1U3D6	A0A286XY56	W5QCT9	M3WA36	F6QBJ2	E2RJQ6	A0A287AZN7	A6QLD9	P34080	Q8R4G9	Q5T700
G1TIF8	H0W4W1	W5Q6D8	M3X9H8	F6ZDT6	F1P7N1	F1RLF4	Q5W1C4	G3V6B8	A0A0R4J0K8	Q8WZ33
G1TLA2	H0V186	W5PSW2	A0A2I2U6B3	F7A380	E2RM28	A0A287B4W3	F1N6Q4	Q5PPK1	Q8K2H4	Q9P0L9
G1U8E6	H0W6M5	W5PR59	A0A2I2UYT9	F7CZP4	J9JHL3	F1S8W9	G3MZQ5	Q5PPI0	P33622	Q8TAM4
G1TSV3	H0UX23	W5PZQ0	M3WVH2	F6TGS3	P33703	F1RRT2	Q58D62	D4A3D2	E9Q3Y4	Q15911
G1TTB8	H0VA44	W5P351	A0A2I2UNL4	F7DPW3	J9P4F0	B0JFC7	Q0V8G2	E9PSJ3	Q8VEK0	A6ND36
G1STW6	A0A286Y5C9	W5Q456	M3XEP3	F6Q1P5	F1PPA2	A0A287BT14	Q32KU7	A0A0G2K7E6	Q8K2I5	G3V325
G1SJY1	A0A286XJ89	W5NXZ5	M3WMH9	F7C3J0	F6XUY6	F1RN71	E1BDW9	Q9JJ19	Q8R2M2	O43581
G1SIU5	H0V7D3	W5NX13	M3VVP8	F6UN00	E2RIB8	A0A287A0L7	G3MZL2	D4A5K7	Q8CGC6	Q8IWX8
G1SF16	H0UU29	W5PA12	M3WQZ8	F6ZFT8	F1PT49	Q8WP15	F1MQU9	F1LMT5	Q8R4V2	Q96P15
G1SHD1	A0A286XJB0	W5NUD3	A0A2I2UDP4	F7DCE1	E2RGC8	A0A287AKM9	F1MCW9	D4AE59	Q8CJC5	P20701
G1SRV2	H0VJH2	A8DR93	M3WMI0	F6VA95	F1P6L5	A0A286ZT52	E1BK34	G3V9P7	O70551	Q8N468
G1TF82	H0W1A3	W5QG04	M3WN60	F6QEM9	E2RFR2	A0A287B6X3	F6Q200	F1LPK3	P04441	P07988
G1SMB9	H0V493	W5PY02	A0A2I2ULN3	F6VMR5	E2QXP1	F1RKN4	E1BI85	Q8R413	E9QP44	Q9Y680
G1U8N3	A0A286XMS0	W5PJA1	M3XDY3	F7CLJ1	E2R0J4	A0A287BE42	F1N5J2	D3ZKE6	O08966	Q9Y5X5
G1TMM0	A0A286XGK3	W5PFR3	M3W9K0	F6ZV73	J9P4I2	A0A287A8F8	F1MVJ8	D3Z9E1	P70120	Q9BYG3
G1U8M6	A0A286Y2S4	W5P1U3	A0A2I2UE51	F6WF99	J9PBN2	I3LJC2	E1BKB4	D3ZH40	B1AUN2	Q96HS1
G1TA60	H0VEH6	W5QJ40	A0A2I2UKI4	F6WBZ3	E2RFJ2	F1S5K5	E1BF38	F1M171	G3X9G6	O43609
G1U1E5	H0V862	W5Q600	M3VUH7	F6SEU7	Q76LT7	F1SDJ8	F6RY07	Q63433	Q99KL7	Q92947
G1SRH2	A0A286XTZ0	W5NRS6	M3WZG9	F6VUQ7	J9P9Q8	F1RFH5	E1BPV4	D4ACU5	Q14DH7	Q6P4I2
G1TF71	H0VCS0	W5NZT1	M3WP75	F6SVV7	J9P0I3	A0A287AKG8	G3N2G3	M0R582	Q8BG05	P34913
G1TWZ5	A0A286XIZ5	W5PI06	M3W5R6	F6YJX1	P33725	K7GNX3	Q0II90	A0A0G2K3D4	P50538	O95185
G1SRG6	A0A286XJC5	W5Q334	M3WPK0	F6VTZ2	E2RGE0	F1SRV9	F1MFX7	Q6P9U6	P45878	Q04206
G1SQ27	H0V2N3	W5P3N4	M3WSR0	F7AM77	F1PE72	F1S2J4	A7MB74	D4A3P1	P70671	Q6PI47
G1SND6	A0A286X8S9	W5Q5E1	M3XES2	F6RRL9	E2QUY3	F1SIE5	Q2KIL4	F1LVG1	Q8K4Z3	P17028
G1TF08	H0VN34	W5NT61	A0A2I2UG37	F6RRR0	E2QW08	F1SMP9	A4IFU2	B1WC74	Q8VE65	Q86XR5
G1TUT8	A0A286XZU3	W5PVF4	M3X0A9	F6ZB96	F1P983	F1S629	F1MF15	Q8R2E7	Q9R1T4	Q969R8
G1TUN6	A0A286Y3V2	W5P7F9	A0A2I2U4X4	F6WIN6	E2RG46	Q5S3G4	Q32L60	D3ZS02	Q7TS75	Q8TEA1
B7NZR8	H0W051	W5PLE1	M3WAY5	F6TCV1	E2RSF1	F1SSY0	F1MJI8	D4ABM4	Q8R4P9	P49448
G1U1W7	H0VTN9	W5Q190	M3WLA1	F6PSS9	E2RDD1	I3LDU2	F1N027	Q5PPG5	B8JJE0	Q6P9H5
G1SS27	H0V9L3	W5QEH8	A0A2I2UQ69	F6SM09	J9P3X9	A0A286ZJ94	G3MYW7	B0K018	Q3UFC6	Q9BY32
G1SS96	H0UUV6	W5Q4P3	M3WL63	F6SA86	J9NWL1	A0A287A4W0	F1MCQ7	D4A4T0	P26040	P42357
U3KN53	H0VS00	W5NZC5	M3WUX8	F7D7T6	E2QX24	A0A287AV47	F1ME11	F1M9D6	P16951	P62070
G1SEZ0	A0A286Y000	W5PU86	M3WW61	F7E238	F1PTR3	A0A286ZQM3	A8KC65	A0A0H2UHH4	P40936	Q9P0W8
G1SSI7	A0A286X9U7	W5Q801	M3X720	F6S634	E2QYN5	F1SEX1	A4FUH7	D4A5D4	Q6ZPK0	Q96AY3
G1TY14	H0VSY7	W5PQ44	A0A2I2U6K1	F6VGQ3	F1Q039	A0A287ASV2	E1BAK9	P28470	O88866	Q8IZT6
G1U474	A0A286Y346	W5PLD1	M3VYE2	F6XM89	E2R945	A0A287BFX0	E1BIY4	Q2THW7	Q6ZWY9	Q53S58
G1SGT6	A0A286Y479	W5P2S6	M3XCA2	F6RT52	F1Q223	A0A287AMC1	Q8HYW2	G3V9Z3	Q9QZN3	Q5JRV8
G1TE53	H0VVH3	W5P7Y8	M3W5J5	F6T977	F1PGM7	I3LPJ0	F1MX73	Q0ZFS7	Q9JMH3	P25101
G1U0F3	H0W7U9	W5Q1F7	M3X5U6	F7CHR8	F1PSP7	Q06AT4	E1BDK9	B5BUZ1	Q9QZC2	P21731
G1SJK6	A0A286XQ49	W5PE76	M3WKG7	F6RYF9	F1PPY8	A0A286ZIS3	A5PJX7	A0A0G2K364	Q60979	Q13349
G1SHH7	H0VG99	W5PBB1	M3WJF1	F6V2W8	E2RLU0	F1RHU5	E1B7M7	Q5XIG0	Q91Y47	Q5FWF4
G1T0L0	H0VID6	W5P3Z8	M3VZ37	F7DM40	F1PVL8	Q2TNK5	E1B863	D3Z9I4	Q8R2R9	Q8NET8
G1TPZ1	H0VLM8	W5PSP2	M3W4M5	F6YNH6	E2RFA4	I3L8V5	F1N3K8	Q6AXM8	P04370	Q9UMP2
G1T110	H0VTS2	W5PKD6	M3X2A0	F6X2G4	E2R5Y1	A0A286ZWL3	E1BEK1	F1M0C3	Q64437	Q9UPR3
G1U1E4	H0VWS8	W5Q001	A0A2I2U323	F6YL55	F1PSD8	Q06AA2	Q9XSK0	F1LSM6	Q9JKL4	P14314
G1T998	A0A286XUN6	W5Q2R6	M3WBM0	F6XIS7	F1PJM2	F1RSN0	F1MD39	P22756	Q6Y685	P05455
G1SI56	A0A286X8S4	W5PY22	M3X3W8	F6ZW04	E2R1X3	I3LC59	F1MWS3	F1M6V0	Q8BVT3	Q7Z344
G1SH62	H0VWB2	W5PQD2	M3WEC2	F6WBS2	J9NUW1	F1RK84	F1N4G5	Q5BK22	P20664	Q9GZX3
G1TST2	H0VGP8	W5PVM5	A0A2I2V3W5	F7DWY2	E2R2D3	I3LLV0	A5PJX0	A0A0G2K178	Q3TLP5	P60903
G1TNA6	A0A286XYQ5	W5PNL4	A0A2I2UXG4	F7B7X0	E2RDL8	I3LUG7	F6QYV9	P23514	Q8K4Z5	Q6NXT6
G1TBF7	H0VFE8	W5PP50	M3WLZ2	F7BSA0	F1PMK8	F1S4P2	Q1RMP5	B1WC03	O88932	Q8WWZ1
G1SZ58	H0VJX8	W5P272	M3WIM3	F6XWC6	Q5WR10	A0A286ZP69	A4FUC6	P07335	P26231	Q5TB27
G1T788	H0VDZ5	W5PQ68	A0A2I2UHH8	F6S6P9	E2R4B8	A0A288CFU9	E1BGT6	D4ABN2	P16015	Q8N4E4
G1TNX3	H0UXE9	W5NU73	A0A2I2V3C5	H9GZZ7	E2RTG0	A0A287AGU5	A0JN92	Q5XIA3	P0C871	O60503
G1T9N1	H0VRI6	W5PMC1	M3XER1	F7B4R3	J9NRV9	F1SGL1	F1MZP3	F1LSW6	A0A0R4J0E9	Q9NS86
G1T9V6	H0V5I5	W5Q8Y1	M3VXY0	F6TT52	F1PGW5	A0A287BLT9	G3MWM1	Q5PPI9	O88998	Q56P42
P00518	A0A286Y2D0	W5PGR1	M3W3X8	F7BWD6	J9NTK0	I3LM33	A6QQM8	D3ZX31	Q5SS00	Q16384
G1SZX9	H0W0Z4	W5NQQ5	M3X5U7	F6Z824	F1P8Z8	A0A287ANK9	F1MU48	Q80WY6	Q64511	O43379
G1T8S3	H0WAT6	W5PPC0	M3WD42	F7BEU9	E2R4D6	F1S6E0	Q5EAA5	A0A0G2K864	Q3TZB5	O95395
G1SKU7	A0A286XNA1	W5P8C4	M3XCZ8	F6U8C2	E2RPW3	A0A287B1S0	Q4PL64	D3ZYJ5	G5E8C4	Q5VYS8
G1SW62	H0VJM3	W5PIA0	M3WGJ5	F7B9Z3	F1PZ59	F1S3V2	Q32LD3	D4A8L5	Q9WVB4	Q99972
G1U8F0	H0VGN9	W5QEH9	M3WGX6	F6TVY8	E2R3G3	A0A286ZVJ4	F1MNF9	A0A0G2JWX4	Q9R0P9	P22415
G1TTX4	H0V315	W5P7X5	M3WIH8	F7AXF6	J9PAR6	F1SM64	E1B7K8	G3V987	Q64449	Q9H4A5
G1ST05	A0A286XUF4	W5Q323	A0A2I2U1I2	F6R0E4	F1PQH9	A0A287B093	Q32LN5	A0A0G2JYR1	P29452	O00292
G1TDV0	H0UZH6	W5PGR6	A0A2I2U0K4	F7AN76	E2QY28	F1S688	F1MXE0	Q4KLL5	P97361	Q96PE3
G1SUQ5	H0UWD8	W5Q5X0	M3XBG0	F6T4P3	F1PK17	F1STB6	E1BJH9	Q5M868	A0A1D5RLL5	Q8N0Z9
G1TED0	A0A286X7I0	W5P5D6	M3W159	F6QST0	E2RP79	F1SD88	A6QNY1	A0A0G2JSX5	A0A0R4J0J7	Q8WVC6
G1T6Z7	H0V0H3	W5Q8S6	M3WGZ5	F6XD11	Q4L144	Q6EKW4	F6Q4B1	A0A0G2JTM0	Q9CPY6	Q06265
G1SYA7	A0A286XX02	W5Q6N2	A0A2I2UEW4	F6X5D4	F1PJX1	A0A286ZJ70	F1MS06	D4AEH8	F8VPQ4	Q06413
G1SXD8	H0V2D8	W5NT51	M3W694	F7B2Z6	E2RQP9	A8D9X0	E1B8G6	B2RZ42	Q9D8C2	Q96A58
G1SSS4	A0A286XDN4	W5Q210	M3VV49	F7CB43	F1P795	F1SEA8	A0A140T8A4	Q80Z29	P01029	P17021
G1TRB1	A0A286XZ45	W5QCM0	M3WW68	F6U5K3	E2R1I1	F1S505	F1MGB9	E9PTY0	Q8CBG9	Q7LFL8
G1SZF2	A0A286X824	W5NYL7	M3WVS2	F6XB71	F1P914	F1RFT3	F1MGT1	A0A0G2JYQ3	Q4VBE8	Q70UQ0
G1T0N0	H0W7N4	W5Q8X3	A0A2I2UGX5	F7DQI1	Q28874	D0G786	Q9N287	M0R652	Q9EQX4	Q9P266
G1SPT5	A0A286XIC4	W5NXN5	A0A2I2UIA1	F6UR83	F1PF58	A0A287A6C1	F6QN23	D3ZPP9	Q9JLC6	Q9UIH9
G1T697	H0VPU2	W5Q4V5	A0A2I2UG54	F6ZJ51	J9P2S9	A0A287BCL3	Q5E9E3	D4AD40	E9PYD7	P57073
G1SCQ3	H0UW35	W5P7F3	M3W3G4	F7CZ17	J9NY14	A0A287BSD3	F1MV30	Q03410	Q9D720	Q9NRY6
G1T3C4	H0V6T1	W5NPR0	M3WH02	F7D9Z8	F6X6A0	A0A287BD30	Q2KIG0	Q62746	Q80UP3	P05813
G1SJ58	H0V5K7	W5P1J0	M3XFF0	F6T3G7	F1PLC5	A0A286ZV07	E1BI51	B1H291	Q8CFA7	P56270
G1SCF0	H0UT84	W5PR51	M3VXU3	F6SVH5	L7N0E0	F1SNK3	A5D7S0	G3V7V1	Q61290	O15432
G1TAK5	A0A286XCX4	W5NUQ1	M3X9W7	F7ALK1	E2RIB6	F1RFJ1	G3N2V2	P14408	P06684	O60481
G1SI57	A0A286XX81	W5PWV5	A0A2I2UTQ4	F7CFF9	F1PAU2	I3LEK9	F1MUX6	Q6MG20	O70422	Q9Y5A9
G1T6P7	A0A286XNY4	W5QG11	M3XEA0	F6R0P3	F1PBW9	D3Y270	F1MJ41	D4ABZ5	P28661	Q5EBL8
G1SV55	H0V8F2	W5PTY3	M3X4H8	F7CRD9	J9NW26	F1RZX9	Q1LZF6	Q5M9I5	Q9D2W5	Q9Y2Q9
G1TUK4	A0A286XN23	W5P8Q7	M3WB04	F7BQZ4	F1PEG7	A0A286ZYZ3	F1N0K0	D4AEJ6	Q8K299	Q8N336
G1SJQ1	H0V9L8	W5PQK5	M3VXM9	F7D1I8	E2R942	A0A286ZQP4	Q17QQ9	F1LUI7	O54970	Q01718
G1T5U7	H0W2U4	W5Q3F0	M3W6E1	F6RDW9	F1PRA1	I3L9W7	A6QNM7	Q62901	Q6PGC1	O00321
G1U3L3	H0VXM9	W5QHQ0	M3X4W0	F6SUI4	F1PS22	A0A287AJ83	G3N248	D3ZEB1	Q61098	Q8WYN0
G1T702	H0VE59	W5PKD8	M3WU60	F6ZI35	F1P887	F1RM83	E1BNX6	P97832	Q640Q4	Q14563
G1TEY1	H0WAH5	W5PP94	M3X844	F6YHB2	F1Q3F7	A0A287B3F8	F1N2F3	F1LMN8	Q64459	Q6ZMQ8
G1T9H1	H0V1M6	W5PDK5	M3W0V9	F7C190	E2RL29	A0A286ZJP3	G5E591	Q66HT5	Q9WUH5	Q6P158
G1STS4	H0UZF9	W5PJB3	M3WAS7	F7AT02	J9NVA0	A0A287AM63	Q0IIF0	B2RZ79	Q9EPL2	Q9HD89
G1SKV1	H0V4P7	W5PAS0	M3XAD2	F6XDB7	E2QRR3	A0A287AI91	Q5EAC4	D3ZTZ0	Q3V0J1	Q9UJU3
G1TCL4	A0A286XSV2	W5PX44	A0A2I2UEY5	F6WL41	J9P5N9	F1RFF9	F1MCK4	A0A0G2K149	Q80XI4	Q99816
G1SQ95	A0A286XA24	W5PRA1	M3XE10	F6V541	E2RJ45	A0A287BLW6	Q3SZC1	D4A3E1	Q62407	A8MXP9
G1TI43	A0A286XC28	A7UHZ2	M3X2R7	F6XY88	E2RNN5	A5GFS5	Q0VCD2	G3V8B6	P25118	Q13485
G1SVN4	H0V3Z7	P22613	A0A2I2UD62	F6SSH9	J9NVI6	F1SI94	E1BHZ6	P51179	Q9ESH4	B4DDF7
G1TRU2	A0A286X7B6	W5NRY0	A0A2I2UAT0	F7BAI2	E2RDF0	A0A287BG15	E1BIV1	Q5PQN6	O88602	Q8NFZ4
G1U763	A0A286XYE9	W5PA60	A0A2I2UZ38	F6R4E0	F1PGN6	A0A287A5P7	G1K1J6	F1LME7	A2RTF1	P0DJ93
G1SER6	H0UZ24	W5PA25	M3W9C6	F6ZCL2	E2RDH2	I3LJP1	E1B7G2	A0A0G2K175	P01216	O60656
G1SEF6	H0UUN8	W5P8I7	M3WR01	F6PTT9	J9PA78	O18766	F1N439	R9PXY2	Q3UKU1	Q9Y6R1
G1SYR8	A0A286XK62	W5PFT4	M3WGJ6	F7BR32	J9P4G0	F1SG04	E1B7L0	A0A0G2JWF0	Q91ZD4	Q86TB9
G1SN08	A0A286Y1E0	W5Q354	M3X8T9	F7CKR6	E2RA48	A0A287B401	P31976	O08769	Q99K46	Q5JSH3
G1SFV7	H0WBA1	C5IJA0	M3WIV8	F6WQI9	F1P6B7	F1S590	F1N4M9	P62828	P25206	A8K0R7
G1TJT6	H0VUB6	W5PBJ9	M3XF20	F7B3K7	F1PJ55	A0A287B286	E1B8J8	F1M1X7	Q99MT2	Q8NES3
G1SQ24	A0A286XG40	W5PZR7	M3WKP7	F7DK76	E2RAV6	F1RRU8	F1N7I1	D3ZYD8	P47759	Q13202
G1SQ94	H0V583	W5NPL3	M3XBQ2	F7BHA9	F1PHG2	F1SDR6	F1MGY1	G3V9S9	Q80UG8	Q8WV15
G1SQV4	H0W3W5	W5PJH9	M3WMA3	F6QHF0	F1P6F3	A0A286ZUD3	Q3SZX9	P55051	E9PWM3	P23763
G1SFZ4	A0A286XZY9	W5NV46	M3WC42	F7BB21	F6X6W7	A0A287AMU8	Q0P5M0	P30083	Q0P5V2	Q6ZNF0
G1TXS5	A0A286XYL3	W5Q1C8	A0A2I2UVF6	F6X5J6	F6UKT8	A0A287ARU4	A2VE99	G3V818	A0A0R4J0H7	Q9BTT0
G1SFV0	Q91ZY3	W5Q049	M3XDK9	F7A9Q7	F6V4D2	I3LM39	Q5E9Y2	F1M6W4	O35949	Q13427
G1T3R9	H0V8Z4	W5PFN8	M3WA08	F7AFC8	E2RGW0	A0A287B9M1	E1BKK0	F1M614	P16390	Q6UXB0
G1T3D3	H0VX74	W5PIX7	M3WR22	F7B088	J9NSQ7	A0A287AEQ7	Q2KIM1	F1M285	Q8CDI2	Q99456
G1TU85	H0UUE1	O18830	M3WRP5	F6XWG3	E2QY26	I3LUD1	G3N3U7	Q6AYT7	Q8BT18	Q96ES7
G1TUE2	H0VG95	W5QF41	M3VW98	F6SD54	E2RA19	P01219	H9GW32	P39949	E9QKI2	Q7L523
G1SS04	H0VTI9	W5QEP0	M3W045	F6XYG7	E2R9F7	F1RMV0	A3DUJ0	O35092	E9Q3L6	Q7LFX5
