IIDdog.gw	IIDcow.gw	IIDrat.gw	IIDmouse.gw	IIDhuman_exp.gw
E2RIC0	Q9TTA5	D4AC16	Q9DBP5	Q8TBK6
F1PVP1	E1BBU4	F1LMR4	Q811T9	P10827
E2R1X1	E1BDN8	P36876	Q5HZJ0	Q8N3Y7
F1PF69	G3MYD9	G3V778	Q9CQ14	P28325
F1PDP9	E1BJ68	A0A0G2K0G0	O54786	Q16534
J9NZB0	E1BIR5	D4A7Q2	G5E895	Q7LBE3
F6XVZ6	F1MXW8	D3ZA50	Q8VCG9	Q9BRA2
J9NYU7	F1MLK9	G3V6K6	Q8R5L1	O95379
J9P3P5	Q02379	D3ZYM3	Q8BHE8	Q8TEY5
E2RJ10	Q58DN7	D3ZXU4	A0A0R4J097	Q03393
E2RNV4	Q32LK2	G3V7Q3	A2AE94	A6NK44
J9P6J9	Q3T0K8	A0A096MKG0	O35678	Q9Y586
H9GWE0	F1MPM0	A0A0G2JSP4	Q2YDW7	E1B2J3
J9NWZ9	P10123	Q9Z1A6	B2RXA1	Q13562
J9NSQ0	E1B9W0	Q9Z2Y1	Q9DAM3	Q9NQT6
E2QXK2	Q08DX7	D3ZQH5	G3X9Z7	Q14651
F1PKB4	F1N7A7	G3V9I2	Q9D992	Q9Y680
F1PCG1	F1MJW8	Q711G3	Q91YY2	O15547
F1PI93	E1BE68	Q6QLN3	G3X8Y3	Q53GB0
F1PCF9	F1N2G1	G3V8F9	Q9JKV5	Q14147
F1Q1J6	F1N0E5	P61078	O70126	O95677
F1Q292	E1BM26	B0BNK1	P35822	Q13308
F1PCR1	P46411	M0R6T8	Q3TG86	Q8IZ63
E2RLC7	F1N3C4	Q8VIB2	E9QPQ6	Q86W25
E2RM68	A6QR16	A0A0G2K8G0	Q60749	O43827
E2RJ29	E1BD86	Q9JJH5	Q8BKX6	P08567
F1PYL2	F1MJB1	Q66HG7	Q8K485	Q5SXH7
F6XEN7	E1BMP1	Q63075	I7GPR1	O94812
F1PU44	E1BEI2	Q6MG75	Q9JMG9	Q969V6
F1PM80	Q9XS47	F1MAG7	Q6VYH9	Q5T8I3
E2R9C3	F1MVS4	D3ZCX1	Q6X6Z7	Q86Y25
F1P7Q3	Q148K4	Q3MID5	Q920L5	Q9BPU5
J9P2N5	F1MJC2	G3V8J4	Q9CTG6	Q14721
E2R823	F1MSG8	A0A0G2JX95	Q3U186	Q9Y4B3
J9NW30	E1BB75	F1M2K4	Q64318	Q96BD5
E2RAG3	E1B704	Q5BJT1	Q8K2J4	Q70JA7
J9NZE3	E1BC01	Q66H52	Q9D2U0	A6NEW6
E2RC15	F1N4N1	F1LYZ8	Q8K1C0	Q9NS61
E2QZ18	F1MEL5	D3ZL83	O35425	Q6MZM0
E2QXN8	E1B9T2	B5DF60	Q3UTJ2	P28562
J9P5K5	A2VDT8	F1M3E4	Z4YKJ7	O95447
J9P800	Q7PCJ8	Q6AYQ1	Q8BL80	Q9BXH1
F1P6B7	P14568	A0A0G2JX94	Q8VI75	P0CG13
F6Y241	E1BJK1	Q4V8I9	Q8BGT5	P43365
E2RN03	F6QYV9	A0A0G2JXG5	Q9WVG6	P50222
J9NUH9	F1MFA2	D4A1Z8	Q60973	Q8NB25
E2R5H1	F1MFC6	Q5RKI5	Q99JP0	Q9UIC8
F6XGL4	E1BCE7	A0A0G2K6D5	Q8K2H6	P43005
F1P8T8	F1MTM5	O70467	Z4YLI8	Q08117
P06596	F1N0S8	Q4G091	Q148Q7	P49189
F1PZV0	G3N1T3	Q9Z0N9	O70165	Q8IWT3
J9P284	A6QNT3	Q7TP24	Q05CR7	Q9NTM9
E2RIP4	F1MXS3	P42930	Q6NWW9	Q9BV23
F1P976	Q9GMA3	G3V8A9	P54754	Q8IW92
J9NT42	Q17QF2	D3ZNK1	Q3UN04	Q7Z7E8
J9JHL2	P22571	D3ZL04	P82349	A6NDV4
E2R0I8	F1MDL2	Q91Y80	Q80ZK9	Q8TAE7
E2RTD6	F1MYY8	Q6DGG4	Q9EQC5	Q9BRP1
F1Q038	Q0II83	G3V8R2	Q8VDG5	Q9HAV2
E2RD79	Q04752	F1M589	Q9ERI5	Q9NRG1
E2QRZ7	Q3ZCA7	B4F7F1	Q8VCM8	Q9H228
J9P423	Q3ZC95	F1M446	P42128	Q07283
F1PUP7	Q3B7L9	Q9JIH7	P61963	Q9P0K8
F1PS69	G3MZE2	D3ZSW3	P42208	Q9NRX4
F1PDN4	F1N1A2	A4GW50	O09100	Q16832
J9P649	F1N180	Q9QX71	Q9EPK8	Q6PIF6
F6Y2K7	E1BB97	A0A0G2JXZ3	Q8CHP5	Q4G0N8
F6XGZ6	Q6XZP8	P62716	A2A9M4	Q8WTR2
F1Q1H3	Q58DN4	Q60587	Q9CZ13	P37275
J9NZ82	A4FUZ1	Q5XJW2	Q9D023	P40306
E2RJA9	F1MDI7	Q5XIC3	Q8CGP5	P51841
E2RHZ9	A7Z064	Q9QXY8	P15375	P06703
E2R516	Q3SZD1	Q71UF4	Q3TAQ9	P11802
J9NY13	P18341	D3ZYF7	O08601	Q5T4W7
F1PHP1	E1BN70	B5DF71	F8VQH0	Q8TAB3
E2RSI0	Q2KJI7	Q63635	Q9Z1F9	Q86YT6
F1Q3V9	A8YXY8	D4A4W6	P84228	Q13123
J9NT64	A5D9D3	F7F163	Q56A07	Q7Z5K2
E2RE84	Q0VBY4	D4A4K4	P07607	O95363
E2QZR1	E1BG18	P63149	Q5Y5T5	Q8NB15
F1PH17	G3X6D5	F1LRH2	Q9D0M3	P23528
E2QS67	Q95123	Q75N33	Q91WA9	Q8NBL1
E2R0A6	A1L521	A0A0G2JSU9	Q60930	Q9H444
E2QXL7	A0A140T880	A0A0G2K0T5	G3X924	P19021
E2R0V9	E1B8C2	F1M6U0	Q5NCQ5	O94776
E2QYM7	F1MFT3	Q00960	Q7TN79	P01037
F6UU59	P05131	Q7TPK4	Q8CHW4	Q8N8J6
E2RH95	E1BF75	F1M443	Q562D6	O00767
E2RN96	Q0VD34	D3ZBW5	A2AB59	Q96E93
J9P6D8	Q17QZ4	Q2PS20	F8VPR1	Q99935
E2R8R1	P82670	M0RAJ5	Q8C669	Q8WXX5
J9P632	Q0VD41	P32198	A0A1D5RMH4	Q96HS1
J9P1X3	A7MBC5	F1LM33	P57780	Q9Y233
J9P5P2	Q32KL2	D4ACD2	Q9Z0G2	Q16143
F1PGS5	F1MZB0	M0R5T4	E9QL43	Q9UPQ3
E2QWM9	K7DXW6	F1LNG5	Q8BJW6	Q8WXF0
E2R3J4	F1MM77	F7FKH2	Q9R0C0	P49915
F1PGR0	F1MC36	Q3KRD5	P15307	Q99543
E2R8M4	G3N2F7	P19633	A1Y9I9	Q9Y2C4
F1PIZ0	E1BPC1	D4A7K6	Q9Z1Z0	Q9UL46
E2RQ50	P00366	F1LTT7	A0A1Y7VLT9	Q8IUB3
F1PN49	A7MBG4	F1M155	Q3TCH7	P68133
E2RLR6	G5E5H9	Q5PPF5	G3UXC7	Q8NI60
E2RRA9	F6R993	B1WC83	Q6PAL8	Q9NPP4
F6UNR5	A4FV32	Q63053	Q8C4J0	P48357
J9P969	Q3B7N2	F1MAD9	Q9JIF0	Q12955
E2RDW3	Q0VC92	A0A0G2K9U6	P47740	Q9Y2F5
Q1W2J9	E1BJE1	E9PT22	P63328	P60411
F1PRD2	G3N176	D4A770	P23611	O95057
E2R879	G3MXF2	D3ZK26	Q0VBL1	O43301
F1PQ73	F1MER9	Q4V8F5	P07214	P33552
E2R8C0	Q29RZ0	A0A0G2K3H2	P31725	Q8NBN7
E2RS11	A6H7H3	M0R7D1	Q91VK1	Q9UKU0
F1PJ50	Q3T040	D4A9V4	P63163	P51610
F1PWE5	Q08DY2	B2RYP6	Q9D300	Q7Z6J8
F1PKV9	Q52QI2	P62982	Q3UGZ9	Q5TBC7
F1P6U7	P03929	Q4V8C5	Q80UE6	O75165
J9P2Q8	F1MZ05	B5DEI7	Q9QZ23	Q8N6M9
Q9BDQ4	F1MS90	Q63083	Q91XS1	Q9HC56
E2RQC3	E1BM10	Q8VI04	Q6P3Z3	P78385
E2RKU0	E1BEZ4	D3ZSZ3	Q641K5	Q9NRF8
E2RAE2	Q2TA10	P61459	Q8C9D4	P04049
J9P9X5	F1MJ29	P04055	P24472	Q8N1B3
J9P2H2	P32871	Q9JHK1	E9Q7G0	Q9BU23
E2RL43	A6QR21	D4AAU4	Q80WJ7	P21127
F1PX20	F1MYF5	Q68G41	Q0VAY3	Q6PJT7
F1PLF6	Q2KIQ0	P07896	P70195	Q14CZ7
F6UQM4	Q3SYS6	A0A0G2K5P9	Q9Z2J0	Q96HN2
F1PHZ3	E1BFE8	D3ZAG3	Q91ZV3	Q96E29
E2RQW2	G3MXV0	Q5BJU0	Q921J4	Q9UKL6
F1PYG4	Q1JQB6	P11662	Q8R104	Q9Y5P6
P19090	A6H775	D3ZSS5	A2ARK0	Q9H0M4
F1PH18	Q2HJ88	F1LS76	P49919	P54821
E2R054	E1BH39	Q5XIB1	Q6IRU7	Q9P0J0
E2RRA4	Q17QR4	D4A5Q1	Q80TE4	Q96RE7
J9PB45	E1BMQ6	D3ZU63	Q9CR21	Q96KC9
E2RB06	Q2YDE3	Q6IFV3	O70481	Q9NZI5
E2RI68	Q3SZC2	Q5FVI6	Q99PI4	P63220
J9P5J4	Q17QL1	G3V8V8	P51859	Q86UR1
E2R4P0	E1BNC2	A0A0H2UI02	P83510	Q495B1
J9NVW3	Q3ZC34	G3V6B8	P35374	F8WC89
F6Y057	F6R1Y7	Q3KRE6	P41136	Q15363
F1PDM3	Q2TBS9	D4A244	Q7M757	P29376
E2RJ94	E1BP20	A0A0H2UHC8	Q3U1J1	O60296
E2RCV3	F1ML03	E9PSJ1	Q09PK2	Q7Z3C6
J9NS36	A6QM03	P0C8N6	Q6PFE3	O60667
E2R571	E1BNL7	Q5M862	P97449	Q9BYQ2
F1PFK1	G3N0Y3	G3V6C0	Q14CH7	Q9NY26
E2R745	F1MCI9	G3V8R7	H3BL46	Q9NZV6
F1PFB5	G3N1Q8	A0A0G2KAI9	P49710	Q96EL2
E2RSA1	P08904	A0A0G2K3Y6	P56386	P06133
E2QVK3	F1MEQ1	D3ZBM0	Q06186	Q8IYB4
E2QUS6	Q24K04	G3V633	P97371	O60762
E2RJS3	E1BDQ4	D3ZII7	Q8VI47	Q9NVC3
E2RE50	F1MQD7	P70596	Q8CI96	Q86TE4
E2QY94	E1B9M8	Q9JJ05	Q9DD06	P62919
F1PFK4	F1N0T5	Q9JLZ1	Q8K4L3	P11586
E2RTH9	F1MQV8	D4A6I7	Q80VK6	Q9NVL1
J9P6A5	E1B9T1	D3ZT37	Q99PS0	Q8WYC9
F1PHA7	Q0VC18	D3ZC08	P28704	Q5VX52
E2RP99	O02853	O35055	Q9QXA5	Q9H3S5
E2RQ57	F1MQ59	B2RYW3	Q9QYL7	Q13889
J9JHD4	F1MH20	Q5D006	P42669	P11388
E2RID1	Q5E9L5	D4A2J9	P25446	Q9Y2I6
F1PGG9	Q08DL9	B2RZ44	P24270	Q76B58
J9JHV7	F6QLA1	G3V6D7	Q9R1A9	Q9NZE8
E2RTL4	E1BDQ8	P30835	Q9JJZ2	Q68CZ2
E2R8W3	Q5E9N0	A0A0G2K0W5	P07091	Q9H4M9
F1PFU3	F1MJY6	Q0ZFS6	G3X975	Q13576
J9P5E3	P61223	Q4KM84	Q9DBX1	Q96PV7
E2RFU8	Q08DS5	Q3T1H2	V9GWZ4	O75663
E2R5Q8	A6QQE4	D3ZDC7	Q5SUD9	Q8NFG4
F1PC21	Q29RM2	D3ZJU0	Q6PHZ2	Q8WYF6
E2RCG3	A6QLN5	Q5XI07	Q8VCF0	Q8N8V4
E2RDL8	F1MWN1	M0RCX2	P52431	Q8N1G4
F1Q3J6	Q32PJ8	O35796	P63166	Q5H9F3
E2R5V4	Q02373	Q5BJQ0	Q6PJN8	P57053
J9NWY4	Q29S11	A0A0G2K278	Q61555	Q9BRS2
F1PNN8	P48617	Q4KM32	P58006	O15014
F1Q1P7	F1N3H1	B1H282	Q9QZE5	P25090
E2QXF2	Q3SZI5	Q6AXV0	Q3U213	P70280
J9P3Q4	F1N6M1	G3V7G2	A0A0A0MQB3	Q8N228
E2QXZ6	Q148L7	A0A0G2QC19	Q9QYA2	Q9BYV8
F1PW65	A2VEA3	A0A0G2K4P8	Q9CPP6	Q7Z3Y7
E2RNV6	A0JNH7	D3ZQQ2	Q60996	Q9BY41
E2QZ99	Q2KIQ7	D3ZJM7	P20065	Q8IY42
J9PAD8	G3X7G4	A0A140TAI1	Q9QUI0	P60953
E2RRP9	F1N0J7	Q6AXY9	Q9Z160	Q9Y6K8
E2RBJ5	E1BJS8	Q5RK23	A2A761	Q5SXM8
F1PFM4	A4IFC9	D0IN10	Q80XJ2	Q14774
F1P966	F1MK77	Q7TP44	Q9QYJ7	Q99807
F1PZG7	F1N725	F1LTW9	Q8BWL5	A6NDB9
J9P922	Q2KJ97	Q5XID1	Q9CZT5	Q13790
E2RBL9	G3N1V5	P37285	G3UZB5	Q96DC9
F1PH91	F1MIK7	A0A0G2K139	Q0HA38	Q8IVV7
E2RH57	F1ME65	Q9Z340	Q99K46	Q9HCD6
E2R1J6	F1MDU7	P40329	Q9Z0Z7	Q13488
E2RN80	Q2KHT6	F1M9C3	Q3UA06	P19367
F1PHV9	F1N1R0	A0A0G2K543	A6H8H5	Q8TBA6
J9P939	F1N311	D3ZUT8	P97346	Q8WW36
J9PBJ6	E1B9V5	Q7M0E3	M0QWH9	Q92618
J9P2V8	E1BIZ7	Q71B06	Q9ERH4	Q96DN0
E2QYD8	Q0V7N6	Q5XI70	P12813	P55060
F1PN63	Q2YDF1	Q5PPL2	Q8K094	P08473
E2R7M4	F1N6B7	F8WG91	Q8K297	Q6P2D8
J9P9N8	Q3ZBY4	D3ZCP9	Q9ER72	P49917
F1Q1W2	E1BMH4	Q3ZB99	A2AWT5	P42680
F1PK81	F1MW91	P52164	Q61457	Q8WXE1
J9NTQ0	Q3MHZ4	Q7M733	Q9DCG9	Q93015
E2RDU1	P00432	G3V629	G5E870	Q8WYP5
J9P0Q0	Q2KI84	B1H2A2	Q3TCU5	Q9H6H4
J9P3K5	A6QP90	D4A038	O35972	Q9NR80
J9NUK2	A6H769	D3ZCJ3	Q5QNQ9	Q8IZN3
E2RLZ7	Q17Q88	P53790	Q9D2K4	Q71RA7
F1PHY8	Q3SZH7	P50569	Q8K1C9	Q8WWA0
F1PGW5	F1MGN0	D3ZVI2	O89029	Q14108
E2QUY7	F1MLV1	P21272	A0A1W2P6S1	Q15637
A0A0A0MPD0	F1MVW5	B1H269	Q8C0C7	Q8IZT9
J9P1V7	F1MJ84	D3ZWR1	Q9D0L7	Q6R6M4
E2RPF2	Q27971	F1M1L9	Q8BGK0	Q8N4T4
E2RFD8	F1MBR9	Q07731	Q62019	P56555
F6XRD6	F1MUZ8	D4AAM1	Q8BZI0	Q8WYC6
E2RE91	Q58DB6	A0A0G2JZQ1	Q8BVN7	P54289
E2R5S2	F1MTS8	Q62651	Q60787	P49760
J9P0Q6	E1B9U0	O08701	Q9CYQ7	Q9UL25
F1PYR8	F1N3K6	P20760	P33587	Q9UQ49
F1Q0L3	G5E6S7	P63025	P70326	Q8N0Z6
F1PDD1	F1N1F8	A0A0A0MY12	A0A1B0GS59	Q9ULW3
F1PTR7	Q08DG9	Q8K597	Q8K0S2	Q5TZF3
E2RH65	E1BCN1	Q642B9	O09005	P15169
E2RB31	F1N632	F1LR39	Q9CZD3	O60927
J9NXK6	F1MUU8	Q9WU21	P0C1P0	Q96QZ0
F1PCB7	Q3T114	D4A6R1	Q8BSL7	Q5T2E6
Q2KM13	A7MB80	M0R7V5	P38532	O43379
E2RCF6	Q0VCN4	Q9JLG9	Q8C436	P30408
F1PTV7	Q2KIW4	P15943	Q8BPH1	Q8J025
F6XTU7	E1BFL2	Q7TST9	O35495	Q96S19
E2RC73	Q08DJ4	P15823	Q11127	O60844
H9GWD0	F1N1B0	Q6P7C4	Q9DBK7	Q6P2H3
E2RIM6	A0A140T851	Q6AY14	Q9D9V3	Q15392
E2RR26	Q3SYZ2	D3ZYL2	Q8C845	Q92791
E2RP04	F1MER7	Q6EV70	O88796	P08195
E2RNR3	P48818	P02688	G5E829	B0I1T2
J9NWZ7	P08165	F1LU58	P02104	Q6PJ05
E2RD37	Q9GMB8	G3V8A5	Q9EQ61	Q9P1Z9
F1PI14	E1BI86	M0RA85	A0A0G2JEP4	Q7Z5L7
E2RNZ9	F1MEG3	F1LTZ2	Q9NYQ2	Q9P275
E2RHJ6	F1MXC3	G3V7W1	Q9CR60	Q15120
F1PJS3	F1MBN7	F1LQZ4	Q9WU28	P49674
F1PDR0	F1MKS1	D4A7C0	Q9JLT2	Q9Y530
J9P268	Q08DS9	G3V9L6	E9QLN8	Q9NQ79
F1PEH9	F1MRS1	D4AEC0	D6RHB1	Q86UW7
F1P7E1	Q5E9B6	D4A1D3	Q9WVF7	Q9P265
E2R501	A7YY73	A0A0G2K089	A2AWT3	Q92736
J9P5S0	E1BDG6	Q03062	Q8BG34	Q6I9S2
E2QY99	F1N3I6	A0A0G2JVE8	O35841	O00555
E2RR68	E1BA41	Q6GQY2	Q3UMW7	Q9UHH9
E2R1A3	P07470	P60203	Q8BGR8	P01178
J9NT04	F1MZS9	B0BNK2	Q6NXK7	Q03923
E2R8E9	Q08DF6	F7EYF1	Q9QY23	Q5VV43
F1PFZ7	A4FV47	A0A0G2JSQ5	G5E898	Q99471
F1PPA1	Q32PG1	Q5FVJ0	O89079	Q5U5X0
E2R9S7	Q1RMT6	D4ABK7	P27048	O00429
F1P809	Q3SZM9	G3V766	Q08122	Q8N268
E2QVF9	F1N3C8	Q32PX2	Q8BK67	B5MD87
J9P4J6	Q1LZB2	F1LNV0	Q810V0	Q14676
E2RBG1	E1BEN3	E9PU03	Q9Z2F2	O94830
F1PML0	E1BGF3	F1LMW7	Q99NA9	Q16718
E2RD99	A6QLY4	P56574	O70475	Q15437
E2R7X4	F6PXH4	D4A784	Q9D8F3	Q96D70
J9P250	G5E639	D3ZQ48	A0A286YD96	Q96G27
F1PKY9	Q3MHH2	D3ZZ54	Q5RL20	O15281
F1PHV6	F1MQX0	G3V9P8	Q9CRD4	P51582
J9P519	Q2T9R7	F1LWJ6	A0A0R4J0R3	Q96NN9
F1PIK0	Q3SZH5	Q5FVL0	P97457	Q16621
J9P5C3	F1MH69	Q63262	Q9DCD8	Q7Z5U6
F1PMV2	P33097	A0A0G2K4D9	G3UYL9	Q93096
E2R289	F1MZW1	M0R4V3	Q3TXU5	Q15004
E2RK57	A7MB77	Q68FS3	O88566	Q9H306
E2QU68	F1MW08	G3V7X8	A1A546	Q494V2
F1Q419	F1N0Q3	D3ZAX5	Q91YS8	Q9NW82
F1Q219	F1MSG6	F1LSL2	O88532	Q9BXG8
E2RHU6	E1BE87	D4A4R8	Q9CYC5	O95810
E2RG73	F1MYG8	D4A554	Q68FD7	Q9NP78
E2RLY8	F1N2P4	D4A823	G3UVV3	E7EU14
F1PLY9	E1BDQ2	F1M7U7	O89017	Q8TDX9
J9NZJ8	E1BBD0	Q63054	F6X0V1	Q7Z6J2
J9P6B0	E1BMF6	D3ZA02	G3XA34	Q9HBR0
E2REW8	Q2KJ60	Q5U3Z6	Q3UMC0	P31629
Q6DYE7	Q0II78	G3V6W5	B8JJ61	Q9Y320
F1PI20	A4IFE6	Q6IRE4	P84091	P11229
E2RIU8	F1MC93	M0R752	Q8BHD4	Q9H8N7
F1Q0X3	Q3T0R7	Q5PQL9	Q9WVM3	Q8TCV5
J9P7K3	Q08DF4	G3V6W7	Q9Z2I8	Q15907
F1PYW2	F1MSL9	Q6AYF6	A0A0J9YTV4	Q8IXJ6
J9P7R7	A4FV57	A0A0G2JVI5	Q80XC3	Q02930
J9JHU8	F1MG21	Q63616	Q9D1M7	P10600
F1P9A9	F1MI95	D3ZZY0	Q922Y0	Q9P013
E2QVZ6	Q2YDG3	Q5XID7	G3XA30	Q96SE0
J9NXX1	F1MSG2	D3ZT64	O55103	Q8IY26
J9P1J3	Q32KM0	Q9EPB1	G3UWV6	O60759
E2R3Y0	Q2NL34	A0A0G2QC34	Q6PB44	Q7Z3J2
F1P7W7	F1MRT5	F7FQD8	Q8R205	O60568
F1P9T8	F1MVI1	D3ZTY9	E9Q634	Q9UHL4
E2RBF2	G3MW14	B1WC02	P09411	P22061
P61010	A4FV50	D4A709	Q8CHG7	Q96MF2
J9NW67	Q3MHG1	G3V9D3	Q3UMR5	Q96GK7
F1PDR6	E1BMA6	F1LS74	Q8BYZ7	Q96EQ8
E2RHQ0	G8JKV7	D4A2B0	Q5SUH6	Q8IZD4
E2RKK7	E1B8Z4	Q4G067	P41969	Q8IY57
J9NV25	F1N773	F1LV54	Q9WUB3	Q9UNK9
E2QSJ6	Q2KJE7	D4A8L4	P61406	Q9H2F9
F6XXI6	G3MWL9	A0A0G2K3F1	Q99P91	P00813
E2RBJ1	F1MS30	F1LMK0	Q9CZW4	O95573
E2R595	Q58DD3	D3ZXA5	Q8BHK2	Q96QD9
F1PZ09	F1MXE2	Q5RKH2	Q9QYI4	P10124
F1PKP7	E1BDF7	D4A2B7	Q9ERA0	O15372
J9P6R4	G3X755	B0K026	Q91X76	P09237
E2R0P1	F1MZ30	D3ZBL2	Q9CPZ8	Q5T440
F1PUR7	A4FUE6	B0BNB5	Q80VR2	Q5T200
E2RQY5	A1A4I9	P37361	Q64448	O60869
E2QXH3	F1MSU1	B2GUX2	Q8R3K3	Q6ICG6
F1PZ49	F1N1Z0	D3ZEI3	P10077	P26572
E2R9I3	F1MED8	Q6MG84	O70326	P05106
F1Q454	F1MHU2	Q4V8L0	Q80YV4	Q9Y2C9
F1PY45	G3N0H2	D4A4P6	Q8CA04	Q6H3X3
F1PLK9	Q56K14	P54645	Q9QXS6	Q16543
E2QYC5	A4FUY5	G3V6P1	Q6P9Z1	Q8N122
E2R4Q0	G3X7M1	Q9EQG6	Q8BW94	Q6ZMP0
E2R5K8	F1MZW8	D3ZA93	A0A0G2JH17	P22692
F1PGX5	Q2KJ57	F1LRH1	P59764	Q86UD0
E2R4L5	F1N6V7	Q5XIX4	P17012	Q6NZ36
F6UY64	F1MSA1	G3V712	Q6P4T1	Q12772
E2RSY5	Q32PA8	Q6PEC5	F8VQ45	P0CG12
F1PQM2	F1MPG6	Q5U2U8	Q4VA93	Q8NFW8
E2QXA6	F1ML06	Q6IFV1	Q8C3Q9	P42285
F1P815	Q0VC14	D3ZRH6	A0A0R4J104	Q8NB59
F1PUR2	F1N0Y9	A0A096MKC0	Q9CQM9	P62877
F1PQW5	E1BGA1	Q6AY72	O55003	Q86XS8
E2RCX4	Q58DW3	F1LS42	P51943	P19012
E2RFR5	Q3ZBD3	D4A5S0	P31310	Q15365
E2RJY0	F1MS32	O88917	Q6PEE3	Q8NEX5
E2RJG8	Q2T9V8	F1LQC5	Q9EPA7	P0C7P0
F6V0G0	G3X684	A0A0G2K3R1	Q9JJ48	Q9HAA0
F1PRU6	F1MF34	B5DEK0	Q8BRF7	P54578
E2R3Z9	F1N734	P09118	Q7TQ62	Q9UK99
F1PID8	Q3T003	G3V7Q7	P16546	Q92949
E2RL11	F1MME0	D3ZLP9	Q3ULJ3	Q8ND30
F1PPT7	G8JKV6	F1LR25	Q9ERD7	Q9BQ49
E2RKN5	E1BPD7	P53812	Q8C5Q4	A2RU49
F6X511	G3N370	D3ZZC5	Q91XV3	Q13423
F1PMM2	A6H7E5	Q4G073	Q9JMB8	Q8N609
J9P6C1	Q75V95	F1LNH3	G5E811	P50150
E2R269	E1BJZ5	P39950	P97360	P05026
F1PEJ3	E1BF32	Q80XX9	Q9JHR9	Q9UBT3
E2RE66	F1N126	D4ABQ3	P57757	Q2NL68
E2RK17	F1MM15	D4AAI5	P49222	O15178
F1PR09	A6H7A5	D3ZIH3	Q7TNR6	Q6P9F5
A4GT58	Q2T9P4	G3V836	Q9CQR6	P62979
E2RN56	F1MHW1	P86173	Q8BKX1	Q5XG85
J9NSV5	A5D7U9	G3V8W1	Q9CRB2	O43299
E2RKH5	F1N3L4	B2RYB0	Q61354	P07332
E2RHP7	G5E5A7	D3Z9P1	Q8QZX0	O14775
F1PIW8	E1BPH8	D4A871	Q8CGS6	A1L4L8
F1PZN2	Q5E9P3	A0A0H2UHI6	Q9QZ08	B4DRS2
Q9GKP2	E1BNW1	D3ZE10	P57791	P25067
E2RP96	F1MSF3	A0A0G2K0M1	Q9D1H8	Q6FI77
Q2KNA0	P22439	Q5FVP2	P43406	Q86W67
F1P9U0	F1MJZ7	D3ZBH0	P15533	Q9NVM6
E2RSU7	E1BLB6	P28480	Q8BUN5	Q8N3R9
F1PEX4	F1N7Q1	D4AA42	P26048	A0A0S2Z3R2
F1PJF3	E1BL29	Q64LC9	P48432	Q96LD4
F1PY34	Q2HJF3	Q9EPC6	Q7TPM3	Q9UNZ5
E2QWM1	F1MTT6	O88778	E9Q2T3	P60763
F1PI47	F1N4Y6	M0R551	O08914	Q8IWY4
E2RE72	G3N0P5	A0A0G2JYU6	Q9DBS5	P08514
F1Q0F0	E1BFR1	A0A0G2K2F4	V9GX48	Q02928
E2RLZ6	P04651	D3ZZE0	Q8R0F5	O75344
F1PFU5	E1B731	E9PTA4	A0A0R4J055	P07327
E2RMY0	G1K1X0	Q5U2Q5	Q3TJD7	P35637
E2RIH3	F1MFQ9	M0R8T2	Q61575	A0A0S2Z4Y8
F1PLV2	F1MEI8	Q62636	P27671	Q9UNX4
F1PHH9	F1N329	B2RZ99	Q5XLR9	E9PAL0
F6X958	Q0P5F4	D4A3X7	P15532	Q9UJD0
E2QUE7	F1MUK8	Q5XIP0	Q9DAW9	O95861
F1PT78	E1BJ21	Q499P2	B1AST8	Q8WXS4
E2RSK6	A5D7J3	Q9Z2X5	B2RUR8	O43181
F1Q1X9	P45879	D3ZD73	P56480	Q9NS73
J9NYH3	Q2LGB7	Q5BJN9	P21661	Q9UHC9
F1P9C6	F1N331	D3Z937	P28028	P53365
E2RCH7	E1BPW2	D3ZQJ3	P25233	Q99742
E2RT79	F1MAV4	P63170	Q9D483	Q9NRC8
F1Q268	P01096	M0RBS3	Q9QYY9	O94851
J9P874	F1MJP6	Q8R491	O35681	Q8N4L2
F6UZG3	E1B9R3	Q498C9	F8VQ54	Q13426
F6XAQ7	Q5EA13	F1LNH2	Q3UM18	Q96HE8
F1PT17	E1BJP2	Q5FVS4	P43352	P27037
E2RPD0	F1MBJ5	Q5I0L4	Q9JHK5	Q6P9B9
L7N052	F1MCI4	D4A8X8	A0A0R4J0P7	Q99748
E2RBX9	Q7YRD0	A0A0G2K2H4	Q8R4X3	Q7L3V2
F6XCZ4	A6H797	Q498M5	Q9D0C1	Q8IWE5
E2R018	Q2KJ41	Q561R0	Q9CQP3	Q9BX59
F1PAX3	E1B7U4	P22831	Q3V079	P14060
J9P3I9	F1N340	A0A1B0GWQ8	P47934	Q9NPC8
F6V1H7	F1N402	D4A974	P61793	Q9NQE7
E2QV12	F1MQN0	D3ZSR7	P18052	O75461
E2RF17	F1ME83	M0RAK0	Q07105	Q9NP50
F1PUK7	F1ML22	A0A0G2JTM3	Q9CXF7	Q9BZC7
F1PA33	G3N1V1	D4A257	Q8C4S8	P61983
F1Q1J8	G3N1L4	F1LLX7	A0A1L1SQ51	Q9UQB8
E2RH41	G3X7E1	D4A4T9	P43241	P29317
J9NTV9	E1BK67	F1LNU2	Q3TRM4	Q5HYI8
J9NTQ6	G3X6C8	D4A7G5	Q8BGN8	Q96A61
E2QYF3	F1MDL4	D4A7R3	Q3UZ39	Q5KU26
F1PZL7	F1N049	A0A0G2K9Y9	Q9JKR6	A1L453
