a40 b40 c40 d40 e40 f40 g40 h40 
a436 a687 b436 c436 d436 e633 f633 
a331 b331 c331 d331 e331 f331 g331 h331 
a177 b177 c177 d177 f986 g859 h850 
a308 b308 c308 d308 e308 f308 g308 h308 
a426 b426 c426 d426 f947 f952 g719 g842 g874 g991 h821 
a948 b786 e301 e728 e829 f301 g301 h301 
a585 b585 c585 d585 e436 f436 g436 h436 
a463 b536 c463 c656 c723 c799 c815 d463 d656 d723 d799 g612 g881 h612 h803 
a160 b160 c160 d160 e160 f160 g160 h160 
a495 a813 b495 c495 c650 c664 d495 d650 e606 f606 f912 g624 g726 g864 g949 h624 h726 
a299 b299 c299 d299 e299 f299 g299 h299 
b899 d652 e465 f465 g465 g696 h465 
a468 a700 a959 b468 b700 c468 d468 
a616 b616 c884 e464 e480 e642 f464 f480 f642 g464 g480 h464 h480 
e828 e880 e887 e935 f508 g508 h508 
a699 a714 b699 b714 b989 c753 c835 c893 d753 d903 g771 h771 
a848 b515 b856 b959 c515 c634 d515 d634 e511 e976 f511 g511 h511 
a398 b398 c398 d398 f905 
a302 b302 c302 d302 d801 e302 f302 g302 h302 
a587 a629 b587 b629 b857 c587 c966 d587 d601 d816 d853 g732 h732 
a224 b224 c224 d224 e929 
a726 b726 c677 d677 g625 h625 h783 
a489 a622 b489 b622 b880 b891 c489 c740 d489 d740 d794 d902 
a431 b431 c431 d431 e806 e833 
a772 a841 a893 b504 b679 b772 b881 e479 e942 g428 g479 h428 h467 h479 h856 
a364 b364 c364 d364 e364 f364 f506 g364 h364 
e504 f813 g839 h845 h953 
a582 b582 b997 c582 d582 e843 e857 e881 e961 e975 f899 
a462 a476 b462 b476 b661 b686 c462 
a490 a710 b490 b710 c484 d484 f1000 
b928 e549 f549 g549 g652 g741 g908 h549 h652 h741 
c917 e531 f531 g531 h531 h685 h794 
e581 f581 g581 h581 
a900 c927 e527 e661 f527 f661 f811 g527 h527 
e548 e873 f548 g548 h548 
c412 d882 e481 e958 f888 g481 g797 h481 
b868 c625 c635 c686 d625 d635 
a589 b964 c589 c711 d589 d711 e553 e699 f553 g443 g553 h443 h553 
b837 b863 d930 e513 e587 f513 f587 f985 g587 h587 
a263 b263 c263 d263 d678 d905 e263 f263 g263 h263 
a545 b545 c545 d545 g861 
c776 d776 g644 g705 h644 h705 h829 h836 h853 h981 
a266 b266 c266 d266 e266 f266 g266 h266 
a93 b93 b643 b787 f715 h904 
a126 b126 c126 d126 e126 f126 g126 h126 
a149 b149 c149 d149 e149 f149 g149 h149 
a693 b603 b693 g921 
a498 a632 a665 b498 b632 b665 c498 d498 f838 f901 g692 g721 h692 h721 h867 h897 h961 
e402 f402 g402 g628 h402 h628 
a916 b961 c787 c855 c888 d549 e576 e705 f576 f705 g576 h576 h862 
c962 e584 e906 f584 g584 h584 
a964 c876 e563 f563 g563 h563 
a229 b229 c229 d229 e229 f229 g229 h229 
a152 b152 c152 d152 e152 f152 g152 h152 
a769 b822 b982 c878 d870 d901 e476 g476 h476 
a957 c674 d674 e418 f418 g878 h678 
e509 f723 h931 
e439 f439 
a439 b439 b841 c439 d439 
a60 b60 c60 d60 e565 e613 e616 e647 e702 e729 f565 f613 f616 f647 f702 f729 f756 f889 f891 f984 g565 h565 
b897 e469 f469 g469 g929 h469 
b894 e528 
a430 b430 c430 d430 g743 h743 
a434 b434 c434 d434 g809 
a405 a662 b405 c405 d405 e957 
a750 b750 b885 c290 d290 e290 f290 g290 h290 
b917 c800 d800 e458 e844 f458 g458 h458 
d945 e568 e807 f568 g568 h568 
e666 e673 e971 f666 h892 
a780 b780 d971 
a787 c93 d93 e93 e715 f93 g93 h93 
a808 e472 f472 f638 g472 g966 h472 
c794 c828 c949 e500 f500 g500 h500 
a475 b475 c505 c791 d952 e775 f775 g408 g570 g939 h967 
a979 b599 b915 c662 c724 c813 c886 c977 d594 d599 d662 d704 e608 e864 f608 f922 f976 g590 g670 h590 h670 h823 
e410 e486 e612 f410 f486 g486 g620 h486 h620 
a273 a872 b273 b902 c273 d273 f538 
a527 a708 b527 b708 c527 d527 f883 
a322 b322 c322 d322 e322 f322 g322 h322 
a522 a729 b522 b729 b847 b984 c522 d522 h822 
e561 e711 e764 f561 f711 f764 f894 f931 g561 g632 g787 h561 h632 h787 h977 
a520 b520 c520 c808 d520 
e499 e675 e964 e965 f499 f675 g499 g637 h499 h637 
a517 b517 c517 d517 e817 g616 h704 
g513 g834 h513 
a636 b636 c673 c834 c953 d673 d927 e737 e785 f737 f858 
c750 d750 e505 e533 e550 f505 f533 f550 f842 f961 g505 g533 g550 h505 h533 h550 
c490 c735 d490 d735 d829 d896 
d865 e921 f560 g560 g609 h560 
e679 e772 f679 f772 
b831 c786 c814 c939 d724 d837 d947 d983 e590 f853 g738 h738 h941 
e748 f748 
a877 b851 d872 e540 e688 f540 f688 g540 g817 h540 h852 
a38 b38 c38 d38 e38 f38 g38 h38 
a755 e999 f835 g687 g875 h687 
a664 a898 b664 e318 f318 g318 h318 
e506 f558 g506 g558 g956 h506 h634 
a592 a742 a918 a995 b592 b742 c592 c806 d825 d828 d924 d964 
a744 c993 e521 f521 f869 g521 h521 
a100 b100 c100 d100 e100 f100 g100 h100 
a290 a761 b290 b761 e430 f430 g430 h430 
a180 b180 c180 d180 e180 f180 g180 h180 
a676 b862 c869 e414 e677 f414 f677 g910 
d817 e658 e698 f658 f698 g897 
e55 e564 f564 g564 g826 h564 h871 
a926 c695 d695 e580 f580 g580 h580 
b999 c657 d657 g761 h761 h879 h991 
a911 c670 e559 f559 g559 g971 h559 
b870 b977 e554 e692 f554 f692 g554 g872 h554 
a500 b500 c500 d500 d974 e578 f578 g578 h578 
c701 c812 d701 
f552 h872 
a540 b540 c540 d540 d845 g689 g955 g988 h762 h832 
a474 a857 b474 c474 d474 e907 f834 f913 g819 
b937 c872 e516 f516 g516 g718 g829 g919 h516 h718 
a799 a863 a904 c602 d602 e573 e615 f573 f615 g573 h573 
d863 d967 g414 g677 h414 h677 h932 
a473 a630 b473 c473 c766 c935 d473 
a542 b542 b606 c542 d542 e485 f485 g485 h485 
e640 f640 
a606 b744 c578 d578 g937 
a702 b702 
e861 f586 f738 f892 g610 h610 h820 h861 h949 
e653 e980 f653 g801 
b980 c637 c885 d637 e518 f518 g615 h723 h789 h881 h968 
a365 b365 c365 d365 e365 f365 g365 h365 
a776 b776 e471 f471 g471 g694 h471 
g704 h616 
a970 b660 b788 b819 c573 c666 d573 d666 
a657 b657 f833 
e769 f769 f963 g763 g980 h763 
e636 e742 f636 f742 f817 f861 
b922 c659 d659 e443 f443 g992 h617 
e678 f678 g653 h653 h795 
a427 b427 c427 c767 d427 e790 f790 h948 
a856 d809 e411 f411 g411 g862 h411 
e589 f589 g589 g803 h589 
a741 b741 b913 c558 c730 d558 d730 
a184 b184 c184 d184 e184 f184 g184 h184 
a423 a642 b642 f849 f973 h805 
a461 b461 c461 d461 d824 g848 
e723 e838 f509 g509 h509 
b872 c683 d597 
a510 b510 c510 d510 
a739 b918 e457 e923 e944 f457 g457 h457 
b836 d895 e487 f487 f904 f991 g542 h827 
e671 f671 
a621 b621 c829 d531 d848 d849 f824 
a698 b698 
a566 a730 b566 b730 b988 c566 d566 e859 
a595 b595 c496 c595 d496 d595 d850 d996 f936 g968 
a543 b543 c543 d543 
a509 a833 b509 b845 c509 c627 d509 d693 d991 
a845 a919 c646 c811 d646 
a640 b640 b799 b1000 e794 f794 
c739 d739 g729 h729 
c775 d775 e530 e569 f530 f569 f808 g530 g703 g778 h530 h569 h703 h778 
a690 b690 b869 c691 d691 
e571 f571 g571 g645 h571 h645 
a428 a571 a625 b428 b547 b625 b753 b762 b859 b895 b975 c859 d428 d547 d571 d977 h557 
d935 e409 f409 g409 h409 h924 
a578 a924 c792 c945 e448 f448 h448 
a590 b590 c590 d590 e421 f421 g421 h421 
e477 e566 f477 f566 g477 g566 g588 h477 h566 h588 
e858 g775 h775 
e646 f797 
a653 a767 a829 a962 a984 b653 b767 b833 b943 e525 f525 g525 h525 
e768 e827 e997 f768 f993 g665 g734 g795 g916 h665 h734 
e652 e760 e922 f652 f760 f807 f890 g679 h674 h679 
d859 e438 f438 f914 g820 g977 h951 
a727 b727 e945 f810 
a608 a976 b608 b889 
a815 c633 c714 d633 d714 
a706 b706 c857 d887 e442 f902 g970 h405 h496 h604 h719 h758 h849 h942 
a568 a806 b568 c568 d568 
a413 b413 c413 c733 d413 d733 
d878 g762 h689 
a403 a794 b403 c403 d403 f844 
e572 g647 g747 
a667 b667 d1000 f405 g622 g745 g808 g828 g844 g866 g940 g995 
a812 a902 c873 c910 d786 e522 f522 g522 g938 h522 
c722 d722 
a792 b792 c802 e865 f957 g631 g769 g962 h631 h769 h804 
a737 a886 b423 
b794 b912 b919 c632 d632 d949 e718 f718 g725 g813 g860 g901 h935 
a82 b82 b752 h903 
c619 c902 c974 d619 e496 f501 f831 h501 
a879 b929 b953 c539 d539 d969 d997 
a433 a816 a990 b433 c433 c636 d433 d636 g845 
a586 b586 c586 d586 e691 f691 
c612 c751 d668 d751 
a615 a910 a937 b615 c810 c972 c981 d805 e407 e933 f407 f850 f867 g407 h407 
a930 b425 e905 f872 g555 h555 
a601 a720 a978 b601 b720 b838 c572 d572 
d989 e754 f754 
c843 c858 g777 g904 h777 h857 
a627 b627 
a320 b320 c320 d320 e320 f320 g320 h320 
c992 e632 f632 g825 
c952 d925 e825 f880 g786 h786 
e889 e946 e949 f950 f967 g928 h489 
g717 h717 
c630 d630 
c777 c801 d741 d843 f924 
a678 b678 b930 c684 d684 e468 f468 g765 h468 
g727 h727 
c795 d795 
a563 b563 b979 c563 c854 d563 d821 d846 e484 f484 g484 h484 
c644 d644 e466 f466 g466 h466 
a835 a907 e793 f793 
a528 a821 a830 a887 a895 a938 a939 b528 c528 d528 
g512 h512 h724 
a659 b659 b850 
c631 c640 d640 
c690 c916 c985 d690 f988 
a624 b624 c715 c773 d715 d773 
c762 c862 d762 g891 
a989 c845 c861 f959 g667 h667 
c931 e639 f639 f707 
a923 b557 c660 d660 d688 
a871 b591 b952 c557 c591 c818 d591 
a638 a672 a958 b631 b638 b672 b769 b949 c821 c937 c942 c950 
e894 e981 f784 g752 g926 h752 h902 
e512 f512 
a773 b773 e762 f762 f972 
c700 d700 g641 g927 h641 
b934 b938 c847 g646 g979 h646 
d861 e854 e911 e914 f654 f720 g945 h912 h972 h995 
c680 d680 d948 e888 f940 f971 h841 
c653 d653 g618 h618 
a747 b530 b747 b821 c710 c764 d710 d764 
e667 f667 g942 
a734 a851 a880 b734 
e538 g273 
e660 f660 f982 g526 h526 h816 
e634 e876 f634 f787 g510 g994 h875 
a651 a854 a971 b651 b947 b987 d946 
a448 b448 c448 d448 e455 f455 g490 h490 
a681 a725 b681 
a618 b618 b633 b677 b705 c703 c783 c887 d703 d783 
e224 e866 f224 g224 h224 
a743 a901 b743 c838 
a682 a774 b682 b774 h716 
g714 h714 
a974 a975 a998 e917 g756 h756 h970 
a574 b574 c574 d574 
a389 b389 c389 d389 e389 f389 g389 h389 
b960 c742 d742 e596 e988 f596 
a798 b798 c623 d623 d670 
a771 a810 b771 c685 c737 d685 d737 g783 h811 
d959 g753 h753 
g784 h784 
e534 f534 
e725 e796 f725 f796 f816 
e558 g634 h558 
e712 f696 f712 
b645 b994 c553 d553 
a449 a464 b882 c647 c689 d689 e600 e635 f600 f635 g600 h600 h890 
e745 f996 g693 
a718 b718 
a846 a972 b957 c745 d745 d934 e902 f843 h855 
a417 a437 b503 b712 c817 d638 e622 f622 h797 
a647 a721 a884 b647 b969 d465 d588 d954 
e930 e994 g643 g764 h643 
e802 e860 f851 g603 h603 
a453 b453 c453 c759 c954 d453 d759 
a661 a686 a785 a840 a855 b785 b871 b923 c476 
c672 d672 g697 h697 h824 
d922 e519 f519 g519 h519 
a804 b778 e896 f881 
b735 c896 e714 f714 f874 g934 h910 
c639 d639 f806 
b967 g774 h774 h831 h1000 
c975 e601 e740 f801 g491 h654 h863 h984 
a497 a906 a931 a987 b497 c781 c840 d497 d781 e719 f719 
a466 b466 c466 d466 e819 g780 h780 
b725 c642 d642 
a933 c960 d867 d929 g707 h707 
a478 a654 a832 b478 c478 d478 g695 h695 h700 h929 
a482 b482 d482 
c930 g750 h750 h807 
e599 e710 e795 e892 f599 f710 f795 f809 g823 h524 h666 h676 h938 
a777 b777 d891 f841 
a666 a756 a825 a1000 b666 b756 
b878 b884 e730 e812 e900 f730 g822 g863 h978 
c699 c746 d699 d746 e977 f852 
e610 f610 f676 
b815 b826 b966 c871 
a697 b697 e992 
a716 b716 b958 b976 d831 d869 d884 
c738 c959 d994 e507 f507 f631 
g658 g712 h712 
b900 c967 d883 
a713 a849 b713 b721 d917 
e683 f683 
f941 g915 h619 h896 
d827 g664 g680 g800 h664 h680 h800 h914 
a401 b401 c401 d401 e264 f264 g264 h264 
a610 b610 b628 b696 c760 d760 d830 e543 f543 g543 h543 
a597 b597 c597 d683 
c897 d738 e604 f604 h818 
c984 g720 h720 
a838 e674 f674 g805 
a889 b683 b860 g776 h776 
f442 g688 h688 h725 
a754 b754 c679 c682 c698 c743 c901 d580 d679 d682 d698 d743 d815 
e800 e952 f700 f800 g621 g978 h621 h686 h937 
e852 f823 f930 f983 
a669 b669 
a790 b790 b926 d856 d885 d907 e776 f776 
a648 b578 
c769 c803 d769 
a646 b646 c881 d904 e454 e904 f454 f935 g454 h454 
c839 d942 f938 g911 h999 
d874 g635 g772 h635 h772 
a637 b637 c903 d813 e526 e598 f526 g767 g846 h767 
e623 e841 f623 
a446 b446 c446 d446 e498 f498 g498 h498 
c645 d645 
b649 b781 c774 c868 d774 e734 e821 f734 
a842 a946 b755 g912 h906 h946 h989 
d826 d908 e884 e950 f942 
a822 a881 g613 h613 
b896 c895 d966 f828 g415 g827 
c754 d754 d995 e755 f755 g856 g953 h928 h962 
e732 f614 
a55 b55 c55 d55 f55 g55 h55 
d767 f948 g601 h601 
a709 b746 b978 
e686 e908 f686 g802 
e551 f551 g551 h551 
a230 b230 c230 d230 e230 f230 g230 h230 
a419 b419 c419 d419 
a422 c422 d422 e648 e781 f648 g221 h221 
g781 g884 g907 h781 
g682 g896 g954 h682 
a411 b411 c411 d411 e912 f664 
a617 b617 b996 c832 f997 f999 
c790 d790 d822 
e808 g890 
a723 b723 c757 d757 e846 f934 
g701 h701 
a494 a745 a897 a935 a991 e927 g736 
f970 g708 g722 h611 
a644 b644 h944 
c708 d708 
a536 c536 d536 d866 
c771 c824 c964 c978 d771 
a564 b564 c564 d564 g760 h760 
c668 d612 d912 e541 f541 g541 h541 
a249 b249 b827 c249 d249 e249 f249 g249 h249 
c842 e663 e877 f663 
e611 e693 e870 f611 f826 f893 
a456 a913 b456 b825 b835 b883 b914 c456 c946 d456 h802 
a770 b770 e804 h806 h844 h868 h891 
a844 e602 f602 h956 
c823 c912 c979 c991 d631 d832 d980 
c678 d748 g792 h792 h930 
b887 b986 b991 c970 d819 
a663 b832 f822 f937 
a768 b768 b932 
e856 g663 h663 
a949 f965 g659 h659 h926 
a874 a960 b840 b848 b861 c943 c996 d893 
g608 h608 h983 
a567 a786 a982 b567 c850 d567 e990 
b583 c583 d953 h814 
a999 c788 d788 g946 g976 h639 
g782 h782 
a994 b970 c464 d449 d464 d647 e899 e915 e926 e943 f601 h973 
a820 d664 
a920 d965 f598 g773 h773 h971 
e832 f785 
g657 h657 
c688 c860 c900 d814 e493 f493 g493 h493 
a834 c825 
e682 f682 f944 g852 h993 
c651 c852 d651 e491 f491 g654 h491 
a823 b971 c809 c913 e707 e941 f877 
e583 f583 g583 h583 
e757 e810 f757 f862 g796 h886 
a748 a764 b748 b764 f496 f672 f896 g442 g604 g758 
a968 c779 d779 h965 
e731 e761 e924 f761 h765 
a735 b823 e989 h947 
g739 g899 h739 
f917 f933 g626 g711 g950 h626 h711 
a875 b849 d923 e851 
f731 f837 g818 h957 
a963 d961 e780 f780 f836 
a559 b559 c559 d559 e684 f684 g716 h537 
c853 e996 f765 g806 g998 h835 
a917 b417 b437 c620 c638 c864 c909 d839 e396 f396 g396 h396 
c747 d985 
c702 c928 d702 d820 
a947 e743 f743 h959 
b858 c841 
b809 e567 e803 f567 f786 g567 h567 h710 
a775 b775 b801 c667 d667 d871 d998 
c497 d955 f919 
a628 a696 a885 e751 f751 f859 g770 
e605 f605 h908 h963 
a789 d975 g768 h768 
e918 f951 g877 
c780 d780 
a711 c924 d836 d900 
e967 g629 g879 g972 h629 
b738 b954 d984 e886 
b630 b876 c874 d766 
g742 h742 
g611 h708 h722 
a807 b920 c965 e869 
a538 b538 b806 b944 b946 c538 d538 d976 h927 
b864 c973 e555 f693 g930 
e756 e791 e970 e993 f791 g830 g865 
a824 a883 e779 f779 f840 f943 
a496 a783 a819 b496 b783 
b916 b935 d897 e842 g996 h945 
e816 f923 
d939 g885 
b995 e744 f744 
f805 f829 f886 g691 h691 
e792 f792 g925 
c681 d681 f928 
a609 b609 b936 e767 f767 g900 h770 
f839 h854 
a839 b687 c712 d712 
a694 b694 c719 c890 c934 d719 
e868 f789 
g685 g794 h847 
a511 b511 d511 e520 g520 h520 
b892 b940 c849 d970 
e662 e733 e995 f733 f845 
a481 b481 c481 d481 e736 e883 g759 h759 
a607 b607 b968 e435 f435 g435 h435 
a759 b759 e467 g467 h888 
a689 b689 c417 c437 d417 d437 d778 e624 f624 
c1000 g748 h748 
a680 a992 b680 
e920 g836 
a859 d920 d978 e537 f537 g537 g999 h883 
e788 f788 f992 
e556 f975 g883 h865 h898 
e709 e966 f709 f911 
a890 a932 b951 d963 d992 e631 e826 g507 h507 
a826 b810 d950 e517 f517 g517 h517 
a692 b692 
g733 h733 
e890 e985 f612 
a850 b921 e669 f669 f856 h986 
e659 e750 f750 
e724 f673 f724 f870 f897 
a675 a858 b662 b675 
f918 f962 h918 
a655 a862 a922 b655 b875 f895 h901 
f637 f739 f827 f915 g744 h744 
c732 d732 g791 g854 g869 g882 g903 g947 
e704 f704 
e937 g895 g964 
e801 f848 h574 
b927 e947 f903 f994 g887 
b998 f926 
e862 g602 g983 h602 h859 h980 
a635 b635 c616 d616 e954 g985 h828 
a766 b766 
e741 f741 
a782 b782 c608 d608 e822 f989 g735 h735 
a814 a836 g943 
a765 b765 b908 b925 d880 e834 e836 g886 h838 
a671 b671 d569 d676 d729 
e909 e987 f908 h801 h943 
c709 c837 c925 d747 d972 
a658 b658 
a670 a909 b670 d669 h887 
a751 b751 b805 b834 
g668 h668 h974 
g833 h696 
e681 f681 
c555 d686 
a753 a762 a801 a969 b813 b983 d643 h866 
a864 a892 b654 c717 c982 d717 g700 
a915 d823 
c875 f958 h833 h851 h994 
c948 d804 
a547 d806 d993 
a953 c782 e919 
c827 c866 c908 d921 e1000 h826 h830 
b648 d556 d842 
a645 c911 
a722 a981 b942 d899 e875 g909 h877 
c721 d721 d960 
a388 b388 c388 d388 e811 f575 g843 
a758 b818 
a943 a997 b867 c736 c914 d736 
a869 c618 c675 c889 d618 d951 e765 f781 f932 
a940 g798 h798 
a993 h960 
d958 e823 f699 g617 
a515 e680 f847 
a650 b650 b802 c705 d705 d875 d911 
c654 d654 
g730 h730 
a888 b990 e488 f488 g488 h488 
c706 d706 
c789 d789 
f974 g920 h609 
e847 g840 
b816 g671 h684 
e963 g606 g941 
c940 c947 d555 
a633 a685 a705 b846 
a811 b890 b901 
e656 f656 f876 h846 
a668 b668 c687 d687 g788 h788 
c796 d796 
g737 h737 
c601 d855 
c923 c933 d834 
a605 a988 b605 c512 d512 g766 h766 
a724 b724 b807 b854 c628 c920 d628 
g918 h764 h915 
c865 c971 e429 g906 
a572 b572 
a956 b985 d999 e689 f425 f907 g425 g917 h425 
c856 c915 d909 e978 
a502 b502 c502 d502 e617 f617 g740 h740 
c763 d763 e588 f588 h796 
e973 f875 
c549 d620 
c778 d665 
e614 f732 
a400 b400 c400 d400 e400 f400 g400 h400 
b589 c720 d505 d720 d879 d889 
c882 d812 
a818 a837 b981 
b812 f803 
e425 f736 
c805 d857 d938 
c836 d890 
e700 f798 
a409 b409 c409 d409 e782 f782 
e872 e938 g974 
c626 d626 e641 f641 g963 
a791 b939 e456 f939 g456 h456 
a552 b552 e783 f783 
c879 d791 
a643 b789 c976 e434 f434 g434 h434 
a558 b558 b760 c514 d514 e334 f334 g334 h334 
g496 h442 
a934 e405 e672 e818 e910 f819 g812 g924 h598 h622 h745 h934 h940 
a429 b429 c652 c669 d454 e451 f451 g451 h451 
d915 g973 
a715 b715 c82 d82 e625 f625 
a549 b549 c929 
e928 g858 
a876 c904 d675 
a732 b732 e721 f721 f964 
a531 b531 b839 c922 
a612 b612 c877 e463 f463 g463 h463 
b924 f802 f846 f995 g723 g789 h952 
c694 d841 
e974 f998 
a891 b992 d888 e968 g793 h793 
a973 b852 c899 e708 f708 g556 h556 
a763 b763 e901 f987 
a719 b898 c758 d758 e475 f621 g569 g961 
a454 b454 c503 d503 e799 f799 
a677 b685 c844 d818 e991 f980 g832 
c999 d694 
c987 d844 e934 h936 
a945 b814 d913 e940 f864 g709 h709 
a746 b709 c727 d727 g684 h671 
c986 d661 d873 
a896 b728 e774 g487 h487 
g757 h815 
a499 b499 c499 d499 e437 f437 g437 h437 
a483 b483 c846 f949 g922 h694 
a936 b910 e706 f556 g932 h713 
